Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,57.80169572,57.89368781,57.97034788,58.06693958,58.07000598,58.12826764,58.22945893,58.23099213,58.25552336,58.27085537,58.31685142,58.33218343,58.33524984,58.33524984,58.33524984,58.33524984,58.33831624,58.33831624,58.33678304,58.33678304,58.34291584,58.34444904,58.34444904,58.34444904,58.34444904,58.34444904,58.33065023,58.32298422,58.32298422,58.32298422,58.30765221,58.30765221,58.16046487,57.97494749,57.8829554,57.8814222,57.93968385,58.05774037,57.8829554,57.8829554,57.8829554,57.8829554,58.12366803,58.12520123,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,,
Albania,,44.96350365,44.96350365,45,44.89051095,45.1459854,45.25547445,45.40145985,45.25547445,45.0729927,44.89051095,43.79562044,42.84671533,41.82481752,40.94890511,39.41605839,39.23357664,40.47445255,40.65693431,40.76642336,40.80291971,40.72992701,40.65693431,40.51094891,40.62043796,40.58394161,40.54744526,40.54744526,40.76642336,40.51094891,40.91240876,41.13138686,41.13138686,41.09489051,41.09489051,41.13138686,41.27737226,41.42335766,41.56934307,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.94160584,,
Algeria,,19.09150453,18.85176384,18.688018,18.54274606,18.54400564,18.54400564,18.57927398,18.55912064,18.55912064,18.56457884,19.07554981,19.06001495,18.60152661,18.61496217,18.37018314,18.48270592,18.40335217,18.40797064,18.39831384,18.40251245,16.44637954,16.41950843,16.49298412,16.63069856,16.3959962,16.24358662,16.28179398,16.2977487,16.27381662,16.23854829,16.21587579,16.31790204,16.31664245,16.6432944,16.64707315,16.64161495,16.66428745,16.72138856,16.68150176,16.80326148,16.84020926,16.73356454,16.75455759,17.27518537,17.3028962,17.29030037,17.32011051,17.34404259,17.35076037,,
American Samoa,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,,
Andorra,,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,53.19148936,53.19148936,51.06382979,51.06382979,51.06382979,48.93617021,48.93617021,48.93617021,46.80851064,46.80851064,44.68085106,44.68085106,44.68085106,42.55319149,42.55319149,42.55319149,40.42553191,40.42553191,40.42553191,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,38.29787234,,
Angola,,45.85706265,45.88112617,45.89716852,45.92123205,45.9372744,45.96133793,45.98540146,46.00946499,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04475816,46.08165557,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.04154969,45.96133793,45.96133793,46.03352852,46.19395203,46.19395203,46.19395203,46.19395203,46.27416379,46.27416379,46.75543435,,
Antigua and Barbuda,,22.72727273,20.45454545,22.72727273,20.45454545,25,25,22.72727273,22.72727273,25,25,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,29.54545455,,
Argentina,,50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,47.24758741,47.23954851,47.19350749,47.14746646,47.10142544,47.05538442,47.0093434,46.96330238,46.91726136,46.87122034,46.82517932,46.7791383,46.73309728,47.05282659,47.00715097,46.96074455,46.91470353,46.86866251,46.7495405,46.54527915,46.55258725,46.5489332,46.54527915,46.76086806,46.75721401,46.75355996,46.74990591,46.92895432,46.92347325,46.9198192,47.02030555,47.05319199,47.08607844,47.13102324,47.94112596,48.80713563,49.11042171,50.33452821,51.37593224,51.52209421,51.33939175,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.08146067,41.46769663,42.13483146,43.67977528,45.85674157,46.76966292,46.62921348,46.45365169,46.45365169,46.62921348,48.84129213,50.70224719,52.84410112,56.35533708,61.65730337,61.48174157,61.34129213,61.55196629,,
Aruba,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
