Desalinated water produced (10^9 m3/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,,,,,,,,,,
Albania,,,,,,,,,,
Algeria,,,,,,,0.064,,0.017,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,,,,,,,0.000138,,0.000138,
Anguilla,,,,,,,,,,
Antigua and Barbuda,,,,,,,0.0033,,,
Argentina,,,,,,,0.000749345,0.000749345,0.000749345,
Armenia,,,,,,,,,,
Aruba,,,,,,,,,,
Australia,,,,,,,0.029755895,,0.029755895,
Austria,,,,,,,0.002153135,,0.002153135,
Azerbaijan,,,,,,,,,,
Bahamas,,,,,,,0.00127896,,0.0074,
Bahrain,,,,,,,0.0441,,0.0441,0.1024
Bangladesh,,,,,,,,,,
Barbados,,,,,,,,,,0.0146
Belarus,,,,,,,,,,
Belgium,,,,,,,,,,
Belgium,,,,,,,,,,
Belize,,,,,,,,,,
Benin,,,,,,,,,,
Bermuda,,,,,,,0.00372446,,,
Bhutan,,,,,,,,,,
Bolivia,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,
Botswana,,,,,,,,,,
Brazil,,,,,,,,,,
British Virgin Islands,,,,,,,,,,0.0042
Brunei,,,,,,,,,,
Bulgaria,,,,,,,,,,
Burkina Faso,,,,,,,,,,
Burundi,,,,,,,,,,
Cambodia,,,,,,,,,,
Cameroon,,,,,,,,,,
Canada,,,,,,,0.0027,,0.0027,
Cape Verde,,,,,,,0.002,0.001681,,
Cayman Islands,,,,,,,0.003318945,,,
Central African Rep.,,,,,,,,,,
Chad,,,,,,,,,,
Chile,,,,,,,0.00482165,,0.00482165,
China,,,,,,,,,,
Colombia,,,,,,,0.002724725,,0.002724725,
Comoros,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,
Cook Islands,,,,,,,,,,
Costa Rica,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,
Croatia,,,,,,,,,,
Cuba,,,,,,,0.00690799,0.00690799,0.00690799,
Cyprus,,,,,,,0.003,0.003,0.0335,
Czech Rep.,,,,,,,0.00015038,,0.00015038,
"Korea, Dem. Rep.",,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,
Denmark,,,,,,,0.015,,0.015,
Djibouti,,,,,,,0.0001,,0.0001,
Dominica,,,,,,,,,,
Dominican Rep.,,,,,,,,,,
Ecuador,,,,,,,0.00215496,0.00215496,0.00215496,
Egypt,,,,,,,0.025,0.025,0.1,
El Salvador,,,,,,,0.00013797,,0.00013797,
Equatorial Guinea,,,,,,,,,,
Eritrea,,,,,,,,,,
Estonia,,,,,,,,,,
Ethiopia,,,,,,,,,,
Faeroe Islands,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,
Fiji,,,,,,,,,,
Finland,,,,,,,0.000080665,,0.000080665,
France,,,,,,,0.01173256,,0.01173256,
French Guiana,,,,,,,,,,
French Polynesia,,,,,,,,,,
Gabon,,,,,,,,,,
Gambia,,,,,,,,,,
Georgia,,,,,,,,,,
Germany,,,,,,,,,,
Ghana,,,,,,,,,,
Gibraltar,,,,,,,0.0077161,,,
Greece,,,,,,,0.010037135,,0.010037135,
Greenland,,,,,,,,,,
Grenada,,,,,,,,,,
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,,,,,,,,,,
Guinea,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,
Guyana,,,,,,,,,,
Haiti,,,,,,,,,,
Holy See,,,,,,,,,,
Honduras,,,,,,,0.000237615,,0.000237615,
Hungary,,,,,,,0.000224475,,0.000224475,
Iceland,,,,,,,,,,
India,,,,,,,,0.0005,0.0005,
Indonesia,,,,,,,0.01872742,,0.01872742,
Iran,,,,,,,0.003,0.003,0.003,0.2
Iraq,,,,,,,,0.0074,0.0074,
Ireland,,,,,,,0.000198925,,0.000198925,
Israel,,,,,,,0.02557263,,0.02557263,0.14
Italy,,,,,,0.05,0.097331995,,0.097331995,
Jamaica,,,,,,,0.000497495,0.000497495,0.000497495,
Japan,,,,,,,,0.04,0.04,
Jordan,,,,,,,,0.002,,0.0098
Kazakhstan,,,,,,,,1.328,1.328,
Kenya,,,,,,,,,,
Kiribati,,,,,,,,,,
Kuwait,,,,,,,0.507,0.231,0.4202,
Kyrgyzstan,,,,,,,,,,
Laos,,,,,,,,,,
Latvia,,,,,,,,,,
Lebanon,,,,,,,,,,0.0473
Lesotho,,,,,,,,,,
Liberia,,,,,,,,,,
Libya,,,,,,,,,0.018,
Liechtenstein,,,,,,,,,,
Lithuania,,,,,,,,,,
Luxembourg,,,,,,,,,,
Madagascar,,,,,,,,,,
Malawi,,,,,,,,,,
Malaysia,,,,,,,0.004333645,,0.004333645,
Maldives,,,,,,,0.00037,,,
Mali,,,,,,,,,,
Malta,,,,,,,0.024,0.031,0.031,
Marshall Islands,,,,,,,0.00074825,,,
Martinique,,,,,,,,,,
Mauritania,,,,,,,0.002,,0.002,
Mauritius,,,,,,,,,,
Mayotte,,,,,,,,,,
Mexico,,,,,,,0.030694675,,0.030694675,
"Micronesia, Fed. Sts.",,,,,,,,,,
Monaco,,,,,,,,,,
Mongolia,,,,,,,,,,
Montenegro,,,,,,,,,,
Montserrat,,,,,,,,,,
Morocco,,,,,,,0.0034,0.0034,0.007,
Mozambique,,,,,,,,,,
Myanmar,,,,,,,,,,
Namibia,,,,,,,0.0003,,0.0003,
Nauru,,,,,,,,,,
Nepal,,,,,,,,,,
Netherlands,,,,,,,,,,
Netherlands Antilles,,,,,,,0.06300849,,,
New Caledonia,,,,,,,,,,
New Zealand,,,,,,,,,,
Nicaragua,,,,,,,0.000219,,0.000219,
Niger,,,,,,,,,,
Nigeria,,,,,,,0.003,,0.003,
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,
Norway,,,,,,,0.0001095,,0.0001095,
West Bank and Gaza,,,,,,,,,,
Oman,,,,,,,,0.034,0.034,0.109
Pakistan,,,,,,,,,,
Palau,,,,,,,,,,
Panama,,,,,,,,,,
Papua New Guinea,,,,,,,,,,
Paraguay,,,,,,,,,,
Peru,,,,,,,0.00542098,,0.00542098,
Philippines,,,,,,,,,,
Poland,,,,,,,0.00698683,,0.00698683,
Portugal,,,,,,,0.0016133,,0.0016133,
Puerto Rico,,,,,,,,,,
Qatar,,,,,,,0.065,0.099,0.099,0.18
"Korea, Rep.",,,,,,,,,,
Moldova,,,,,,,,,,
Reunion,,,,,,,,,,
Romania,,,,,,,,,,
Russia,,,,,,,,,,
Rwanda,,,,,,,,,,
Saint Helena,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,0.0033
Saint Lucia,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,
Saudi Arabia,,,,,0.112,0.508,0.683,0.727,0.863,1.033
Senegal,,,,,,,0.00005,,0.00005,
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,
Seychelles,,,,,,,,,,0.001
Sierra Leone,,,,,,,,,,
Singapore,,,,,,,0.007237585,,,
Slovak Republic,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,,,,,,,,,,
Somalia,,,,,,,0.0001,,0.0001,
South Africa,,,,,,,0.018,,0.018,
Spain,,,,,,,0.100184105,,0.100184105,
Sri Lanka,,,,,,,,,,
Sudan,,,,,,,0.0004,0.0004,0.0004,
Suriname,,,,,,,,,,
Swaziland,,,,,,,,,,
Sweden,,,,,,,0.00019783,,0.00019783,
Switzerland,,,,,,,,,,
Syria,,,,,,,,,,
Tajikistan,,,,,,,,,,
Thailand,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,
Timor-Leste,,,,,,,,,,
Togo,,,,,,,,,,
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,0.036
Tunisia,,,,,,,0.008,,0.013,
Turkey,,,,,,,0.0005,,0.0005,0.0005
Turkmenistan,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,,,,,,,,,,
Ukraine,,,,,,,,,,
United Arab Emirates,,,,,,,0.163,0.385,,0.95
United Kingdom,,,,,,,0.033313185,,0.033313185,
Tanzania,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,
United States,,,,,0.138,0.138,0.57997405,,0.57997405,
Uruguay,,,,,,,,,,
Uzbekistan,,,,,,,,,,
Vanuatu,,,,,,,,,,
Venezuela,,,,,,,0.005173875,,0.005173875,
Vietnam,,,,,,,,,,
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",,,,,,,0.01,,0.01,
Zambia,,,,,,,,,,
Zimbabwe,,,,,,,,,,
