Industrial water withdrawal as % of total water withdrawal (%),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,,,,,,,,,,
Albania,,,,,,,,,11,
Algeria,,,,,4,,15,,10,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,,,,,,10,,,17,
Anguilla,,,,,,,,,,
Antigua and Barbuda,,,,,,,20,,,
Argentina,,,,,,,,,9,
Armenia,,,,,14,5.6,4.9,4,4.421,4.4
Aruba,,,,,,,,,,
Australia,,,,,,,,,10,
Austria,,,,,,,,,63,
Azerbaijan,,,,18.5,19.7,22.5,22.7,17,19.6,19
Bahamas,,,,,,,,,,
Bahrain,,,,,,,4,,3,5.67
Bangladesh,,,,,,,,,,
Barbados,,,,,,,,,44,
Belarus,,,,,45.4,44.5,43,,40,
Belgium,,,,,85,,,,,
Belgium,,,,,,,,,85,
Belize,,,,,,,,73,73,
Benin,,,,,,13.6,,,23,
Bermuda,,,,,,,,,,
Bhutan,,,,,,,,,1.17,
Bolivia,,,,,,5,,,6.8,
Bosnia and Herzegovina,,,,,,,,,,
Botswana,,,,,,,20.3,,18,
Brazil,,,,,,,,18,17,
British Virgin Islands,,,,,,,,,,
Brunei,,,,,,,,,,
Bulgaria,,,,,,,75.2,,78,
Burkina Faso,,,,,,,,,0.75,
Burundi,,,,,,,,,5.9,
Cambodia,,,,,,,,,,
Cameroon,,,,,,19.1,19,,8,
Canada,,,,,,,,,68,
Cape Verde,,,,,,,,,1.818,
Cayman Islands,,,,,,,,,,
Central African Rep.,,,,,,,,,16,
Chad,,,,,,2.2,,,,
Chile,,,,,,,,,25,
China,,,,,10.3,7,10,17,25,
Colombia,,,,,,,,,,
Comoros,,,,,,,,,5,
"Congo, Rep.",,,,,,27,,,21,
Cook Islands,,,,,,,,,,
Costa Rica,,,,,,,,6.7,17,
Cote d'Ivoire,,,,,,11,,21,11,
Croatia,,,,,,,,,,
Cuba,,,,,,,,,10,
Cyprus,,,,,,,2.21,2.36,1.42,
Czech Rep.,,,,,,,,,56,
"Korea, Dem. Rep.",,,,,,,,,25,
"Congo, Dem. Rep.",,,,,,,,,16,
Denmark,,,,,,,27,,25,
Djibouti,,,,,,,,,,
Dominica,,,,,,,,,,
Dominican Rep.,,,,,,,,0.4,1,
Ecuador,,,,,,,,5.6,,
Egypt,,,,,,,,,,
El Salvador,,,,,,,20.1,,10,
Equatorial Guinea,,,,,,13,,,15.7,
Eritrea,,,,,,,,,,0.17
Estonia,,,,,,,,39.2,37,
Ethiopia,,,,,,,,,0.3,
Faeroe Islands,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,
Fiji,,,,,,20,,,14,
Finland,,,,,,,,,83,
France,,,,,,,,,74,
French Guiana,,,,,,,,,,
French Polynesia,,,,,,,,,,
Gabon,,,,,,22,,,8,
Gambia,,,,,2,,,,11.76,
Georgia,,,,,,33.1,20,,,12.8
Germany,,,,,,,,,82,
Ghana,,,13,,,,,,9.6,
Gibraltar,,,,,,,,,,
Greece,,,,,,,,,3,
Greenland,,,,,,,,,,
Grenada,,,,,,,,,,
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,,,,,,,,,13,
Guinea,,,,,,2.9,,,1,
Guinea-Bissau,,,,,,,3.614,4.57,4.57,
Guyana,,,,,,,0.47,,,
Haiti,,,,,,,0.55,,1,
Holy See,,,,,,,,,,
Honduras,,,,,,,,,10,
Hungary,,,,,,55,,,58,
Iceland,,,,,,,,,60,
India,,,,,,,,,5,
Indonesia,,,,,,,0.5,,,
Iran,,,,,,,,,,
Iraq,,,,1,,,5,,10,
Ireland,,,,,74,,,,76,
Israel,,,4.7,,5,,5.8,,6.6,5.7
Italy,,,20,,,,,,36,
Jamaica,,,,,,,,7.2,17,
Japan,,,,,10,,10,,10,
Jordan,,,,5.9,,3.7,3.3,,,4.08
Kazakhstan,,,,,10,17,17.9,16.8,16,
Kenya,,,,,,,3,,,
Kiribati,,,,,,,,,,
Kuwait,,,,,,,,2.4,2.27,
Kyrgyzstan,,,,15,15,7,5.6,2.8,3,
Laos,,,,,,,,,5,
Latvia,,,,,,,,32.2,30,
Lebanon,,,,3,,,,3,,11
Lesotho,,,,,,22,,,40,
Liberia,,,,,,13,,,18,
Libya,,,,,,,1,,3,
Liechtenstein,,,,,,,,,,
Lithuania,,,,,,,,15,14,
Luxembourg,,,,,,,,,,
Madagascar,,,,,,,,,1,
Malawi,,,,,,,,3.4,4,
Malaysia,,,,,,,9.8,,20,
Maldives,,,,,,1.6004,,,,
Mali,,,,,,1,,,0.8,
Malta,,,,,,,,,0.99,
Marshall Islands,,,,,,,,,,
Martinique,,,,,,,,,,
Mauritania,,,,,3.9,,,,2,
Mauritius,,,,6.88,,,,7.6,,2
Mayotte,,,,,,,,,,
Mexico,,,,,,,,,5,
"Micronesia, Fed. Sts.",,,,,,,,,,
Monaco,,,,,,,,,,
Mongolia,,,,,,,,27.1,27,
Montenegro,,,,,,,,,,
Montserrat,,,,,,,,,,
Morocco,,,,,,,2.9,,2,
Mozambique,,,,,,,1.9,,1,
Myanmar,,,,,,0.42,,,,
Namibia,,,,,,,3.21,,4.6,
Nauru,,,,,,,,,,
Nepal,,,,,,,,,,
Netherlands,,,,,,,,,59,
Netherlands Antilles,,,,,,,,,,
New Caledonia,,,,,,,,,,
New Zealand,,,,,,10,,,,
Nicaragua,,,,,,,,,2,
Niger,,,,,,,2,,,
Nigeria,,,,,,15,,,10,
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,
Norway,,,,,,,,,66,
West Bank and Gaza,,,,,,,,,,6.9
Oman,,,,,,,1.5,,2,1.4
Pakistan,,,,1,,,,,2,
Palau,,,,,,,,,,
Panama,,,,,,,,,4,
