Water resources: total internal renewable per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,5505.59,4971.51,4417.83,3985.18,4103.47,4609.84,3743.88,2823.93,2475.93,2108.27
Albania,15707.45,13612.4,12000.23,10725.57,9684.36,8634.52,8225.31,8673.59,8684,8480.03
Algeria,1003.3145,894.5623,770.3082,658.9469,559.6557,480.8024,423.8359,384.9643,358.0256,337.2298
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,28429.97,25860.21,23309.24,20634.39,17628.15,15152.74,13194.83,11426.26,10042.64,8938.79
Anguilla,,,,,,,,,,
Antigua and Barbuda,914.1089,805.8891,714.4231,687.3942,737.2853,802.1596,823.371,726.5918,653.1924,618.3335
Argentina,12966.15,12037.27,11143.59,10272.94,9530.45,8842.7,8240.07,7733.55,7332.2,7052.63
Armenia,,,,,,,1987.6786,2182.305,2248.7367,2279.079
Aruba,,,,,,,,,,
Australia,45712.35,40891.27,37543.73,35101.26,32711.79,30491.02,28333.96,26591.63,25097.08,23964.43
Austria,7714.8,7475.82,7306.67,7260.5,7286.34,7220.47,6997.32,6799.8,6730.51,6604.66
Azerbaijan,,,,,,,1088.7971,1019.3605,986.1519,965.3786
Bahamas,164.843,130.66,112.298,101.572,91.156,82.635,75.451,68.99,64.226,61.109
Bahrain,23.57239,19.81041,16.87557,13.28744,10.69839,9.01575,7.58518,6.58395,5.88243,5.41335
Bangladesh,1842.52,1622.95,1430.35,1268.24,1124.9,995.73,887.48,798.33,724.42,673.11
Barbados,344.397,338.274,331.309,324.087,316.555,302.203,290.835,282.958,277.073,273.102
Belarus,,,,,,,3613.35,3647.8,3738.5,3818.46
Belgium,1293.05,1258.64,1237.39,1223.13,1222.07,1218.39,1200.51,1185.16,1168.32,1150.49
Belgium,,,,,,,,,,
Belize,162922.83,141193.08,125343.71,116573.89,106245.93,93196.64,81418.72,70732.92,62243.24,56809.3
Benin,4296.67,3900.64,3467.65,3036.06,2597.45,2197.1,1847.56,1559.02,1336.68,1175.84
Bermuda,,,,,,,,,,
Bhutan,402914.55,351171.61,296847.17,247371.35,213537.85,184979.65,177580.38,183858.75,160776.32,146431.84
Bolivia,86642.4416,77353.1561,68645.4902,60772.6974,54263.8056,48705.1372,43453.4755,38847.5574,35044.3626,32449.8607
Bosnia and Herzegovina,,,,,,,8953.28,10252.31,9147.65,9041.34
Botswana,4302.2,3752.04,3213.98,2694.67,2251.12,1921.06,1657.23,1465.4,1351.99,1291.59
Brazil,70139.21,60880.76,53785.88,47800.97,42525.4,38244.38,35084.74,32527.65,30226.59,28617.76
British Virgin Islands,,,,,,,,,,
Brunei,94889.37,75453.6,59936.81,48901.72,41460.38,36016.33,31261.37,27395.14,24323.51,22254.1
Bulgaria,2622.16,2522.64,2444.46,2390.66,2355.61,2348.14,2427.29,2562.29,2660.37,2729.91
Burkina Faso,2659.42,2441.23,2194.63,1959.95,1747.34,1535.52,1328.81,1149.32,987.05,870.56
Burundi,3303.349,3010.643,2812.028,2635.405,2283.632,1926.484,1691.256,1577.262,1427.126,1230.871
Cambodia,21161.549,18583.896,16979.09,17495.985,16910.534,13798.688,11607.014,10056.604,9093.611,8492.871
Cameroon,48355.95,43043.05,37894.66,32898.64,28363.47,24424.12,21056.84,18478.89,16418.7,15020.88
Canada,152971.2,139011.73,127550.43,120277.53,113926.87,107325.52,100407.34,95449.94,91030.37,87485.41
Cape Verde,1439.47,1222.65,1095.97,1067.83,1002.13,901.52,804.8,713.67,635.09,578.52
Cayman Islands,,,,,,,,,,
Central African Rep.,88832.66,80215.72,72575.36,65409.23,57199.16,50253.58,44392.99,38895.52,35272.83,33061.29
Chad,4841.4,4348.6,3879.88,3461.95,3105.93,2700.3,2305.51,1965.04,1644.93,1432.91
Chile,109934.33,97915.57,89122.66,82503.76,76717.68,70647.96,64683.86,59618.23,56035.63,53688.27
China,4100.4,3644.35,3209.87,2918.83,2729.17,2544.19,2376.86,2260.31,2170.59,2117.01
Colombia,118097.76,101882.09,89406.24,79721.52,71293.01,64237.67,58310.86,53289.32,49094.23,46358.03
Comoros,5364.27,4748.01,4140.75,3497.36,2894.07,2481.9,2152.85,1867.1,1626.34,1466.2
"Congo, Rep.",210402.6,183462.12,157878.45,135135.21,115871.16,99921.45,86554.7,75137.04,65931.26,60174.03
Cook Islands,,,,,,,,,,
Costa Rica,78576.67,66891.98,58845.39,52017.98,45289.43,39495.96,34795,30752.41,27435.09,25552.59
Cote d'Ivoire,20087.155,16472.087,13292.381,10621.977,8376.092,6731.639,5619.568,4846.191,4343.34,4062.497
Croatia,,,,,,,8215.07,8163.56,8367.19,8274.76
