Municipal water withdrawal as % of total withdrawal (%),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,,,,,,1,,,1,
Albania,,,,,,,,,26,
Algeria,,,,,22,,24,,21,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,,,,,,13.9,,,22,
Anguilla,,,,,,,,,,
Antigua and Barbuda,,,,,,,60,,,
Argentina,,,,,,,,15,16,
Armenia,,,,,14,22.4,27.6,29.5,29.819,29.8
Aruba,,,,,,,,,,
Australia,,,,,,,,,14,
Austria,,,,,,,,,35,
Azerbaijan,,,,4.3,4.8,4.9,4.7,1.7,4.9,4.2
Bahamas,,,,,,,,,,
Bahrain,,,,,,,39.3,,40,49.77
Bangladesh,,,,,,,,,3,
Barbados,,,,,,,,,33,
Belarus,,,,,17.8,19.2,22.2,,23,
Belgium,,,,,11,,,,,
Belgium,,,,,,,,,13,
Belize,,,,,,10,,9.5,6,
Benin,,,,,,28.1,,,31.5,
Bermuda,,,,,,,,,,
Bhutan,,,,,,,,,4,
Bolivia,,,,,,10,,,12,
Bosnia and Herzegovina,,,,,,,,,,
Botswana,,,,,,,31.8,,40.7,
Brazil,,,,,,,,20,20,
British Virgin Islands,,,,,,,,,,
Brunei,,,,,,,,,,
Bulgaria,,,,,,,2.9,,3,
Burkina Faso,,,,,,20,19.4,,13,
Burundi,,,,,,36,,,17,
Cambodia,,,,,,,,,1,
Cameroon,,,,,,45,46,,18,
Canada,,,,,,,,,19,
Cape Verde,,,,,,,,,7.27,
Cayman Islands,,,,,,,,,,
Central African Rep.,,,,,,,,,80,
Chad,,,,,,16,,,17,
Chile,,,,,,,,,11,
China,,,,,1.5,6,,4.7,6,
Colombia,,,,,,,,,50,
Comoros,,,,,,,,,48,
"Congo, Rep.",,,,,,62,,,69.5,
Cook Islands,,,,,,,,,,
Costa Rica,,,,,,,,13.1,29,
Cote d'Ivoire,,,,,,22,,13.1,23,
Croatia,,,,,,,,,,
Cuba,,,,,,,,48.8,19,
Cyprus,,,,16.1,20.9,22.5,24.3,23,27.42,
Czech Rep.,,,,,,,,,40,
"Korea, Dem. Rep.",,,,,,,,,19,
"Congo, Dem. Rep.",,,,,,,,,52,
Denmark,,,,,,,30,,32,
Djibouti,,,,,,12.5,,,84.2,
Dominica,,,,,,,,,,
Dominican Rep.,,,,,,,,10.9,32,
Ecuador,,,,,,,,10,12,
Egypt,,,,,,,,,,
El Salvador,,,,,,,33.7,,25,
Equatorial Guinea,,,,,,81,,,83,
Eritrea,,,,,,,,,3,5.3
Estonia,,,,,,,,55.6,56,
Ethiopia,,,,,,,,,5.9,
Faeroe Islands,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,
Fiji,,,,,,20,,,14,
Finland,,,,,,,,,13,
France,,,,,,,,,15,
French Guiana,,,,,,,,,,
French Polynesia,,,,,,,,,,
Gabon,,,,,,72,,,50,
Gambia,,,,,7,,,,22.87,
Georgia,,,,,,16,20.9,,,22
Germany,,,,,,,,,14,
Ghana,,,35,,,,,,23.9,
Gibraltar,,,,,,,,,,
Greece,,,,,,,,,16,
Greenland,,,,,,,,,,
Grenada,,,,,,,,,,
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,,,,,,,,,6,
Guinea,,,,,,10,,,7,
