Municipal water withdrawal per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,,,,,,21.8842,,,18.907,
Albania,,,,,,,30.57,,148.499,
Algeria,,,,,32.841,,42.206,,42.337,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,,,,,,6.8596,,,5.428,
Anguilla,,,,,,,,,,
Antigua and Barbuda,,,,,,,47.50217,,,
Argentina,,,,,,,,127.771,130.438,
Armenia,,,,,,,280.5179,275.2141,169.424065,280.1084
Aruba,,,,,,,,,,
Australia,,,,,,,,,179.556,
Austria,,,,,,,51.24584,,90.555,
Azerbaijan,,,,,,,98.8839,27.8863,61.1256,61.9793
Bahamas,,,,,,,,,,
Bahrain,,,,,,,178.2517,,176.472,240.75906
Bangladesh,,,,,,6.4011,14.36,30.5342,17.455,
Barbados,,,,,,,,94.43739,103.902,
Belarus,,,,,,,59.057,,65.323,
Belgium,,,,,101.15748,,,,,
Belgium,,,,,,,,,110.144,
Belize,,,,,,11.64958,,48.6288,38.902,
Benin,,,,,,6.6126,,4.9949,5.3207,
Bermuda,,,,,,,,,,
Bhutan,,,,,,14.01951,,,33.847,
Bolivia,,,,,,19.8972,,,20.782,
Bosnia and Herzegovina,,,,,,,,,,
Botswana,,,,,,,24.8585,,44.5033,
Brazil,,,,,,,,69.04,67.058,
British Virgin Islands,,,,,,,,,,
Brunei,,,,,,,,,,
Bulgaria,,,,,,,48.1991,,40.539,
Burkina Faso,,,,,,7.37,7.7603,,8.2122,
Burundi,,,,,,6.8939,,,6.9512,
Cambodia,,,,,,2.9755,,,4.525,
Cameroon,,,,,,16.103,14.1921,,10.825,
Canada,,,,,,,,,287.144,
Cape Verde,,,,,,,,,3.38716,
Cayman Islands,,,,,,,,,,
Central African Rep.,,,,,,5.3461,,,5.003,
Chad,,,,,,5.2205,,,4.386,
Chile,,,,94.0766,,,80.1231,,90.011,
China,,,,,6.5686,25.9015,29.57,20.2249,32.006,
Colombia,,,,,,,,132.0374,125.292,
Comoros,,,,,,,,,6.50537,
"Congo, Rep.",,,,,,11.16239,,,9.5036,
Cook Islands,,,,,,,,,,
Costa Rica,,,,,,,,207.1137,192.826,
Cote d'Ivoire,,,,,,13.6665,,10.2171,12.435,
Croatia,,,,,,,,,,
Cuba,,,,75.7389,,,,230.8174,139.253,
Cyprus,,,,41.2072,59.383,68.1445,78.6876,66.378,83.62944,
Czech Rep.,,,,,,,,,102.924,
"Korea, Dem. Rep.",,,,,,80.882,,,76.916,
"Congo, Dem. Rep.",,,,,,,5.2805,,3.548,
Denmark,,,,,,,67.9034,,76.324,
Djibouti,,,,,,2.15907,,,20.976,
Dominica,,,,,,,,,,
Dominican Rep.,,,,,,,,110.2906,120.644,
Ecuador,,,,,,,,178.17,167.975,
Egypt,,,,,,,,49.25,76.8,
El Salvador,,,,,,,46.3906,,50.059,
Equatorial Guinea,,,,,,25.01088,,,199.427,
Eritrea,,,,,,,,,2.5,6.6068
Estonia,,,,,,,73.4,62.801,66.331,
Ethiopia,,,,,,,,,4.5533,
Faeroe Islands,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,
Fiji,,,,,,8.3564,,,12.305,
Finland,,,,,,,,,65.353,
France,,,,,,,,,104.931,
French Guiana,,,,,,,,,,
French Polynesia,,,,,,,,,,
Gabon,,,,,,51.59527,,,48.877,
Gambia,,,,,1.95421,,,,4.73831,
Georgia,,,,,,,136.5384,,,80.7582
Germany,,,,,,,,,70.436,
Ghana,,,10.9952,,,,,,11.1407,
Gibraltar,,,,,,,,,,
Greece,,,,,,,,,115.052,
Greenland,,,,,,,,,,
Grenada,,,,,,,,,,
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,,,,,,,11.1455,,11.023,
Guinea,,,,,,13.5146,,,14.095,
Guinea-Bissau,,,,,,,9.235,18.2445,15.7979,
Guyana,,,,,,,20.4921,,40.751,
Haiti,,,,,,,6.74394,,5.642,
Holy See,,,,,,,,,,
Honduras,,,,,,,11.8092,,10.859,
Hungary,,,,,,54.50646,,,69.853,
Iceland,,,,,,113.03051,,,174.227,
India,,,,17.74,,20.71,27.85,,48.285,
Indonesia,,,,,,,25.0534,,30.441,
Iran,,,,,,,,93.87,66.78,88.23
Iraq,,,,45.315,,49.63,65.086,,163.48,
Ireland,,,,,36.38509,,,,66.233,
Israel,,,78.105,,96.0614,,99.7993,,108.6039,104.5522
Italy,,,128.43,,139.0994,,114.17,,139.006,
Jamaica,,,,,,,,54.9667,53.267,
Japan,,,,,115.54,,136.68,,136.48,
Jordan,,,,64.1992,,46.7488,58.331,,,50.84688
Kazakhstan,,,,,,,38.5303,37.6769,39.508,
Kenya,,,,,,,16.1069,,14.28,12.857
Kiribati,,,,,,,,,,
Kuwait,,,,,,,,109.2706,164.18819,
Kyrgyzstan,,,,,,,61.409,63.7165,63.274,
Laos,,,,,,21.26606,,,24.063,
Latvia,,,,,,,,64.4809,68.229,
Lebanon,,,,29.9251,,,,101.3466,116.302,93.704
Lesotho,,,,,,7.1939,,,10.353,
Liberia,,,,,,16.0175,,,9.239,
Libya,,,,,,96.2378,90.126,99.39,109.555,
Liechtenstein,,,,,,,,,,
Lithuania,,,,,,,134.5677,57.296,60.561,
Luxembourg,,,,,,,,,,
Madagascar,,,,,,14.7567,,,24.496,
Malawi,,,,,,6.6301,,8.956,12.235,
Malaysia,,,,,,,42.8555,61.9346,62.658,
Maldives,,,,,,16.949585,,,,
