Water resources: total renewable per capita (actual) (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,6506.6,5875.42,5221.08,4709.76,4849.55,5448,4424.59,3337.38,2926.09,2491.6
Albania,24349.46,21101.75,18602.6,16626.63,15012.57,13385.12,12750.76,13445.68,13461.82,13145.63
Algeria,1040.7816,927.9682,799.074,683.5542,580.5551,498.7571,439.6633,399.3401,371.3955,349.8231
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,28429.97,25860.21,23309.24,20634.39,17628.15,15152.74,13194.83,11426.26,10042.64,8938.79
Anguilla,,,,,,,,,,
Antigua and Barbuda,914.1089,805.8891,714.4231,687.3942,737.2853,802.1596,823.371,726.5918,653.1924,618.3335
Argentina,38240.75,35501.24,32865.53,30297.73,28107.92,26079.55,24302.25,22808.38,21624.68,20800.16
Armenia,,,,,,,2251.3887,2471.8366,2547.082,2581.4499
Aruba,,,,,,,,,,
Australia,45712.35,40891.27,37543.73,35101.26,32711.79,30491.02,28333.96,26591.63,25097.08,23964.43
Austria,10898.9,10561.29,10322.33,10257.11,10293.62,10200.56,9885.3,9606.27,9508.37,9330.59
Azerbaijan,,,,,,,4652.3771,4355.678,4213.7792,4125.016
Bahamas,164.843,130.66,112.298,101.572,91.156,82.635,75.451,68.99,64.226,61.109
Bahrain,683.5995,574.502,489.3915,385.3359,310.2533,261.4567,219.9702,190.9345,170.5904,156.9873
Bangladesh,21244.1307,18712.4948,16491.8818,14622.729,12970.0692,11480.7796,10232.6644,9204.7013,8352.5287,7760.9844
Barbados,344.397,338.274,331.309,324.087,316.555,302.203,290.835,282.958,277.073,273.102
Belarus,,,,,,,5633.72,5687.43,5828.84,5953.52
Belgium,1971.9,1919.42,1887.03,1865.28,1863.66,1858.05,1830.77,1807.37,1781.69,1754.5
Belgium,,,,,,,,,,
Belize,188939.5759,163739.8517,145359.5406,135189.2868,123212.0801,108078.9841,94420.2732,82028.0898,72182.715,65881.0413
Benin,11009.9282,9995.1298,8885.6194,7779.7029,6655.7825,5629.9097,4734.251,3994.8803,3425.1473,3013.0182
Bermuda,,,,,,,,,,
Bhutan,402914.55,351171.61,296847.17,247371.35,213537.85,184979.65,177580.38,183858.75,160776.32,146431.84
Bolivia,177700.4846,158648.4993,140789.3945,124642.5839,111293.0843,99892.4584,89121.4919,79674.922,71874.7084,66553.4797
Bosnia and Herzegovina,,,,,,,9457.69,10829.9,9663.01,9550.71
Botswana,21941.224,19135.434,16391.313,13742.818,11480.743,9797.416,8451.894,7473.549,6895.199,6587.15
Brazil,106581.05,92512.23,81731.11,72636.66,64620.08,58114.81,53313.52,49427.86,45931.26,43486.53
British Virgin Islands,,,,,,,,,,
Brunei,94889.37,75453.6,59936.81,48901.72,41460.38,36016.33,31261.37,27395.14,24323.51,22254.1
Bulgaria,2659.62,2558.68,2479.38,2424.81,2389.26,2381.69,2461.96,2598.9,2698.37,2768.91
Burkina Faso,2659.42,2441.23,2194.63,1959.95,1747.34,1535.52,1328.81,1149.32,987.05,870.56
Burundi,4116.3803,3751.6332,3504.1347,3284.0395,2845.6877,2400.6366,2107.5138,1965.4635,1778.3757,1533.8177
Cambodia,83563.284,73384.582,67047.481,69088.611,66776.766,54488.625,45834.085,39711.785,35909.094,33536.877
Cameroon,50570.05,45013.88,39629.76,34404.99,29662.16,25542.44,22020.98,19324.99,17170.47,15708.65
Canada,155762.26,141548.08,129877.66,122472.07,116005.53,109283.74,102239.33,97191.48,92691.28,89081.63
Cape Verde,1439.47,1222.65,1095.97,1067.83,1002.13,901.52,804.8,713.67,635.09,578.52
Cayman Islands,,,,,,,,,,
Central African Rep.,90974.72,82150,74325.4,66986.47,58578.43,51465.37,45463.46,39833.42,36123.38,33858.51
Chad,13878.7,12465.99,11122.33,9924.25,8903.67,7740.86,6609.14,5633.13,4715.48,4107.68
Chile,114660.01,102124.61,92953.72,86050.3,80015.5,73684.86,67464.39,62181.01,58444.4,55996.14
China,4125.4379,3666.6026,3229.4691,2936.6494,2745.8366,2559.7302,2391.3771,2274.1095,2183.8458,2129.9392
Colombia,119216.11,102846.88,90252.89,80476.46,71968.14,64845.98,58863.05,53793.95,49559.14,46797.02
Comoros,5364.27,4748.01,4140.75,3497.36,2894.07,2481.9,2152.85,1867.1,1626.34,1466.2
"Congo, Rep.",788535.9,687569.77,591688.62,506452.7,434255.9,374480.41,324385.18,281594.7,247093.75,225517.09
Cook Islands,,,,,,,,,,
Costa Rica,78576.67,66891.98,58845.39,52017.98,45289.43,39495.96,34795,30752.41,27435.09,25552.59
