Total water withdrawal per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,,,,775.29,,2188.42,,,1047.093,
Albania,,,,,,,366.92,,552.031,
Algeria,,,136.98,146.47,149.28,149.62,169.57,,193.226,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,,,,,,49.144,,,23.749,
Anguilla,,,,,,,,,,
Antigua and Barbuda,,,,,,,79.17029,,,
Argentina,,,,1027.29,,,,800.8994,775.459,
Armenia,,,,,,,1015.1389,930.6374,568.1674,939.3434
Aruba,,,,,,,,,,
Australia,,,,,,,,,1220.677,
Austria,,,,,,,,,258.206,
Azerbaijan,,,,,,,2088.1022,1571.6869,1224.3352,1452.648
Bahamas,,,,,,,,,,
Bahrain,,,,,,,453.2145,,441.18,483.68346
Bangladesh,,,,,,,,,547.8,
Barbados,129.148,,,,,,,,311.707,
Belarus,,,,,,,265.5622,,280.387,
Belgium,,,,,919.613,,,,,
Belgium,,,,,,,,,831.173,
Belize,,,,,,116.495,,508.3929,583.53,
Benin,,,,,,23.464,,,16.87,
Bermuda,,,,,,,,,,
Bhutan,,,,,,,,,719.2625,
Bolivia,,,,,,198.972,,,166.1406,
Bosnia and Herzegovina,,,,,,,,,,
Botswana,,,,,,72.039,78.0281,,109.2866,
Brazil,,,,,,247.339,,329.419,330.83,
British Virgin Islands,,,,,,,,,,
Brunei,,,,,,,279.5134,296.5121,,
Bulgaria,,,,,1590.599,,1622.7033,,1330.18,
Burkina Faso,,,,,,35.624,39.9708,,63.17,
Burundi,,,,,,19.14,,,40.8561,
Cambodia,,,,,,,,,307.721,
Cameroon,,,,,,35.4283,30.85,,59.54,
Canada,,,,,,1589.17,,,1468.304,
Cape Verde,,,,,,,71.625,,46.5734,
Cayman Islands,,,,,,,,,,
Central African Rep.,,,,,,,,,6.254,
Chad,,,,,,32.5836,,,25.222,
Chile,,,,,,,,,795.528,
China,,,,,430.56,431.69,422.56,422.3085,486.454,
Colombia,,,,,,,,,248.957,
Comoros,,,,,,,,,13.552,
"Congo, Rep.",,,,,,18.003,,,13.6614,
Cook Islands,,,,,,,,,,
Costa Rica,,,,,,,,1579.2078,654.146,
Cote d'Ivoire,,,,,,62.1126,80.44,77.7005,52.567,
Croatia,,,,,,,,,,
Cuba,,,,,,,,472.6089,731.97,
Cyprus,,,,255.4851,284.0758,302.86,323.3347,280.1183,304.90675,
Czech Rep.,,,,,,,,,252.9,
"Korea, Dem. Rep.",,,,,,,,,387.592,
"Congo, Dem. Rep.",,,,,,,,,6.724,
Denmark,,,,,,,226.344,,236.419,
Djibouti,,,,,,17.27257,,,24.909,
Dominica,,,,,,,,241.764,,245.48586
Dominican Rep.,,,,,,,,1004.0546,375.214,
Ecuador,,,,,,,,1441.1994,1345.389,
Egypt,,,,1179.08,,,,875.42,989.8,
El Salvador,,,,,,,137.4747,,200.236,
Equatorial Guinea,,,,,,30.877,,,239.3134,
Eritrea,,,,,,,,,75.01,124.0378
Estonia,,,,,,,,112.7563,116.4487,
Ethiopia,,,,,,,,,75.9978,
Faeroe Islands,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,
Fiji,,,,,,41.782,,,86.137,
Finland,,,,,,,,,475.9238,
France,,,,,,,,,667.684,
French Guiana,,,,,,,,,,
French Polynesia,,,,,,,,,,
Gabon,,,,,,71.66,,,97.754,
Gambia,,,,,27.917,,,,20.71322,
Georgia,,,,,,,650.433,,,365.6681
Germany,,,,,,,,,471.357,
Ghana,,,31.41,,,,,,46.5541,
Gibraltar,,,,,,,,,,
Greece,,,,,,,,,703.906,
Greenland,,,,,,,,,,
Grenada,,,,,,,,,,94.699
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,,,,,,,,,170.446,
Guinea,,,,,,135.146,,,177.363,
Guinea-Bissau,,,,,,,15.33111,138.8174,120.2021,
Guyana,,,,,,,1994.57,,2227.734,
Haiti,,,,,,,132.43273,,111.723,
Holy See,,,,,,,,,,
Honduras,,,,,,,,,133.417,
Hungary,,,,,503.383,605.627,,,751.657,
Iceland,,,,,,,,,523.37959,
India,,,,591.39,,616.25,557.04,,596.95,
Indonesia,,,,,,,393.8724,,380.657,
Iran,,,,1269.95,,,,1298.58,1313.39,1327.73
Iraq,,,,3168.961,,2395.088,2176.31,,2509.36,
Ireland,,,,,227.406,,,,287.91046,
Israel,,,508.9904,,435.47,448.95,373.5229,,289.0318,286.9314
Italy,,,763.24,,,,,,764.275,
Jamaica,,,,,,,,355.89,155.997,
Japan,,,,,743.86,,734.88,,693.662,
Jordan,,,,221.0217,,214.352,268.2137,,,164.23559
Kazakhstan,,,,,,,2227.6412,2176.2127,2343.73,
Kenya,,,,,,,81.8937,,48.005,74.8218
Kiribati,,,,,,,,,,
