"GDP per capity, 2005 ppp, WB data",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,568.5519461,631.7827124,672.0791954,748.1128133,808.9020726,874.1979929,879.0326756,1029.215154,1082.949267,
Albania,4241.82248,4397.101349,4441.090088,4404.391583,4260.021529,4238.547755,4365.299637,4216.080841,4053.640737,4368.954908,3910.217793,2751.373391,2572.587897,2856.34896,3137.655083,3598.354761,3961.757375,3581.470551,4053.182072,4471.72045,4799.513398,5126.26431,5253.756466,5522.970763,5814.835828,6101.576853,6376.603379,6725.003521,7216.119498,7427.807916,7660.043814,7861.131481
Algeria,6358.196927,6336.322495,6522.698293,6654.029143,6806.901254,6846.265732,6675.716338,6446.264094,6212.727651,6319.686459,6211.339788,5987.379872,5951.160145,5694.965499,5525.516391,5625.910457,5755.813183,5728.374113,5933.120682,6036.459463,6081.408236,6149.22366,6344.119808,6681.642459,6924.379244,7168.564544,7201.681842,7305.142336,7367.171813,7431.280165,7564.391141,7643.171434
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,3007.846009,3006.828957,3162.860218,3259.244293,3189.962257,3093.463622,2964.979549,2672.74019,1947.296026,1951.740388,2090.259199,2259.483083,2373.277048,2468.013528,2477.574544,2476.18349,2471.999957,2734.74834,2728.21281,2931.128681,3354.650958,3926.104097,4671.694081,5166.084593,5143.279103,5171.713948,5201.308694
Antigua and Barbuda,7331.092342,7695.011658,7801.541186,8288.317189,9245.519503,10149.67059,11631.2124,12796.34263,13671.16877,14571.29752,14939.74968,15109.89861,14987.76075,15447.92783,16018.55457,14958.82981,15557.21906,15894.95928,16177.70402,16446.56646,16330.94142,16373.94709,16507.26021,17087.72618,18041.92215,18556.03467,20763.38113,18560.94944,18628.99509,16526.50579,14904.48839,14139.04569
Argentina,10075.42554,9358.95081,8760.210721,8961.579696,9021.389753,8212.135827,8727.580581,8849.768198,8498.648963,7749.699156,7458.293769,8288.683674,9154.913719,9569.573112,9999.099304,9593.417106,9999.691346,10681.27274,10963.67841,10474.70439,10282.40569,9731.205523,8589.246354,9263.679689,10010.70849,10833.40561,11647.3845,12544.62012,13275.68445,13272.2035,14362.61581,15501.42072
Armenia,,,,,,,,,,,2937.892511,2618.271461,1551.268265,1448.15593,1563.387884,1706.192383,1835.300377,1918.844455,2075.962425,2157.289689,2295.358013,2523.155836,2860.291798,3262.446256,3601.532202,4096.440119,4631.212472,5260.535273,5614.552099,4810.88772,4900.474333,5112.397885
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
