"LEX, IHME",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,50.3,50.2,50.4,50.5,50.1,50.4,50.6,50.7,50,50.8,51,51.1,51.6,52.1,52.5,52.9,53.2,53.6,54,54.5,54.8,55.2,55.5,56.2
Albania,73.5,73.4,73.4,73.4,73.6,73.8,73.9,73.9,73.8,74,74.2,74.4,74.5,74.4,74.4,74.4,74.5,74.7,74.9,75,75.2,75.5,75.7,75.8
Algeria,70.5,70.8,71.1,71.3,71.5,71.7,72.1,72.4,72.9,73,73.2,73.4,73.6,73.7,74.2,74.5,74.8,75,75.3,75.6,75.9,76.1,76.2,76.3
Andorra,80.7,80.8,81,81.2,81.4,81.6,81.8,82.1,82.3,82.5,82.7,82.9,83,83.1,83,83.1,83.2,83.4,83.5,83.6,83.7,83.8,83.8,83.9
Angola,50.3,50.7,50.7,49.6,50.5,50.9,51,51.2,51.6,51.9,52.6,53,53.8,54.5,55.2,56,56.9,57.6,58.3,58.9,59.4,59.7,60.1,60.4
Antigua and Barbuda,72.4,72.3,72.1,72.1,72.2,72.2,72.6,72.9,73.2,73.6,73.9,74.1,74.2,74.3,74.3,74.3,74.4,74.6,74.8,75.1,75.2,75.2,75.2,75.2
Argentina,72.6,72.7,72.8,73.1,73.4,73.5,73.5,73.6,73.7,74,74.3,74.4,74.3,74.5,75,75.4,75.5,75.4,75.5,75.6,75.8,75.9,75.9,76
Armenia,70.1,69.8,69.4,69.2,69.2,69.4,69.7,70.1,70.6,71,71.4,71.7,71.9,72.1,72.1,72.2,72.2,72.3,72.5,72.6,72.9,73.2,73.5,73.8
Australia,77,77.4,77.7,78,78.2,78.4,78.6,78.9,79.1,79.3,79.7,80.1,80.4,80.7,81,81.2,81.4,81.5,81.5,81.6,81.7,81.8,81.8,81.8
Austria,75.7,75.8,76,76.2,76.5,76.8,77.2,77.6,77.8,78,78.2,78.4,78.7,79,79.3,79.6,80,80.2,80.4,80.4,80.5,80.7,80.7,80.8
Azerbaijan,66.1,65.9,65.1,65.1,65.1,65.6,66.1,66.5,67,67.5,68,68.5,68.9,69.1,69.3,69.5,69.9,70.3,70.6,71,71.4,71.7,72,72.3
Bahamas,68.6,68.8,68.9,69,69,69,69.2,69.4,69.6,70,70.3,70.6,70.8,71.2,71.9,72.1,72.1,72.1,72.2,72.3,72.4,72.5,72.6,72.5
Bahrain,71.4,71.6,71.8,72.1,72.4,72.7,72.9,73.1,73.2,73.5,73.6,73.8,74.1,74.4,74.8,75.2,75.7,76.4,77.1,77.7,78.2,78.4,78.9,79
Bangladesh,58.5,57.2,60.1,60.9,61.6,62.4,63.2,63.9,64.6,65.2,65.8,66.3,66.8,67.2,67.6,67.9,68.1,68.1,68.4,68.5,68.6,68.9,69.2,69.5
Barbados,73.1,73.2,73.2,73.3,73.3,73.4,73.5,73.6,73.8,74,74.3,74.5,74.5,74.6,74.9,75,75.1,75.2,75.3,75.3,75.4,75.5,75.5,75.6
Belarus,70.8,70.3,69.6,69,68.5,68.2,68.1,68.1,68,68.1,68.2,68.1,68.1,68.2,68.4,68.8,69.2,69.8,70.1,70.2,70.2,70.1,70.1,70.2
Belgium,76,76.2,76.4,76.5,76.7,76.9,77.1,77.3,77.5,77.6,77.8,78,78.2,78.5,78.9,79.2,79.3,79.4,79.4,79.6,79.8,80,80.1,80.2
Belize,72.1,71.8,71.7,71.6,71.5,71.2,70.7,70.2,69.6,69.1,69,69.1,69.4,70,70.4,70.6,70.8,70.8,70.7,70.3,70.1,70,70,70
Benin,57.1,57.5,57.9,58.2,58.4,58.5,58.6,58.7,58.8,59,59.2,59.4,59.8,60.3,60.9,61.4,62.1,62.7,63.2,63.6,64,64.3,64.6,64.9
Bhutan,59.3,59.9,60.5,61,61.4,62.1,62.7,63.2,63.7,64.2,63.9,65.1,65.5,65.9,66.3,66.6,66.9,67.3,67.6,67.9,68.3,68.7,69,69.4
Bolivia,62.6,63.1,63.6,64.1,64.5,65,65.4,65.9,66.4,67,67.6,68.2,68.7,69.2,69.7,70,70.3,70.6,70.9,71.1,71.3,71.5,71.7,71.9
Bosnia and Herzegovina,73.1,72.7,68.1,68.2,70.6,67.1,73,73.7,74.3,74.8,75.2,75.6,75.7,75.8,75.8,75.7,75.6,75.6,75.9,76.2,76.5,77,77.3,77.5
Botswana,67.9,67.6,66.9,65.8,64.2,62.3,60.2,57.9,55.6,53.5,51.6,50.2,49.3,49.4,51,54.3,57.5,60.1,61.2,62.6,64.5,65.7,65.5,65.8
Brazil,69.1,69.5,69.7,69.7,70,70.2,70.5,71,71.2,71.5,71.9,72.2,72.5,72.7,73,73.4,73.7,73.8,73.9,74,74.2,74.5,74.7,75
Brunei,73.9,73.9,73.9,74,74.1,74.3,74.5,74.7,75,75.3,75.5,75.9,76.3,76.8,77.1,77.3,77.4,77.5,77.8,78.1,78.5,78.7,78.7,78.7
Bulgaria,71.4,71.3,71.2,71,70.8,70.9,70.8,70.7,71.1,71.4,71.7,71.9,72.2,72.4,72.4,72.5,72.7,72.9,73.2,73.3,73.6,74,74.3,74.5
Burkina Faso,52.7,52.6,52.4,52.1,51.9,51.8,51.9,52.1,52.4,52.9,53.3,53.8,54.4,55.1,55.9,56.8,57.7,58.6,59.4,60,60.7,61.2,61.6,62
Burundi,49,48.7,48.4,48,27,47,46.6,46.7,46.8,47.1,47.5,48.4,49.4,50.7,52.2,53.8,55.3,56.5,57.4,58.2,58.7,59.1,59.5,59.8
Cambodia,59.1,59.3,59.5,59.5,59.5,59.7,59.7,59.8,60,60.4,60.9,61.6,62.3,63,63.8,64.5,65.2,65.8,66.2,66.6,66.9,67.2,67.5,67.8
Cameroon,58.7,58.5,58.1,57.7,57.2,56.8,56.3,55.9,55.5,55.2,55,54.8,54.7,54.7,54.7,55.2,55.7,56,56.6,57.1,57.5,57.9,58.3,58.7
Canada,77.4,77.6,77.7,77.8,77.9,78,78.3,78.7,78.9,79.1,79.3,79.5,79.7,79.9,80.1,80.3,80.5,80.6,80.7,80.9,81.1,81.3,81.4,81.5
Cape Verde,68.8,68.9,69,69,69,69.1,69.2,69.3,69.5,69.8,70.1,70.4,70.8,71.1,71.4,71.8,72.2,72.5,72.9,73.1,73.4,73.7,74,74.2
Central African Rep.,46.9,46.9,46.8,46.9,46.7,46.4,46.3,46.2,46.3,46.5,46.7,46.8,47.3,47.6,48,48.4,49,49.6,50.3,51.1,51.7,52.1,52.3,52.8
Chad,53.6,54.3,54.1,54.2,53.9,53.7,53.3,53,52.7,52.5,52.4,52.6,52.7,52.9,53.2,53.6,53.7,54.5,54.8,55.5,56.2,56.5,56.8,57.1
Chile,73,74,74.8,75.1,75.1,75.2,75.6,76.1,76.5,76.9,77.2,77.4,77.6,77.8,78.1,78.4,78.6,78.8,78.9,78.8,78.8,78.9,79,79.1
China,68,68.3,68.6,68.9,69.3,69.6,69.9,70.3,70.7,71.1,71.5,71.9,72.4,72.9,73.4,73.9,74.4,74.9,75.1,75.6,75.9,76.1,76.3,76.5
Colombia,70.9,70.9,71,71.1,71.3,71.6,71.8,72.1,72.2,72.3,72.5,72.7,72.9,73.4,73.7,74.1,74.5,74.9,75.1,75.3,75.3,75.4,75.5,75.6
Comoros,56.9,57.2,57.6,58,58.3,58.6,58.9,59.1,59.4,59.9,60.2,60.6,60.9,61.2,61.6,61.9,62.2,62.4,62.6,62.8,63,63.3,63.5,63.7
"Congo, Dem. Rep.",53.3,53.2,53,52.7,47.3,52.4,51.3,51.9,52.1,52.2,52.5,52.8,52.9,53.3,53.8,54.2,54.6,55.1,55.4,55.8,56.3,56.7,57.1,57.5
"Congo, Rep.",55.6,55.1,54.7,54,53.3,52.8,52.3,48.3,50.6,51.9,52.6,53.1,53.6,54.5,55.4,56.1,57.2,57.9,58.6,59.6,60.3,60.8,61.3,61.5
Costa Rica,76.6,76.6,76.6,76.6,76.6,76.6,76.8,77,77.2,77.4,77.7,77.9,78.1,78.3,78.5,78.8,79.2,79.5,79.7,79.6,79.6,79.6,79.7,79.8
Cote d'Ivoire,56.1,55.7,55.3,54.8,54.3,53.9,53.6,53.3,53.1,53,52.8,52.8,52.7,52.9,53.2,53.6,54.4,55.2,55.9,56.5,57.2,57.8,58.2,58.9
Croatia,72.7,72.7,72.9,73.2,73.4,73.5,73.7,73.7,74,74.3,74.7,75.1,75.5,75.9,76.2,76.3,76.3,76.3,76.5,76.7,77.2,77.5,77.7,77.8
Cuba,74.7,74.7,74.8,74.8,74.8,74.9,75.2,75.3,75.4,75.6,75.9,76.2,76.6,76.8,76.9,77.1,77.4,77.6,77.8,77.9,78,78.1,78.2,78.3
Cyprus,78.2,78.3,78.3,78.2,78.1,78.2,78.3,78.4,78.6,78.8,79.1,79.5,79.8,80,80.2,80.4,80.7,80.9,81.1,81.4,81.6,81.9,82,82.2
Czech Rep.,71.6,71.8,72.3,72.8,73.1,73.5,73.8,74.1,74.5,74.8,75,75.2,75.4,75.6,75.9,76.3,76.6,76.8,77,77.2,77.4,77.7,78,78.2
Denmark,75.1,75.3,75.4,75.5,75.5,75.7,75.9,76.2,76.5,76.7,76.9,77.2,77.4,77.6,77.9,78.1,78.3,78.5,78.7,79,79.3,79.6,79.8,79.9
Djibouti,60.5,60.2,60,60.1,59.6,59.7,59.8,59.7,59.6,59.6,59.6,59.7,59.7,59.7,59.7,59.9,60.2,60.6,61,61.4,61.8,62.2,62.8,63.4
Dominica,71.2,71.1,71.2,71.4,71.7,71.8,72.1,72.3,72.6,72.9,73.3,73.5,73.6,73.7,73.9,74.1,74.2,74.4,74.5,74.6,74.4,74.3,74.3,74.4
Dominican Rep.,71.3,71.5,71.8,72,72.1,72.2,72.2,72.3,72.3,72.6,72.7,72.7,72.6,72.4,72,72.1,72.2,72.2,72.5,72.7,73.1,73.3,73.5,73.6
Ecuador,71.3,71.6,71.8,72,72.2,72.4,72.6,72.7,72.9,73.1,73.2,73.4,73.5,73.6,73.7,73.8,73.8,73.9,74,74.1,74.2,74.4,74.6,74.8
Egypt,64.6,65.2,65.8,66.3,66.8,67.2,67.6,68,68.3,68.6,68.9,69.1,69.3,69.4,69.6,69.8,70,70.1,70.1,70.2,70.3,70.5,70.7,70.9
El Salvador,69.8,70.1,70.2,70.2,70.5,71.2,71.8,71.9,71.9,72.4,72.9,73.2,73.8,73.8,73.6,73.4,73.4,73.7,74.1,74,73.8,73.7,73.8,73.9
Equatorial Guinea,51.3,51.1,51,50.8,50.4,50,50,50.6,51.1,51.8,52.4,53.3,53.9,54.4,55,55.5,56.1,56.3,56.7,56.9,57.2,57.4,57.9,58.8
Eritrea,52.5,53.1,53.9,54.7,55.4,56,56.4,56.7,56.8,49.3,49.3,57.7,58,58.3,58.7,59,59.5,60,60.4,60.7,61,61.3,61.7,62.1
Estonia,70.4,69.8,68.8,67.9,67.4,67.7,68.7,69.4,69.8,69.9,70.1,70.3,70.8,71.4,71.9,72.4,72.8,73.2,74,75,75.8,76.3,76.5,76.6
Ethiopia,47.1,48.4,48.9,49.4,50,50.7,51.3,51.8,52.1,52,52.5,53.6,54.4,55.1,55.9,56.8,57.7,58.6,59.5,60.3,61,61.6,62.1,62.6
Fiji,64.1,64.1,64,63.8,63.8,63.8,63.8,63.7,63.8,63.9,64.2,64.4,64.7,64.9,65.1,65.3,65.4,65.6,65.7,65.8,65.9,66,66,66.1
Finland,75,75.4,75.8,76.2,76.5,76.7,76.9,77.1,77.3,77.5,77.8,78.2,78.5,78.6,78.6,78.8,79,79.2,79.4,79.7,80,80.3,80.5,80.6
France,77.1,77.3,77.5,77.7,77.9,78.1,78.4,78.7,78.8,78.9,79.1,79.2,79.4,79.7,80.1,80.4,80.7,80.9,81,81,81.2,81.4,81.6,81.7
Gabon,60.5,60.3,60.2,60.1,59.9,59.7,59.4,59.2,58.9,58.5,58,57.5,57.2,56.9,56.7,57,57.6,57.7,57.5,57.3,57.5,57.8,58.4,59.1
Gambia,57.5,57.7,57.9,58.1,58.4,58.6,58.8,59.1,59.4,59.6,60,60.3,60.5,60.7,61,61.3,61.6,61.9,62.2,62.6,63,63.5,63.9,64.3
