,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.57,,0.53,0.85,,,0.62,,,
Algeria,,,,,,,,,,,7.56,,,,,,,6.79,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,54.31,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,0,0,,,,0.55,1.77,2.05,1.93,3.88,4.27,3.77,4,4.21,5.12,8.27,12.57,9.79,6.29,4.55,3.69,2.71,1.94,2.01,0.92,
Armenia,,,,,,,,,,,,,,,,,,,17.5,,,18.03,,19.84,14.97,10.63,7.43,3.98,2.96,3.46,1.28,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,16.26,,,,,,6.32,,,,,,,0.43,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,60.57,,55.27,,,66.69,,,70.22,,,,60.91,,,,58.59,,,,,50.47,,,,,43.25,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,0.08,,,,,0.02,,0.36,,,0.93,,0.33,0.46,0.6,,0.18,0.18,0.1,0.13,0.1,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,9.09,8.93,14.03,9.66,12.45,11.31,12.21,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,47.33,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,26.23,,,,10.22,,,,
Bolivia,,,,,,,,,,,,,,5.24,,8.51,,,,17.17,,23.33,26.9,21.44,22.01,,,18.21,16.21,13.06,15.61,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,0.1,,,0.04,,,,
Botswana,,,,,,,,,35.61,,,,,,,,31.23,,,,,,,,,,,,,,,,,
Brazil,,,,13.64,13.66,16.65,15.5,13.52,9.7,13.64,14.68,13.72,17.23,,17.92,17.04,,11.26,12.39,12.32,11.03,11.38,,11.82,10.56,11.21,9.77,8.52,7.64,7.13,6.01,6.14,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,0.04,,,0,,0.22,2.02,,0.32,,,,2.64,,0,,,,0,,,,
Burkina Faso,,,,,,,,,,,,,,,,,71.17,,,,70.03,,,,,56.54,,,,,,44.6,,
Burundi,,,,,,,,,,,,,,,84.24,,,,,,86.43,,,,,,,,81.32,,,,,
Cambodia,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,37.69,,,32.23,22.75,,,
Cameroon,,,,,,,,,,,,,,,,,,,24.88,,,,,10.77,,,,,,9.56,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,21.02,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,83.15,,,,,,,,,,,62.43,,,,,62.83,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,61.94,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,7.45,,,5.06,,2.74,,3.14,,2.21,,2.35,,2.26,,,1.98,,,1.13,,,1.35,,
China,,,,84.02,,,69.43,,,54.03,,,60.18,,63.8,53.69,59.78,54.05,36.37,47.84,47.97,35.63,,,28.36,,,16.25,,,13.06,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,15.45,,,,,,,,10.69,8.08,,8.18,6.29,,,,13,,,16.18,17.85,19.18,20.26,19.61,18.98,12.71,11.04,8.84,11.32,9.67,8.16,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,46.11,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.72,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,21.38,,,,,11.17,,,10.79,8.45,9.69,8.11,6.89,5.75,6.01,7.02,5.3,4.22,5.43,5.53,6.02,6.03,5.8,5.28,3.91,4.04,2.16,2.42,3.12,,
Cote d'Ivoire,,,,,,,,9.53,4.11,8.68,13.76,,,,,17.79,,21.09,,,24.06,,,,23.34,,,,,,23.75,,,
Croatia,,,,,,,,,,,0.04,,,,,,,,,,0.06,0.19,0.07,0.06,,,0.06,,,,0.06,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,0,,,,,0,,,0.13,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,18.84,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,16.37,,,12.16,,,4.66,,,,4.69,4.95,,,5.24,3.73,5.7,6.63,8.13,6.14,4.23,3.83,3.3,2.99,2.24,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,12.86,,,,,,,14.1,9.99,,,14.47,23.92,20.73,,,12.17,,9.13,6.14,7.23,6.45,6.38,4.61,
Egypt,,,,,,,,,,,,,,4.46,,,,,2.46,,,,1.81,,,,,1.99,,,1.69,,,
El Salvador,,,,,,,,,,,,15.24,,17.1,,,,9.96,11.5,,17.38,13.81,,14.4,14.75,13.3,11.49,11.57,5.32,6.58,5.44,8.97,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,0.05,,,,,0.79,,0.25,,,0.05,,0.64,0.53,0.51,0,0.46,,,,,,,
Ethiopia,,,,,66.22,,,,,,,,,,,,,60.52,,,,,55.58,,,,,38.96,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,29.16,,,,,,5.88,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,,,,,,
