,2005
Abkhazia,
Afghanistan,8
Akrotiri and Dhekelia,
Albania,8
Algeria,8
American Samoa,
Andorra,
Angola,8
Anguilla,
Antigua and Barbuda,
Argentina,2
Armenia,8
Aruba,
Australia,1
Austria,1
Azerbaijan,8
Bahamas,1
Bahrain,2
Bangladesh,7
Barbados,1
Belarus,1
Belgium,1
Belize,1
Benin,8
Bermuda,
Bhutan,8
Bolivia,3
Bosnia and Herzegovina,1
Botswana,8
Brazil,4
British Virgin Islands,
Brunei,8
Bulgaria,1
Burkina Faso,3
Burundi,8
Cambodia,3
Cameroon,3
Canada,1
Cape Verde,8
Cayman Islands,
Central African Rep.,8
Chad,3
Channel Islands,
Chile,1
China,5
Christmas Island,
Cocos Island,
Colombia,8
Comoros,8
"Congo, Dem. Rep.",8
"Congo, Rep.",3
Cook Islands,
Costa Rica,1
Cote d'Ivoire,8
Croatia,1
Cuba,1
Cyprus,1
Czech Rep.,1
Czechoslovakia,
Denmark,1
Djibouti,8
Dominica,
Dominican Rep.,3
East Germany,
Ecuador,8
Egypt,4
El Salvador,8
Equatorial Guinea,8
Eritrea,8
Eritrea and Ethiopia,
Estonia,1
Ethiopia,3
Faeroe Islands,
Falkland Islands (Malvinas),
Fiji,8
Finland,1
France,1
French Guiana,
French Polynesia,
Gabon,3
Gambia,8
Georgia,8
Germany,1
Ghana,8
Gibraltar,
Greece,2
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,8
Guernsey,
Guinea,3
Guinea-Bissau,8
Guyana,8
Haiti,3
Holy See,
Honduras,6
"Hong Kong, China",
Hungary,1
Iceland,1
India,5
Indonesia,3
Iran,6
Iraq,8
Ireland,1
Isle of Man,
Israel,1
Italy,1
Jamaica,8
Japan,1
Jersey,
Jordan,4
Kazakhstan,8
Kenya,3
Kiribati,
"Korea, Dem. Rep.",8
"Korea, Rep.",1
"Korea, United",
Kosovo,
Kuwait,1
Kyrgyzstan,8
Laos,8
Latvia,1
Lebanon,8
Lesotho,3
Liberia,8
Libya,8
Liechtenstein,
Lithuania,1
Luxembourg,1
"Macao, China",
"Macedonia, FYR",1
Madagascar,3
Malawi,3
Malaysia,7
Maldives,8
Mali,3
Malta,1
Marshall Islands,
Martinique,
Mauritania,3
Mauritius,1
Mayotte,
Mexico,1
"Micronesia, Fed. Sts.",
Moldova,1
Monaco,
Mongolia,1
Montenegro,
Montserrat,
Morocco,3
Mozambique,3
Myanmar,7
Namibia,3
Nauru,
Nepal,8
Netherlands,1
Netherlands Antilles,
New Caledonia,
New Zealand,1
Ngorno-Karabakh,
Nicaragua,6
Niger,8
Nigeria,8
Niue,
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,1
Oman,8
Pakistan,8
Palau,
Panama,8
Papua New Guinea,8
Paraguay,6
Peru,3
Philippines,8
Pitcairn,
Poland,2
Portugal,2
Puerto Rico,1
Qatar,2
Reunion,
Romania,1
Russia,1
Rwanda,3
Saint Barthélemy,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Vincent and the Grenadines,
Saint-Pierre-et-Miquelon,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,7
Senegal,3
Serbia,
Serbia and Montenegro,1
Serbia excluding Kosovo,
Seychelles,
Sierra Leone,8
Singapore,1
Slovak Republic,1
Slovenia,1
Solomon Islands,8
Somalia,8
Somaliland,
South Africa,6
South Ossetia,
Spain,1
Sri Lanka,7
Sudan,8
Suriname,1
Svalbard,
Swaziland,8
Sweden,1
Switzerland,1
Syria,8
Taiwan,
Tajikistan,8
Tanzania,3
Thailand,7
Timor-Leste,8
Togo,3
Tokelau,
Tonga,
Transnistria,
Trinidad and Tobago,1
Tunisia,8
Turkey,4
Turkmenistan,8
Turks and Caicos Islands,
Tuvalu,
Uganda,3
Ukraine,1
United Arab Emirates,8
United Kingdom,1
United States,1
Uruguay,1
USSR,
Uzbekistan,1
Wallis et Futuna,
Vanuatu,
Venezuela,1
West Bank and Gaza,
West Germany,
Western Sahara,
Vietnam,8
Virgin Islands (U.S.),
Yemen Arab Republic (Former),
Yemen Democratic (Former),
"Yemen, Rep.",8
Yugoslavia,
Zambia,3
Zimbabwe,8
Åland,
