"Car mortality per 100,000, age adjusted",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,,,,,,,,,,,,,,,,,,,,,,5.977778498,,
Argentina,,,,,,,,,,,,,10.327,11.597,10.907,9.882,8.653,7.383,7.96,8.216,8.383,8.971,8.682,
Armenia,,,,,,,,,,,,,,,,,,,,,,,7.8993,
Australia,,,,,,,,,,,,,7.019,6.702,6.791,7.098,6.271,6.33,5.972,5.424,,4.803,5.3352,
Austria,,,,,,,,,,,,,,,7.774,5.761,6.08,4.685,5.044,4.655,4.443,4.185,4.04,3.541
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,5.279,
Bahamas,,,,,,,,,,,,,,,14.477,14.77,10.532,8.145,8.183,11.501,14.233,,9.408,
Bahrain,,,,,,,,,,,,,21.062,25.811,4.247,13.531,13.601,,,,,,8.1903,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,4.401493912,,
Barbados,,,,,,,,,,,,,,,,9.518,4.014,8.266,8.106,,,,8.7703,
Belarus,,,,,,,,,,,,,,,,,,,,,,,8.45445403,
Belgium,,,,,,,,,7.276,8.022,7.073,,7.727,9.802,9.144,,,,,6.641,,,5.42715,
Belize,,,,,,,,,,,,,,,,,23.044,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,13.125,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,11.741,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,6.405,
Botswana,,,,,,,,,,,,,,,,,,,,,,,29.5653,
Brazil,,,,,,,,,,,,6.76,6.541,5.73,6.651,7.065,6.643,6.977,6.709,7.247,6.842,1.8718,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,18.011,
Brunei,,,,,,,,,,,,,,,,,,,,,,,11.6732,
Bulgaria,,,,,,,,,,,,,,,,,,,,,6.85,8.361,8.804,9.662
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,19.398,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,1.97208,
Cameroon,,,,,,,,,,,,,,,,,20.4641525,,,,,,,
Canada,,,,,,,,,,,,,8.583,7.667,8.072,6.4,5.989,6.308,5.859,5.607,,6.3329,,
Chile,,,,,,,,,,,,,2.491,1.816,0.771,1.421,1.771,0.88,1.221,1.472,1.329,3.3291,,
China,,,,,,,,,,,,,,,,,,,,,,,3.59022,
Colombia,,,,,,,,,,,,,4.882,4.448,3.579,3.512,2.862,2.833,,2.996,2.507,2.078,2.18313,
Comoros,,,,,,,,,,,,,,,,,,,,,,,28.95,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,15.36,
Costa Rica,,,,,,,,,,,,,5.185,6.495,5.973,5.373,1.975,4.746,4.69,3.479,1.146,0.589,6.3195,
Croatia,,,,,,,,,,,9.582,7.656,8.365,7.947,7.582,8.698,7.591,6.736,8.884,8.075,7.474,6.952,7.15,6.434
Cuba,,,,,,,,,,,,,,,,5.063,4.205,3.64,3.468,3.057,3.246,2.849,2.63,
Cyprus,,,,,,,,,,,,,,,,,,,,9.1,9.219,4.987,6.419,
Czech Rep.,,,,,,,,,,6.144,7.837,7.641,7.511,6.41,6.222,6.6,6.099,6.208,6.38,5.91,6.123,4.978,6.212,5.72
Denmark,,,,,,,,,,5.232,5.914,5.65,5.056,5.34,5.67,5.288,5.438,5.6,5.409,4.162,3.876,3.481,,
Dominican Rep.,,,,,,,,,,,,17.122,20.16,19.604,20.258,17.152,17.201,,17.3,15.517,,,17.052,
Ecuador,,,,,,,,,,,,,4.463,2.389,2.453,3.821,4.1,3.276,5.552,5.341,4.646,7.04,,
Egypt,,,,,,,,,,,,,,,,8.18,,,,8.49,8.509,8.722,10.434,10.704
El Salvador,,,,,,,,,,,,,8.487,16.354,33.695,,32.754,,,,,,,
Estonia,,,,,,,,,,,,,14.126,14.129,10.898,9.115,7.932,10.447,6.943,6.544,7.741,9.554,9.567,5.896
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,19.046,
Fiji,,,,,,,,,,,,,,,,,,,,,,,5.625,
Finland,,,,,,,,,,,,4.702,5.11,4.579,4.926,4.547,5.351,4.974,4.632,4.758,4.341,3.704,4.632,3.615
France,,,,,,,,,,,,,6.813,6.818,5.466,5.992,6.39,6.07,4.426,3.958,3.592,3.091,2.491,
French Guiana,,,,,,,,,,,,,,,,,,8.887,4.932,,7.078,9.489,,
Georgia,,,,,,,,,,,,,,5.912,6.953,6.529,8.737,,,,,,,
Germany,,,,,,,,,,,,,,6.136,6.106,5.912,5.237,5.08,4.682,3.954,3.382,3.28,,
Ghana,,,,,,,,,,,,,,,,,,,,,,13.86287525,,
Greece,,,,,,,,,,,,,,13.624,11.486,11.793,11.184,10.255,8.953,10.826,10.322,9.175,,
Grenada,,,,,,,,,,,,,,,,,,,4.577,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,3.376,5.159,5.652,2.728,9.282,1.784,,
Guatemala,,,,,,,,,,,,,,,,,,,,3.098016775,1.8,0.862,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,7.3911,
Haiti,,,,,,,,,,,,,,,,,,0.558,1.005,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,11.448,
"Hong Kong, China",,,,,,,,,,,,,,,,,0.64,0.73,0.735,0.546,0.954,0.649,0.572,
Hungary,,,,,,,,,,,,6.24,6.187,6.032,6.029,5.717,5.64,7.329,7.123,7.023,6.876,7.074,6.734,5.234
Iceland,,,,,,,,,,,,2.803,2.489,9.303,4.026,9.261,8.381,9.333,6.029,5.333,4.566,8.03,3.091,3.435
India,,,,,,,,,,,,,,,,,,,,,,3.033993307,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,1.232
Iran,,,,,,,,,,,,,,,,,,,,26.72674795,,,,
Ireland,,,,,,,,,,,,6.689,6.496,7.365,6.724,7.104,6.473,5.594,4.488,3.778,4.469,4.036891446,4.108,3.768
Israel,,,,,,,,,,,,7.34,7.182,5.988,6.159,5.23,6.678,5.788,4.773,5.441,4.939,4.382,4.589,
Italy,,,,,,,,,,,,7.21,7.755,7.472,7.387,7.084,6.94,6.857,5.449,,,4.098,3.778,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,7.02,
Japan,,,,,,,,,,,3.993,3.741,3.756,3.511,3.402,3.331,3.114,2.896,2.467,2.381,2.2,1.925,1.706,1.381
Jordan,,,,,,,,,,,,,,,,,,,,,,,27.84,
Kenya,,,,,,,,,,,,,,,,,,,,,,,18.7892,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,3.672,
"Korea, Rep.",,,,,,,,,,,12.247,11.135,7.22,2.818,2.196,4.158,2.67,2.86,6.348,5.135,4.695,4.615,4.3188,
Kuwait,,,,,,,,,,,8.177,,27.378,1.019,2.436,0.693,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,4.46,4.478,7.469,7.817,7.901,7.298,4.63,9.618,10.702
Latvia,,,,,,,,,,,,9.649,11.348,15.555,13.607,13.033,12.406,12.765,11.647,11.069,10.238,8.135,10.011,8.275
Lesotho,,,,,,,,,,,,,,,,,,,,,,,6.0896,
Lithuania,,,,,,,,,,,,,,11.738,11.506,9.423,10.716,11.238,11.65,11.005,12.663,13.661,13.209,8.09
Luxembourg,,,,,,,,,,,,,,11.609,11.346,14.807,15.204,12.483,8.018,7.635,8.638,5.971,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,2.6923,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,11.88,
Malaysia,,,,,,,,,,,,,,,,5.879,0.644,0.383,1.724,9.863,10.555,9.539,6.1279,
Maldives,,,,,,,,,,,,,,,,,,,,,29.273,,,
Malta,,,,,,,,,,,2.886,2.296,2.234,1.706,1.389,2.51,2.296,1.434,0.956,1.449,2.695,1.463,1.523,2.228
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,1.8,
Martinique,,,,,,,,,,,,,,,,3.11,3.279,5.384,8.108,5.293,8.882,2.599,,
Mauritius,,,,,,,,,,,,,,,,0.113,0.119,,,,,,2.9881525,
Mexico,,,,,,,,,,,,,,8.52,8.658,8.681,8.065,8.84,8.675,8.819,9.253,9.669,9.468,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,14.76,
Moldova,,,,,,,,,,,,3.771,3.931,4.287,4.361,2.616,2.572,3.312,3.379,3.821,5.006,3.255,4.512,5.529
Mongolia,,,,,,,,,,,,,,,,,,,,,,,13.8237,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,15.37548,
Morocco,,,,,,,,,,,,,,,,,,,,,,,15.25378,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,13.717,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,12.0019,
Netherlands,,,,,,,,,,,,4.173,3.858,3.715,3.946,3.878,3.471,3.598,3.65,2.842,2.292,2.22,2.262,2.237
Netherlands Antilles,,,,3.299,7.132,5.636,13.154,5.965,8.544,8.357,7.735,5.714,2.603,5.255,4.498,9.587,,,,,,,,
New Zealand,,,,,,,,,,,,,11.408,10.495,11.073,9.761,9.417,8.655,9.762,9.157,8.433,6.891,7.6,
Nicaragua,,,,,,,,,,,,,4.355,3.722,10.03,2.537,7.291,4.63,3.44,2.983,3.539,,7.788,
Niger,,,,,,,,,,,,,,,,,,,,,,,30.82,
Norway,,,,,,,,,,,,4.326,4.793,5.456,4.939,5.261,4.312,4.942,4.41,4.105,3.57,3.226,3.125,
Palau,,,,,,,,,,,,,,,,,,,,,,,10.73226,
Panama,,,,,,,,,,,,,,9.906,10.149,6.612,6.874,7.517,7.583,6.666,6.958689676,7.986,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,11.2612,
Paraguay,,,,,,,,,,,,2.723,3.89,4.82,6.067,5.574,4.74,3.13,3.349,2.564,2.682,3.247,,
Peru,,,,,,,,,,,,,,,12.565,13.978,,,,,,,4.446,
Philippines,,,,,,,,,,,,,,,3.759,3.582,2.804,2.824,2.507,,,,,
Poland,,,,,,,,,,,,,,,8.839,8.276,7.597,7.866,7.48,7.097,7.204,6.825,7.519,7.675
Portugal,,,,,,,,,,,,,,2.957,2.43,5.625,,3.49,4.609,,,,5.0778,
Puerto Rico,,,,,,,,,,,,,,,7.231,8.05,5.987,7.715,7.143,,4.797,,6.17344,
Qatar,,,,,,,,,,,,,,,,,,,,,,,16.353,
Reunion,,,,,,,,,,,,,,,,,8.437,3.376,1.896,2.09,0.939,3.301,,
Romania,,,,,,,,,,,,,,,,,,,,,,,8.80789659,
Russia,,,,,,,,,,,,,,,,,,,,,,,14.384,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,6.416,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,15.8954
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,2.188,0.946,1.626,,1.443,,,3.124,
San Marino,,,,,,,,,,,,,,,,,,,,,5.946494865,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,24.7487,
Serbia,,,,,,,,,,,,,,,,,,,,,,,5.984885907,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,11.7,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,21.32,
Singapore,,,,,,,1.048,1.014,0.997,1.243,0.848,1.032,1.19,0.953,0.808,0.918,0.923,0.805,0.914,,,,0.7152,
Slovak Republic,,,,,,,,,,6.304,7.007,6.217,8.045,8.433,6.649,5.684,6.096,5.97,6.255,5.813,5.968,,6.7456,
Slovenia,11.812,13.805,14.749,15.138,18.192,14.201,13.424,13.292,14.478,17.298,12.24,12.906,9.997,8.354,8.508,7.584,8.033,7.687,6.779,7.924,7.086,7.213,8.638,5.315
South Africa,,,,,,,,,,,,24.518,6.165,8.23,6.021,4.676,3.796,2.386,5.016,4.235,5.409,7,8.907,
Spain,,,,,,,,,,,,,10.06,10.757,10.331,10.151,9.168,8.818,8.823,7.466,6.603,5.146,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,11.78848,
Suriname,,,,,,,,,,,3.573,7.78,13.035,8.894,18.827,13.816,,,,10.793,11.339,,8.5734,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,20.15,
Sweden,,,,,,,,,,,,3.976,3.604,3.486,3.949,4.262,4.286,4.127,3.881,3.091,3.184,3.099,2.737,
Switzerland,,,,,,,,,,,,,,,,,,,,,,2.34153648,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,9.4478,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,16.5456,
Thailand,,,,,,,12.342,3.892,,25.338,26.828,25.746,17.12,8.041,16.304,13.577,,9.383,,,,7.98,2.101,
Tonga,,,,,,,,,,,,,,,,,,,,,,,3.85,
Trinidad and Tobago,,,,,,,,,,,,,,,7.461,6.48,9.633,7.511,,,,,9.4468,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,19.2926,
Turkey,,,,,,,,,,,,,,,,,,,,,,7.189345032,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,13.688,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,8.7714,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,31.85,
United Kingdom,,,,,,,,,,,,,,3.452,3.393,,3.175,3.455,3.564,3.285,3.348,3.257,3.377,
United States,,,,,,,,,,,,,12.726,12.504,10.972,10.912,10.752,11.154,10.615,10.285,9.949,9.5228,,
Uruguay,,,,,,,,,,,,,4.972,7.452,5.062,3.217,2.686,,,2.566,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,6.297,6.418,,,
Venezuela,,,,,,,,,,,,4.818,6.291,8.218,7.394,7.946,8.083,7.984,6.485,6.849,6.82,,7.332,
Virgin Islands (U.S.),,,,,,,,,,,,,,,10.276,6.029,5.566,1.612,1.451,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,11.2572,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,20.8496,,
