"2-wheeler, motorized, mortality per 100,000",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,1.03,1.101,1.038,1.146,1.751,1.48,1.448,1.278,1.499,2.058,2.606,
Australia,,,,,,,,,,,,,1.175,1.261,1.114,1.209,1.383,1.344,1.169,1.194,,1.256,,
Austria,,,,,,,,,,,,,,,2.25,3.334,3.08,2.285,2.505,2.271,2.202,1.847,1.919,1.683
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,0.645,2.133,5.052,5.465,0.62,0.619,3.988,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,2.36,,,0.876,,,,,
Belgium,,,,,,,,,8.495,8.927,7.607,,4.891,2.44,2.804,,,,,2.36,,,,
Belize,,,,,,,,,,,,,,,,,,,,,11.601,,,
Brazil,,,,,,,,,,,,1.132,1.416,1.399,1.929,2.677,2.86,3.358,3.602,4.065,4.637,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,0.602,0.862,0.609,1.027
Canada,,,,,,,,,,,,,0.448,0.7,0.61,0.989,0.841,0.888,0.916,1.018,,,,
Chile,,,,,,,,,,,,,0.765,0.47,0.295,0.521,0.353,0.19,0.229,0.291,0.249,,,
Colombia,,,,,,,,,,,,,5.878,6.111,5.839,4.844,4.934,4.464,,3.997,3.892,4.8,,
Costa Rica,,,,,,,,,,,,,2.188,2.354,3.17,3.129,1.456,2.504,2.226,0.902,1.761,2.636,,
Croatia,,,,,,,,,,,1.295,1.115,0.83,1.314,1.292,1.15,1.246,2.015,1.78,1.698,2.2,1.775,2.725,3.383
Cuba,,,,,,,,,,,,,,,,1.869,1.654,1.687,1.351,1.541,1.681,1.391,1.128,
Cyprus,,,,,,,,,,,,,,,,,,,,4.391,3.402,3.428,3.367,
Czech Republic,,,,,,,,,,0.91,0.768,0.67,1.09,0.945,1.364,1.343,1.087,1.618,1.403,1.215,1.304,1.269,1.438,1.452
Denmark,,,,,,,,,,1.449,1.337,0.999,0.862,1.138,1.436,1.502,1.23,1.183,1.434,1.363,1.074,0.977,,
Dominican Republic,,,,,,,,,,,,0.712,0.632,0.863,1.532,1.318,0.935,,1.434,0.981,,,,
Ecuador,,,,,,,,,,,,,0.135,0.077,0.339,0.123,,,0.107,0.09,0.327,0.418,,
Egypt,,,,,,,,,,,,,,,,0.09,,,,0.125,0.06,0.107,0.215,0.326
El Salvador,,,,,,,,,,,,,4.246,15.754,,,,,,,,,,
Estonia,,,,,,,,,,,,,1.13,0.511,0.377,0.44,0.793,0.186,0.601,0.294,0.564,0.639,1.018,0.814
Fiji,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,0.744,0.567,0.654,0.508,0.454,0.567,0.748,0.787,0.728,0.869,0.918,1.097,0.952
France,,,,,,,,,,,,,6.845,7.743,8.715,5.043,5.045,4.364,3.968,3.841,4.02,3.513,3.776,
French Guiana,,,,,,,,,,,,,,,,,8.654,,18.073,18.382,17.137,3.906,,
Georgia,,,,,,,,,,,,,,0.039,,0.029,,,,,,,,
Germany,,,,,,,,,,,,,,1.363,1.613,1.515,1.511,1.506,1.561,1.405,1.439,1.248,,
Greece,,,,,,,,,,,,,,4.261,5.657,4.662,4.258,3.523,4.414,4.225,4.136,4.425,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,19.413,9.027,5.626,9.38,11.562,3.939,12.494,,
Guatemala,,,,,,,,,,,,,,,,,,,,,0.202,0.402,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,0.205,,0.662,,,,,,,
Hong Kong SAR,,,,,,,,,,,,,,,,,0.324,0.28,0.267,0.273,0.238,0.222,0.192,
Hungary,,,,,,,,,,,,1.056,1.351,1.296,1.029,0.89,1.131,0.986,1.255,1,1.572,1.484,1.621,1.436
Iceland,,,,,,,,,,,,,0.398,,0.387,0.385,0.71,,,0.95,0.397,0.934,1.07,0.382
Ireland,,,,,,,,,,,,1.664,1.555,0.953,0.98,0.913,1.214,1.107,1.171,0.867,0.913,,0.568,0.54
Israel,,,,,,,,,,,,,0.021,0.981,0.651,0.949,0.721,0.79,0.853,0.684,0.865,0.83,0.716,
Italy,,,,,,,,,,,,4.139,4.011,5.179,4.918,4.513,5.017,4.817,3.29,,,3.409,3.603,
Japan,,,,,,,,,,,2.038,1.865,1.73,1.719,1.605,1.626,1.608,1.488,1.405,1.311,1.155,1.075,0.987,0.941
Kuwait,,,,,,,,,,,18.359,,,2.47,,3.13,2.479,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,0.167,0.255,0.459,0.202,0.279,0.077,0.404,0.194,
Latvia,,,,,,,,,,,,2.804,2.387,1.989,1.761,1.209,1.092,1.601,0.948,1.068,0.768,0.861,0.642,1.272
Lithuania,,,,,,,,,,,,,,0.782,0.901,0.745,0.652,0.905,0.867,0.77,1.074,0.962,1.34,1.397
Luxembourg,,,,,,,,,,,,,,0.924,1.225,1.948,1.789,0.183,3.091,2.587,1.439,1.821,,
Malaysia,,,,,,,,,,,,,,,,0.586,9.093,4.017,5.442,3.365,5.728,4.901,,
Maldives,,,,,,,,,,,,,,,,,,,,2.946,,,,
Malta,,,,,,,,,,,0.849,0.928,1.811,,0.612,1.138,0.605,1.261,2.087,1.412,0.791,0.625,1.137,1.149
Martinique,,,,,,,,,,,,,,,,16.782,11.231,7.005,3.143,4.817,3.837,11.138,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,0.426,0.394,0.387,0.464,0.483,0.641,0.747,0.886,1.119,1.516,
Netherlands,,,,,,,,,,,,1.415,1.27,1.212,1.272,1.253,0.992,1.274,1.251,0.985,0.878,0.791,0.891,0.795
Netherlands Antilles,,,,0.609,,0.607,,,0.677,1.457,,0.798,2.789,3.496,1.138,0.904,,,,,,,,
New Zealand,,,,,,,,,,,,,1.766,1.45,1.411,1.063,0.904,0.928,1.039,0.914,0.995,1.076,,
Nicaragua,,,,,,,,,,,,,0.664,1.081,0.271,0.282,0.291,0.746,0.636,0.795,1.06,,,
Norway,,,,,,,,,,,,0.505,1.032,1.162,1.056,1.148,0.889,1.201,1.055,1.163,0.987,1.048,0.996,
Panama,,,,,,,,,,,,,,0.494,0.148,0.243,0.578,0.214,0.295,0.515,,0.668,,
Paraguay,,,,,,,,,,,,0.673,0.577,0.52,0.642,0.54,0.729,1.141,1.313,1.81,3.059,4.823,,
Peru,,,,,,,,,,,,,,,0.028,,,,,,,,,
Philippines,,,,,,,,,,,,,,,1.227,1.931,2.98,3.08,3.465,,,,,
Poland,,,,,,,,,,,,,,,0.735,0.724,0.597,0.546,0.551,0.594,0.576,0.563,0.709,0.968
Portugal,,,,,,,,,,,,,,13.338,13.319,8.22,,2.896,3.164,,,,,
Puerto Rico,,,,,,,,,,,,,,,0.639,0.991,1.568,1.225,1.447,,2.783,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,,,,,,,,,,,9.502,8.473,8.885,6.583,6.295,6.145,5.221,4.007,2.963,2.762,2.416,2.836,,
Republic of Moldova,,,,,,,,,,,,2.623,2.247,1.077,0.664,1.193,1.271,1.16,1.276,1.932,0.862,1.966,1.731,1.687
Reunion,,,,,,,,,,,,,,,,,3.717,8.877,10.798,6.679,5.573,5.923,,
Saint Lucia,,,,,,,,,,,,,23.732,,,,,,,,,,,
Saint Vincent and Grenadines,,,,,,,,,,,,,,,,,,,,1.423,,,,
Singapore,,,,,,,2.749,2.645,2.939,2.535,2.728,2.081,2.434,1.87,1.677,2.208,2.079,2.045,2.763,,,,,
Slovakia,,,,,,,,,,0.675,0.773,0.582,0.717,0.998,0.549,0.848,0.613,0.826,0.829,0.893,1.07,,,
Slovenia,2.742,2.856,1.928,2.895,2.156,3.77,3.527,2.135,2.041,1.985,1.836,1.812,2.199,1.828,2.271,2.225,2.762,1.42,1.636,1.777,2.116,3.103,3.025,2.282
South Africa,,,,,,,,,,,,0.77,2.242,2.012,2.096,1.734,0.964,2.228,1.296,2.028,1.355,0.78,1.11,
Spain,,,,,,,,,,,,,2.471,2.628,1.859,1.961,2.029,1.817,1.911,1.788,2.039,,,
Suriname,,,,,,,,,,,,,0.426,,1.09,0.496,,,,1.577,2.383,,,
Sweden,,,,,,,,,,,,0.848,0.656,0.729,0.576,0.606,0.609,0.644,0.79,0.946,0.686,0.912,0.93,
Thailand,,,,,,26.355,16.91,27.964,,2.08,3.316,,1.999,2.198,6.521,12.281,,14.816,,,,14.319,,
Trinidad and Tobago,,,,,,,,,,,,,,,0.444,0.668,0.302,0.168,,,,,,
United Kingdom,,,,,,,,,,,,,,1.051,1.16,,1.091,1.162,1.249,1.202,1.089,1.194,1.225,
United States of America,,,,,,,,,,,,,0.868,0.883,1.356,1.597,1.675,1.647,1.858,2.044,2.246,,,
Uruguay,,,,,,,,,,,,,6.936,5.863,5.523,6.249,4.306,,,6.166,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,0.072,0.051,,,
Venezuela,,,,,,,,,,,,2.393,1.486,1.585,2.186,2.433,3.075,3.284,3.097,2.118,1.977,,7.864,
Virgin Islands (USA),,,,,,,,,,,,,,,,1.724,3.168,8.436,2.212,,,,,
