Homicide 0-14 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,0.6989126,1.000097,1.279536,1.497368,1.3932,,,,,,,1.325477,1.368024,1.000305,0.9622977,0.9995618,1.275178,1.09007,0.8258849,0.9637021,1.139401,1.092625,1.028817,1.199456,1.11217,0.8086826,1.053665,0.9780689,1.043078,1.078711,1.228394,1.157686,0.8209372,0.9039348,0.8589863,0.87539,1.109397,0.8869334,0.8198234,0.7535442,0.8087536,0.6364267,
Australia,0.8792219,0.5957052,1.066768,0.6639566,0.7350766,0.7663782,0.729623,0.7143451,0.9431635,0.5762098,0.6117327,0.5943555,0.7041047,0.8568434,1.250704,0.9602641,0.5364618,0.663848,0.7076589,0.7983837,1.034001,0.9273332,0.8848116,0.9115628,0.9238259,0.8032548,0.507338,1.25927,0.7817219,0.7518451,0.9027448,0.7740408,1.05053,0.7281465,0.8788669,0.842639,0.7995252,0.7756798,0.9575932,0.7881044,0.9396896,0.716718,0.4731794,1.030727,0.8915139,0.7799752,0.7070945,0.6508186,0.7267702,0.6999719,0.672654,0.7559054,0.4179451,0.714932,0.2086097,,0.2591267,,
Austria,,,,,,1.702983,2.235606,1.154003,1.19555,0.8916439,1.600024,1.202795,0.831541,0.4750908,1.020633,1.135986,1.404847,1.123892,0.8920983,1.412554,1.394908,0.8262202,0.9343286,1.062593,0.9320816,1.241976,0.6891555,0.8058081,0.8532164,1.006775,1.000665,0.6060934,0.7539384,1.284721,1.311161,1.000865,1.154675,1.402029,0.6248991,1.135446,1.509747,1.030385,0.582727,0.9999794,0.5070162,0.9432858,1.251737,0.8875504,1.05246,0.6126469,0.8898327,0.9092929,0.5082626,0.5800611,0.5489775,0.9716038,0.8130765,0.5890694,0.2530558
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3182044,0.382622,,,0.1930796,0.2737733,0.8014131,0.3841499,0.175767,0.5178916,0.3393275,3.347004,2.311191,2.128029,0.9002136,0.4039491,0.565286,0.4914584,0.4922436,0.1232269,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,0,0,0,0,0.5318368,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4528798,0.498471,,,0.7380254,0.5539,0.9091076,0.7677047,0.7385566,0.2654787,0.7660795,0.6550415,1.119922,1.263235,1.126372,,1.818603,0.9193695,0.8257028,1.098491,0.8747827,1.003368,0.5057511,,,,0.5799406,
Belgium,,,,,0.3675721,0.665407,0.2389308,0.3945087,0.3371395,0.4583635,0.2713472,0.4559163,0.4963657,0.4900703,0.3960236,0.4880923,0.6214088,0.2281403,0.4985037,0.3934921,0.374279,0.5936575,0.3559723,0.2511962,0.59223,0.4692944,0.3326193,0.2397931,0.2031395,1.013192,0.8873863,0.2675895,0.712579,0.7863048,1.146998,0.7116002,1.186865,1.025401,0.9727293,0.4520671,0.1671758,0.4979271,0.5541321,0.718419,0.7170749,0.5511441,0.7835677,0.8458566,0.8980709,1.662345,,,,,0.6551487,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0912266,0,0,0,0,0,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7461889,0.8927015,0.8736251,0.8657391,0.9812609,0.9682215,0.9972638,1.142071,1.266428,1.208178,1.155483,1.293529,1.21175,1.500169,1.624492,1.539041,1.515803,1.53898,1.666089,1.650782,1.79892,1.663692,1.554305,1.669072,,,
Bulgaria,,,,,,,,,,,,,,,0.5537329,0.5693944,0.6295111,0.4786699,0.5220123,0.7759889,0.3571122,0.832362,0.8857115,0.7782122,0.3496885,0.2500368,0.345973,0.2459958,0.6130641,0.4995618,0.5237636,0.4169322,0.9617467,0.2183594,0.7939448,0.7373977,0.4050812,0.4689756,0.6688302,0.6785831,0.7347733,0.441745,0.4201364,0.8526068,0.4228986,0.4055866,0.6046705,1.000891,0.7691724,0.6235616,0.6565429,0.832817,0.9072298,0.5580054,0.2774065,0.5723667,0.1034417,0.4884627,0.4868175
Canada,0.4470425,0.5495332,0.6774884,0.809741,0.5278575,0.6144602,0.762952,0.5399411,0.787471,0.575096,0.6251256,0.4451441,0.6092232,0.4532095,0.4795472,0.740932,0.7555377,0.8428483,0.6026423,0.7940294,0.9459307,0.8126518,0.7483599,0.7757935,1.029924,0.9597054,0.9151381,0.9678094,1.121833,1.28598,0.6592187,1.062666,0.7168032,0.8741524,1.066619,0.8779269,1.080753,0.9290084,0.6445701,0.8034369,0.8098122,0.8999956,0.7683098,0.5365461,0.7695104,0.7462767,0.8939393,0.7818069,0.7889481,0.6262403,0.6608091,0.6272815,0.6959138,0.5098929,0.5794487,,,,
Chile,,,,,,0.4374049,0.765858,0.8202095,0.7509204,1.107597,0.7295116,1.050211,0.4020236,0.8392252,0.7637847,0.2430841,0.9303038,0.4525617,1.05888,0.8092892,0.9044151,0.7578494,1.036713,0.6915734,0.7129728,0.7444351,0.6814857,0.6474934,0.5861144,0.5414372,1.026088,0.7872379,0.7531093,0.6836482,0.6816177,0.5132052,0.5624557,0.2337268,0.7127497,0.5967925,0.6550083,0.7213176,0.5873646,0.1925702,0.5271342,0.5172515,0.5950325,0.6021085,0.644231,0.3757097,0.7323039,0.6759888,0.6560332,0.61379,0.6040998,0.4719436,,,
Colombia,,,,2.434036,2.443668,4.257189,7.443537,5.311781,5.730027,4.099205,3.740126,3.823476,3.578753,3.414991,2.521652,2.126625,1.751755,1.590443,1.440387,1.088806,,,1.098289,,1.381078,1.046304,1.283591,1.445095,,,,,,,1.633539,2.201227,1.9734,1.769308,2.287129,2.365251,3.033764,3.841998,4.39971,4.144517,4.032775,3.346919,3.196321,2.786889,3.400498,3.43738,3.352998,3.344987,3.725191,,2.332639,2.139463,2.100528,,
Costa Rica,,,,,,,,,,,,,0.1797536,0,0.1491958,0.5854825,0.3007977,0.300716,0.2320046,0.8035187,1.204928,0.6705934,1.107226,1.005654,0.3554011,0.8467696,1.098824,0.3695455,0.4469708,0.3530185,1.829956,0.737053,0.7564173,0.6163139,0.7597417,0.9741133,1.46638,1.542387,0.3541013,1.811288,0.64604,1.026397,0.5954874,0.5985297,0.4454615,0.5944751,0.7711412,0.7607456,0.624575,0.5194921,0.4971793,0.3432136,0.3357649,1.267691,0.9250533,0.9583733,0.4101121,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.161437,1.274302,0.7808613,0.7040048,0.5626839,0.3608063,0.8082414,1.17704,1.031734,0.9259771,0.6858803,0.1090708,0.5581832,0.9882666,0.4824465,0.5122907,0.4662613,0.1725353,0.301833,0,0.1633451,0.1646684,0.3159152,0.1668811
