"Murdered women, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8818135858
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.020035982
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.940273285
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39156726
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.677001
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.550779104
Argentina,,,,,,,,,,,,,,,,,1.589535,2.217063,2.23406,2.576678,2.336174,,,,,,,3.392776,2.278249,1.550641,1.644455,1.805925,1.664688,1.72635,1.971849,1.73033,2.169242,1.913196,1.906438,1.951093,1.550833,1.371615,1.70179,1.626417,1.650879,1.398389,1.487607,1.473938,1.480915,1.516235,1.767227,1.920832,1.865993,1.813087,1.621157
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8524363041
Australia,0.7746033,1.06084,0.9769186,1.027286,0.9582157,1.070375,0.8584327,1.068346,1.299508,1.158915,1.064503,1.196062,1.115355,1.2443,1.259366,1.416756,1.152901,1.133863,1.528261,0.97736,1.397267,1.272891,1.0744,1.572429,1.324304,1.221363,1.63475,1.491992,1.655956,1.264709,1.577032,1.278003,1.526637,1.33908,1.525553,1.440499,1.542337,1.679823,1.605079,1.309902,1.5922,1.629348,1.331798,1.322884,1.280972,1.253662,1.124597,1.116531,0.9919068,0.983395,1.21794,1.07304,0.9763466,0.8637936,0.561403
Austria,,,,,,0.9274511,1.404069,0.8988123,0.6935677,0.943213,0.8021667,0.805567,0.8718798,0.6266417,0.8764134,0.9190485,1.131568,1.009815,0.7293885,0.8319908,1.202519,1.032596,1.032634,1.210689,1.32166,1.247153,1.190168,1.152793,1.407869,1.236993,0.9560006,1.310445,1.276403,1.512046,1.457801,1.316977,1.558803,1.214248,0.9677374,0.9696857,1.369229,0.9758811,1.145798,1.095399,1.319009,0.9068447,1.005696,1.002348,0.8661746,0.8285853,1.049096,1.141144,1.001163,0.5047219,0.7506323
