Suicide 30-44 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,8.413999,9.895062,11.55838,11.43756,11.69269,,,,,,,8.849388,8.719663,7.376985,8.142542,9.37438,7.784565,6.055529,6.464772,6.581344,8.366966,8.340861,7.653171,7.690084,6.358487,6.58101,7.450759,7.328374,7.636606,6.344091,6.597667,6.808089,6.175312,7.059228,7.216632,8.819088,8.539291,8.784863,8.020558,7.828206,8.07802,7.973401,
Australia,11.33948,11.40543,13.69283,12.69275,13.1871,12.69985,14.62084,15.48225,16.09445,15.56367,15.02567,16.45576,20.30301,23.2364,22.43233,22.2948,20.83868,22.79122,19.47791,19.33987,16.95079,19.51014,18.87185,16.54449,15.9036,16.47282,15.59287,15.36117,15.15117,16.05471,16.01961,15.29803,13.92588,13.71107,14.18914,14.74169,16.5281,16.87542,17.1045,14.87627,16.52732,18.486,16.06123,14.79959,17.28695,16.75114,18.65722,19.71272,21.31849,19.49085,19.84448,19.82455,18.94199,16.87916,16.21045,,11.32588,,
Austria,,,,,,22.28167,21.91026,24.18135,25.95555,27.03334,24.00381,24.02378,24.54049,23.68398,22.3667,26.64357,26.70704,24.25765,25.45986,26.77481,27.77833,25.8598,25.60435,23.50689,28.5967,27.43216,24.11388,26.86207,28.92555,27.39547,26.76791,30.33485,31.9831,30.84933,29.81804,32.77232,34.25903,30.18283,27.06599,25.48195,24.18115,24.05886,21.99573,21.39533,22.80901,24.5885,22.98001,21.55449,18.7036,18.64517,19.4224,18.25567,19.6598,16.99455,15.28812,15.60523,15.78994,13.45722,12.88721
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.650209,5.290888,,,5.042187,5.104364,6.778583,5.00913,5.176641,3.123424,3.06518,2.60551,2.421166,0.815366,1.285982,1.078878,2.485759,1.330336,1.33164,1.018007,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.637465,,5.426476,6.627,,,,,,,,,,,5.774443,7.19345,7.280262,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.78719,43.43118,,,37.06268,26.97808,27.92683,24.4644,32.61123,29.15991,27.72394,30.15187,38.39383,41.59177,42.65756,,46.83206,45.5278,44.20023,47.45843,43.35283,42.28291,44.8771,,,,33.02254,
Belgium,,,,,10.46835,8.989552,10.35657,10.23643,9.26891,10.52262,9.710928,11.72098,10.17302,10.44096,12.38176,12.50877,10.84665,13.30923,11.68414,12.62442,14.56021,14.18499,14.46145,11.11136,15.64655,14.01526,16.03138,20.06191,23.53179,22.10479,25.35972,24.05227,23.82494,28.95457,27.54906,27.33647,27.11257,26.81278,23.47175,23.25282,22.4574,23.20286,22.98242,26.04327,27.57178,27.53261,25.88041,26.70115,25.22407,23.37064,,,,,24.46989,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71265,13.91391,14.25956,13.09015,14.50861,13.62976,16.51299,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.126042,5.462008,5.450938,5.110902,4.782839,5.31445,5.055743,4.808381,5.071301,5.258093,5.219556,5.330133,5.379292,6.14669,6.095315,6.295725,6.040847,5.581357,5.677321,6.204576,6.231072,6.141762,6.278326,6.633796,,,
Bulgaria,,,,,,,,,,,,,,,6.043591,6.528085,5.731004,8.123659,7.683877,7.435369,8.195921,8.497421,7.863243,9.49472,9.406883,9.76191,9.856099,10.10534,9.687841,10.87177,10.09182,11.80914,12.70929,11.414,14.29996,12.74977,13.78096,13.61052,12.12671,12.87887,11.9336,12.72776,14.06874,14.94303,15.08572,14.10186,16.09113,13.83411,14.59969,13.63928,17.01114,12.89719,14.57686,11.99455,10.39192,9.107123,9.066992,8.978582,9.670818
