Suicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,19.16182,24.40613,24.38836,24.56428,23.0047,,,,,,,18.41026,19.27834,17.06679,20.04883,20.64816,19.52433,19.34377,18.6952,20.77719,21.94817,21.89732,21.82464,20.41485,19.30386,16.70646,16.49561,18.33401,15.88989,15.89966,14.56278,14.56872,15.80412,15.07724,16.08591,17.24512,16.50277,16.09653,13.4635,13.50894,12.48385,11.10539,
Australia,21.43488,20.3105,23.1252,25.2506,25.4202,23.41015,23.39838,25.08597,24.09789,21.09357,22.03255,21.71048,23.74186,27.93591,26.4615,25.89527,25.64189,29.05842,22.76026,21.90862,21.77983,22.54101,19.13183,19.10531,20.30438,16.99981,16.34078,16.74373,15.80858,15.2816,14.73327,15.76842,18.91179,16.54144,15.37399,16.41702,16.17108,17.90193,17.34402,16.70972,15.9341,14.93454,16.1649,14.43382,14.55193,11.80321,15.23966,14.59392,13.57976,12.81128,12.69044,12.04092,11.1705,11.03642,11.65862,,9.438152,,
Austria,,,,,,41.13383,40.70446,41.27594,38.3261,39.43137,41.98316,36.62802,40.83189,35.97632,39.76394,40.39177,42.11493,43.11921,39.57853,41.69631,44.01119,44.28081,45.55273,42.26044,43.84674,45.35017,41.94875,44.66038,40.65367,42.5075,43.65598,45.09145,43.44294,44.1384,41.85555,43.77054,43.02431,47.34238,40.53521,44.65333,42.27841,41.51975,38.07341,38.51809,38.03585,37.69465,41.09283,33.18284,33.30759,34.20095,34.40459,31.57338,33.4152,30.97638,30.47755,29.92538,26.20569,26.59867,26.39265
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19705,12.30669,,,10.18884,9.295023,10.86623,9.951128,10.48785,3.040192,3.478476,4.621989,3.774581,1.637826,1.533702,2.399675,2.634414,1.448162,1.006635,1.644015,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,0,0,0,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.42299,31.70912,,,25.24364,22.81545,25.77992,24.65991,26.84002,25.82977,28.79741,27.34115,35.18272,38.65535,37.19825,,41.62419,42.6423,40.99731,41.68263,39.66425,37.02306,43.82326,,,,35.09405,
Belgium,,,,,35.51438,36.18518,37.53226,39.6262,38.07922,32.01804,37.79514,37.47014,36.04475,34.89752,34.96276,37.58279,38.77577,37.06259,38.91459,40.1622,41.45379,37.21405,38.22233,37.59931,35.448,38.29174,37.0846,40.77237,42.89092,43.95092,44.84288,41.24545,41.4927,41.34043,42.93253,42.95953,40.65752,39.20603,35.85609,34.7654,33.37637,29.89202,31.02152,31.70879,30.62104,29.56927,26.81244,27.71921,27.4452,24.9861,,,,,23.99391,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73089,20.77564,20.629,12.12799,16.64039,16.76513,13.055,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.140765,7.349351,6.895436,6.852261,7.022525,7.067947,6.360689,6.322149,6.587518,7.057852,6.138562,6.073026,6.596336,7.923513,7.316532,7.854543,7.901615,6.843226,7.115266,7.407375,6.97799,6.802798,7.12694,7.749556,,,
Bulgaria,,,,,,,,,,,,,,,31.74319,30.2853,35.76015,32.03947,31.89225,35.7576,39.50638,41.20114,38.50755,36.57474,40.7986,39.4449,42.52347,44.24858,40.74961,40.79173,37.92035,36.74078,41.08583,37.89011,44.57076,45.05091,43.09005,46.81847,43.21772,42.98182,38.14633,39.27217,43.72752,39.49319,39.60833,38.0177,39.86144,40.97936,42.46033,34.27373,34.63805,33.0492,34.77025,28.3074,25.37977,25.27093,25.35554,24.55966,23.79421
