RTI 15-29 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,12.22499,16.59999,17.07745,18.46244,20.28905,,,,,,,15.02666,13.20156,13.79534,13.77795,13.41324,11.93259,11.98451,11.59984,8.841995,10.42685,9.883101,9.816083,10.19546,8.952338,10.25908,11.82873,13.59181,15.32514,14.58101,14.14731,12.29469,15.14504,13.87103,11.31377,11.72726,9.80734,9.478486,9.492572,10.33593,11.93738,11.64601,
Australia,36.62598,41.15958,39.98501,36.65941,38.45023,39.54879,37.12308,35.97705,37.88215,37.04555,39.65688,36.41435,38.20228,36.04628,39.45928,42.61234,45.34509,45.20776,49.27306,47.11374,52.89435,53.84662,46.9632,50.7663,50.93764,48.60475,45.5009,49.62481,49.46728,45.47604,43.64447,41.08221,40.61154,35.02535,33.55111,35.08147,33.67441,31.36006,32.44881,30.80066,24.75097,22.02902,20.15919,19.62815,18.66078,18.6347,18.23336,17.17804,16.28205,16.57394,17.09527,15.89299,15.44298,13.18864,12.80022,,11.47827,,
Austria,,,,,,18.156,35.86917,48.65442,44.69277,45.31133,39.31392,31.3572,28.704,32.20374,31.76677,29.64408,33.22603,41.74409,41.9099,43.17562,43.91966,51.8611,55.82186,55.9939,48.78316,46.13232,44.61716,48.07038,48.19046,45.87064,40.57504,40.84396,40.53266,42.78329,39.83384,33.64361,30.54127,32.18215,31.3673,32.03704,29.71535,30.51072,27.18363,29.21728,30.80317,25.70953,23.20934,26.08929,18.67668,22.5246,21.65244,18.96483,18.67267,18.19057,16.78852,14.77654,13.21821,13.32905,12.17368
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86008,8.100154,,,8.230481,10.18935,10.35932,13.71728,12.02321,11.84817,11.17904,10.51959,8.904063,1.159868,2.397268,3.799945,4.436373,4.626801,3.508532,3.636333,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.540112,,9.964649,5.741109,,,,,,,,,14.67444,11.70363,1.844473,10.63617,17.50234,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.51087,18.67349,,,14.16507,15.76602,17.31077,24.90665,30.80524,31.69944,32.16371,27.85238,22.09056,20.51739,21.85147,,24.60815,24.44067,21.55668,20.28555,20.40905,27.51645,26.3746,,,,24.20167,
Belgium,,,,,11.89343,13.15254,14.11327,17.0656,21.32493,18.6374,25.61486,24.97952,23.75728,25.20255,32.1752,29.29109,27.62651,32.30166,35.48775,35.21454,37.01163,40.8418,41.2076,40.01301,38.53888,34.83603,36.98767,38.58567,37.57728,37.57091,40.73716,38.28627,34.79188,34.60315,31.19184,29.14733,33.90665,30.88852,30.2081,32.555,32.0477,30.11958,28.29134,29.94354,32.0533,26.94591,25.99664,24.99973,26.5466,25.83853,,,,,20.68215,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.98571,18.05549,19.53357,20.55487,26.90518,22.63965,22.24167,22.94638,21.97701,21.81046,20.32872,20.46094,22.16328,23.91527,23.57189,24.92707,21.03975,19.75469,18.69453,19.20507,20.95483,21.05087,22.37199,22.92915,,,
Bulgaria,,,,,,,,,,,,,,,6.747917,8.182981,14.31079,16.07302,16.65186,15.05398,13.91934,15.35529,14.15468,13.25753,12.7189,13.43977,13.37859,13.88702,13.50224,14.35839,14.91126,13.63199,16.71384,12.55218,13.73766,13.8729,11.73031,15.14935,13.80449,14.77499,20.5015,11.82475,17.18064,14.86861,18.92722,17.06663,11.67654,10.57797,10.44973,12.78036,11.81285,14.32826,14.82685,13.80546,12.77369,12.20128,17.48742,18.91127,19.67717
Canada,18.681,21.523,24.58344,25.85698,24.89526,25.17109,29.54217,31.06032,27.70317,30.09641,29.72273,31.15622,34.97073,36.66636,38.67621,40.57642,43.04178,41.97419,42.03789,44.26326,39.43552,42.61314,48.00842,50.00378,48.07616,43.175,38.26335,38.47453,36.27969,42.37611,39.52586,37.67263,27.61391,28.72316,27.01659,27.39272,27.04334,28.55918,27.17701,27.47501,22.77942,22.37141,19.28752,20.22745,17.41068,17.46215,16.01884,16.13678,14.7872,15.98056,14.57496,13.83117,13.77576,13.98054,13.85659,,,,
