RTI 0-14 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,4.610737,5.487966,6.553461,7.186874,7.918775,,,,,,,6.808318,6.187881,6.098234,5.423484,5.73173,4.997759,5.214476,4.724174,3.588587,4.442232,4.012883,4.014636,4.050038,3.933985,3.567604,3.766643,3.855669,4.388771,3.555215,3.557946,3.189295,3.563008,3.6624,3.611433,3.101062,2.358235,2.444423,2.555021,3.136973,3.425248,2.81329,
Australia,8.440552,8.074942,8.706184,8.63115,9.173743,8.666628,9.312327,9.045022,7.948768,8.317326,9.260973,8.935116,7.881716,8.239904,9.542308,9.279431,9.845506,9.884957,9.200516,10.73678,11.1156,10.61774,10.78299,10.86366,9.937263,9.833288,10.08957,9.675815,9.568344,8.933844,9.234764,7.607195,8.398941,6.838573,7.368286,6.643262,7.099116,5.794679,5.578634,5.655823,5.081157,3.853715,3.828392,3.497953,3.275814,3.157352,3.358876,2.849462,2.799811,2.472769,2.617147,1.92588,1.827707,2.467718,1.684006,,1.437281,,
Austria,,,,,,3.047004,5.41735,8.359806,8.227016,8.649289,9.224444,8.760556,7.655581,8.774994,10.4774,8.388876,9.562415,10.1029,12.91997,10.22768,11.3983,11.58811,11.74887,10.3339,9.47531,10.86053,7.293258,5.99483,7.199778,6.552839,6.775258,5.779846,6.695055,6.079653,5.463913,5.707173,4.375949,3.929587,4.173084,4.778004,3.918314,3.822723,3.031016,3.913665,3.320353,3.875526,3.12763,2.427178,2.072531,2.179007,1.742017,1.593927,1.296523,2.233693,1.192754,1.513266,1.490741,1.016716,0.6884815
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61974,4.32775,,,4.346077,5.227706,4.318584,5.429967,5.541287,3.941849,3.009668,3.252803,3.609721,0.7724216,0.7262884,2.010911,1.639089,1.728431,1.098723,1.505248,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.300261,,10.79131,6.870899,,,,,,,,,7.904248,6.503736,4.287505,5.478951,5.392723,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.350973,4.353599,,,4.111867,4.227365,4.959754,5.153835,5.652716,5.749602,6.832377,5.066165,4.14372,3.717673,4.435128,,3.738967,3.835083,3.1515,3.241253,2.821118,3.820477,3.248286,,,,4.231811,
Belgium,,,,,5.026546,3.987514,5.391296,5.458545,6.937934,6.877016,7.040015,6.973179,6.91677,8.351631,9.291821,10.63762,10.57885,9.60664,11.03525,12.42361,12.52614,12.32119,11.17988,10.9584,10.71736,9.222712,9.672512,9.213278,9.873889,8.721875,6.892346,8.392408,8.093019,8.063465,6.600828,6.320163,5.9741,5.762496,5.358664,5.143199,5.293891,3.903502,4.303085,3.609073,4.437072,4.199908,3.249894,3.197486,5.518224,3.583278,,,,,1.33356,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.599265,6.222429,6.408797,7.229155,7.968953,6.614049,6.884915,7.104406,6.565144,6.251554,6.056186,6.099278,6.175031,6.54794,5.713816,5.747615,5.019599,4.813951,4.257879,4.360412,4.300879,4.270043,4.233442,4.165589,,,
Bulgaria,,,,,,,,,,,,,,,3.948994,3.729051,6.347579,6.122886,5.865833,5.838933,5.683759,5.621241,4.893461,5.322271,5.526443,6.424417,5.638017,5.153811,6.252182,6.208438,5.457146,5.729352,6.193978,5.843256,5.900383,4.756828,5.134552,4.515462,5.224463,4.222465,5.670447,4.610793,4.799572,4.43944,3.273458,3.344186,3.114188,3.341959,3.69795,2.537474,2.908548,3.655452,3.137583,3.534444,4.638291,2.122007,3.539642,2.922515,3.631799
Canada,11.88622,13.46214,14.08234,13.83147,12.51868,12.76577,12.80713,12.01875,12.09608,12.42999,12.35303,12.21664,11.99297,12.33941,13.22857,13.15049,13.47521,14.15838,12.90433,13.01576,12.09018,12.75256,12.47243,12.83479,13.15826,11.0281,9.304696,9.639278,9.993814,10.19713,8.029483,8.217761,5.868257,6.122617,5.7278,5.800002,5.392274,6.103816,5.309447,5.434264,5.352324,4.261407,3.892732,3.638345,3.381792,3.668349,3.025114,3.144503,2.537348,2.90576,2.334817,2.275265,2.508799,1.903833,1.607754,,,,
