TFR with projections,1545,1586,1614,1635,1644,1657,1704,1709,1717,1722,1737,1746,1762,1776,1785,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2030,2040,2050,2070,2080,2099
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.028088,7.054876,7.081664,7.108452,7.13524,7.162028,7.188816,7.215604,7.242392,7.26918,7.295968,7.322756,7.349544,7.376332,7.40312,7.429908,7.456696,7.483484,7.510272,7.53706,7.563848,7.590636,7.617424,7.644212,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.67,7.67,7.67,7.669,7.669,7.67,7.671,7.673,7.676,7.679,7.681,7.682,7.682,7.682,7.687,7.7,7.725,7.758,7.796,7.832,7.859,7.869,7.854,7.809,7.733,7.623,7.484,7.321,7.136,6.93,6.702,6.456,6.196,5.928,5.659,5.395,5.141,4.9,4.676,4.47,4.282,4.106,3.941,3.785,3.639,3.502,3.375,3.258,3.151,2.67,2.193,1.912,1.701,1.705,1.759
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.423342857,4.246685714,4.070028571,3.893371429,3.716714286,3.540057143,3.3634,3.568866667,3.774333333,3.9798,4.185266667,4.390733333,4.5962,3.7386,4.1942,3.752,4.4086,4.5824,4.7562,4.93,5.1038,5.2776,5.4514,5.6252,5.799,5.896,6.071,6.209,6.309,6.372,6.398,6.389,6.348,6.278,6.186,6.076,5.956,5.833,5.711,5.594,5.483,5.376,5.268,5.16,5.05,4.933,4.809,4.677,4.538,4.393,4.244,4.094,3.947,3.807,3.678,3.562,3.46,3.372,3.297,3.233,3.177,3.126,3.075,3.023,2.97,2.917,2.867,2.819,2.772,2.723,2.67,2.611,2.543,2.467,2.383,2.291,2.195,2.097,2.004,1.919,1.849,1.796,1.761,1.744,1.741,1.748,1.76,1.771,1.779,1.781,1.779,1.775,1.77,1.766,1.763,1.76,1.757,1.754,1.752,1.742,1.74,1.75,1.789,1.809,1.841
Algeria,,,,,,,,,,,,,,,,,,,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,7.020216,7.046332,7.072448,7.098564,7.12468,7.150796,7.176912,7.203028,7.229144,7.25526,7.281376,7.307492,7.333608,7.359724,7.38584,7.411956,7.438072,7.464188,7.490304,7.51642,7.542536,7.568652,7.594768,7.620884,7.647,7.647,7.648,7.648,7.648,7.648,7.648,7.648,7.648,7.648,7.648,7.649,7.65,7.652,7.653,7.655,7.657,7.658,7.657,7.652,7.641,7.622,7.591,7.548,7.492,7.422,7.339,7.244,7.138,7.021,6.889,6.741,6.576,6.392,6.192,5.976,5.747,5.508,5.263,5.014,4.761,4.503,4.238,3.971,3.705,3.449,3.207,2.987,2.794,2.634,2.514,2.439,2.407,2.412,2.448,2.507,2.58,2.656,2.725,2.781,2.817,2.829,2.82,2.795,2.756,2.706,2.65,2.591,2.535,2.483,2.437,2.398,2.362,2.328,2.296,2.142,1.988,1.92,1.887,1.888,1.896
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,6.93,6.93072,6.93144,6.93216,6.93288,6.9336,6.93432,6.93504,6.93576,6.93648,6.9372,6.93792,6.93864,6.93936,6.94008,6.9408,6.94152,6.94224,6.94296,6.94368,6.9444,6.94512,6.94584,6.94656,6.94728,6.948,6.94872,6.94944,6.95016,6.95088,6.9516,6.95232,6.95304,6.95376,6.95448,6.9552,6.95592,6.95664,6.95736,6.95808,6.9588,6.95952,6.96024,6.96096,6.96168,6.9624,6.96312,6.96384,6.96456,6.96528,6.966,6.96672,6.96744,6.96816,6.96888,6.9696,6.97032,6.97104,6.97176,6.97248,6.9732,6.97392,6.97464,6.97536,6.97608,6.9768,6.97752,6.97824,6.97896,6.97968,6.9804,6.98112,6.98184,6.98256,6.98328,6.984,6.98472,6.98544,6.98616,6.98688,6.9876,6.98832,6.98904,6.98976,6.99048,6.9912,6.99192,6.99264,6.99336,6.99408,6.9948,6.99552,6.99624,6.99696,6.99768,6.9984,6.99912,6.99984,7.00056,7.00128,7.002,7.00272,7.00344,7.00416,7.00488,7.0056,7.00632,7.00704,7.00776,7.00848,7.0092,7.00992,7.01064,7.01136,7.01208,7.0128,7.01352,7.01424,7.01496,7.01568,7.0164,7.01712,7.01784,7.01856,7.01928,7.02,7.0162,7.0124,7.0086,7.0048,7.001,6.9972,6.9934,6.9896,6.9858,6.982,6.9782,6.9744,6.9706,6.9668,6.963,6.9592,6.9554,6.9516,6.9478,6.944,6.9402,6.9364,6.9326,6.9288,6.925,6.943,6.98,7.018,7.058,7.099,7.142,7.187,7.231,7.275,7.316,7.354,7.385,7.41,7.425,7.43,7.422,7.403,7.375,7.339,7.301,7.264,7.232,7.208,7.192,7.185,7.186,7.189,7.194,7.197,7.2,7.201,7.203,7.205,7.207,7.208,7.206,7.202,7.194,7.182,7.165,7.143,7.116,7.087,7.054,7.019,6.984,6.949,6.913,6.878,6.844,6.811,6.778,6.743,6.704,6.657,6.598,6.523,6.434,6.331,6.218,6.099,5.979,5.863,5.753,5.65,5.553,5.46,5.367,5.274,5.181,5.088,4.995,4.903,4.812,4.289,3.561,3.031,2.403,2.21,1.993
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
