Breast Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,4.66,5.26,,,5.27,4.75,4.77,5.95,6.55,5.71,6.41,8.92,7.87,6.68,6.54
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1
Argentina,,,,,,,,,,,,,,,,,17.32,19.84,21.12,20.09,18.9,,,,,,,19.96,20.14,20.2,19.57,20.11,20.07,20,20.22,20.25,20.19,20.7,21.33,20.45,21.21,21.31,20.83,21.23,20.9,21.12,21.84,21,20.71,20.21,20.25,20.2,19.42
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61,10.2,,,11.71,11.47,12.55,12.18,14.83,17.77,14.73,17.06,16.7,17.37,17.12,19.94,19.24,21.85,22.72,22.89,21.2,22.09
Australia,20.1,19.39,21.02,20.98,20.47,20.39,19.74,19.11,18.97,19.87,18.75,19.92,18.1,19.56,19.76,18.44,19.01,19.41,19.18,19.31,19.56,20.61,19.66,20.11,19.92,19.68,20.45,20.59,19.09,18.85,19.07,19.74,20.37,20.64,21.3,21.23,20.32,21.08,21.01,21.39,20.67,21.06,19.56,20.42,20.39,19.35,19.06,18.54,17.41,17.06,16.25,16.28,16.43
Austria,,,,,,15.42,14.98,14.91,15.4,16.07,15.85,16.14,15.44,16.45,16.72,18,18.03,17.62,17.02,18.71,18.38,18.69,18.95,19.63,19.36,18.92,19.87,20.59,18.3,19.41,20.58,20.16,20.07,20.98,21.69,22.32,22.32,22.3,22.23,21.83,22.35,21.89,21.91,21.67,21.43,21.78,20.54,19.59,18.91,17.95,18.88,17.72,17.52
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,9.11,,,9.79,8.93,9.96,10.26,8.63,7.77,8.25,9.4,8.52,8.96,8.87,8.02,9.26,9.83,10.4,8.61,10.04,10.34
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
Barbados,,,,,,,,,,,22.55,18.88,13.06,12.99,20.4,,13.75,19.83,21.87,16,8.94,19.66,11.9,21.06,17.67,18.24,19.52,20.49,19.01,22.02,26.64,20.16,15.78,20.8,22.5,18.8,24.69,27.85,27.7,26.42,21.37,27.54,20.37,27.46,19.57,24.23,,,,,24.87,23.44,25.5
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39,10.04,,,11.39,11.56,11.99,11.35,12.8,13.43,12.81,14.52,14.14,14.31,14.01,,13.81,14.59,15.91,15.34,14.33,13.72
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7
Belize,,,,,,,,,,,,,,,5.57,,2,,2.7,8.26,2.92,,5.57,10.32,6.36,7.61,,2.91,7.88,4.27,1.46,,,4.84,2.22,,8.11,3.55,,,6.09,2.12,,7.94,8.34,2.99,2.7,3.11,18.66,4.75,7.75,10.94,11.9
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
