Breast female cases,2002
Afghanistan,2021
Albania,843
Algeria,2880
Angola,905
Argentina,17017
Armenia,1162
Australia,11176
Austria,4635
Azerbaijan,1295
Bahamas,81
Bahrain,91
Bangladesh,7735
Barbados,109
Belarus,2955
Belgium,7429
Belize,21
Benin,591
Bhutan,170
Bolivia,765
Bosnia and Herzegovina,1622
Botswana,170
Brazil,37528
Brunei,28
Bulgaria,2928
Burkina Faso,1177
Burundi,413
Cambodia,1032
Cameroon,1593
Canada,19540
Cape Verde,47
Central African Rep.,230
Chad,431
Chile,3668
China,126227
Colombia,5526
Comoros,45
"Congo, Dem. Rep.",1641
"Congo, Rep.",243
Costa Rica,543
Cote d'Ivoire,1437
Croatia,2311
Cuba,2203
Cyprus,349
Czech Rep.,5132
Denmark,3879
Djibouti,52
Dominican Rep.,1335
Ecuador,1221
Egypt,6945
El Salvador,352
Equatorial Guinea,28
Eritrea,250
Estonia,546
Ethiopia,5142
Fiji,104
Finland,3609
France,41957
French Polynesia,84
Gabon,98
Gambia,34
Georgia,1901
Germany,55689
Ghana,2017
Greece,4543
Guam,35
Guatemala,949
Guinea,411
Guinea-Bissau,125
Guyana,96
Haiti,136
Honduras,546
Hungary,5411
Iceland,162
India,82951
Indonesia,25208
Iran,4742
Iraq,2497
Ireland,1874
Israel,3382
Italy,36634
Jamaica,525
Japan,32245
Jordan,509
Kazakhstan,3447
Kenya,2422
"Korea, Dem. Rep.",2388
"Korea, Rep.",5511
Kuwait,194
Kyrgyzstan,522
Laos,217
Latvia,938
Lebanon,816
Lesotho,102
Liberia,166
Libya,463
Lithuania,1106
Luxembourg,282
"Macedonia, FYR",681
Madagascar,1027
Malawi,391
Malaysia,2974
Mali,694
Malta,231
Mauritania,266
Mauritius,196
Mexico,11064
Moldova,1360
Mongolia,64
Morocco,2848
Mozambique,236
Myanmar,4117
Namibia,147
Nepal,1835
New Zealand,2330
Nicaragua,384
Niger,696
Nigeria,12253
Norway,2598
Oman,100
Pakistan,25719
Panama,379
Papua New Guinea,261
Paraguay,687
Peru,3845
Philippines,13051
Poland,14358
Portugal,4309
Puerto Rico,1318
Qatar,53
Romania,7273
Russia,43432
Rwanda,276
Samoa,20
Saudi Arabia,1563
Senegal,562
Serbia and Montenegro,4342
Sierra Leone,463
Singapore,1213
Slovak Republic,1880
Slovenia,966
Solomon Islands,39
Somalia,520
South Africa,6018
Spain,15855
Sri Lanka,2180
Sudan,2568
Suriname,55
Swaziland,39
Sweden,6583
Switzerland,4954
Syria,2177
Tajikistan,304
Tanzania,2288
Thailand,5282
Netherlands,10447
Togo,447
Trinidad and Tobago,351
Tunisia,851
Turkey,6729
Turkmenistan,349
Uganda,1174
Ukraine,15340
United Arab Emirates,179
United Kingdom,40928
United States,209995
Uruguay,1931
Uzbekistan,1755
Vanuatu,16
Venezuela,3514
Vietnam,5268
"Yemen, Rep.",1795
Zambia,381
Zimbabwe,662
