Cervix female deaths,2002
Afghanistan,254
Albania,146
Algeria,1391
Angola,926
Argentina,1679
Armenia,130
Australia,249
Austria,295
Azerbaijan,113
Bahamas,9
Bahrain,9
Bangladesh,6561
Barbados,18
Belarus,436
Belgium,326
Belize,16
Benin,448
Bhutan,105
Bolivia,987
Bosnia and Herzegovina,227
Botswana,126
Brazil,8286
Brunei,13
Bulgaria,506
Burkina Faso,724
Burundi,722
Cambodia,949
Cameroon,1419
Canada,581
Cape Verde,38
Central African Rep.,306
Chad,555
Chile,931
China,25561
Colombia,3296
Comoros,79
"Congo, Dem. Rep.",3058
"Congo, Rep.",242
Costa Rica,210
Cote d'Ivoire,1192
Croatia,209
Cuba,567
Cyprus,25
Czech Rep.,476
Denmark,230
Djibouti,90
Dominican Rep.,562
Ecuador,1064
Egypt,2178
El Salvador,609
Equatorial Guinea,37
Eritrea,438
Estonia,74
Ethiopia,6081
Fiji,61
Finland,81
France,1647
French Polynesia,38
Gabon,135
Gambia,124
Georgia,225
Germany,2967
Ghana,1572
Greece,239
Guam,5
Guatemala,628
Guinea,1138
Guinea-Bissau,99
Guyana,71
Haiti,1484
Honduras,361
Hungary,551
Iceland,10
India,74118
Indonesia,7566
Iran,581
Iraq,129
Ireland,88
Israel,82
Italy,1186
Jamaica,151
Japan,3573
Jordan,32
Kazakhstan,729
Kenya,2111
"Korea, Dem. Rep.",558
"Korea, Rep.",1327
Kuwait,17
Kyrgyzstan,186
Laos,159
Latvia,165
Lebanon,131
Lesotho,391
Liberia,256
Libya,175
Lithuania,256
Luxembourg,13
"Macedonia, FYR",99
Madagascar,1795
Malawi,1405
Malaysia,766
Mali,1076
Malta,6
Mauritania,209
Mauritius,61
Mexico,5777
Moldova,220
Mongolia,92
Morocco,1247
Mozambique,1654
Myanmar,2594
Namibia,109
Nepal,1129
New Zealand,82
Nicaragua,354
Niger,532
Nigeria,8030
Norway,125
Oman,25
Pakistan,1605
Panama,166
Papua New Guinea,341
Paraguay,513
Peru,2663
Philippines,4349
Poland,2278
Portugal,378
Puerto Rico,75
Qatar,3
Romania,2094
Russia,7784
Rwanda,878
Samoa,8
Saudi Arabia,143
Senegal,640
Serbia and Montenegro,815
Sierra Leone,362
Singapore,205
Slovak Republic,242
Slovenia,79
Solomon Islands,31
Somalia,906
South Africa,3681
Spain,739
Sri Lanka,840
Sudan,1354
Suriname,26
Swaziland,150
Sweden,249
Switzerland,108
Syria,55
Tajikistan,70
Tanzania,6009
Thailand,2620
Netherlands,307
Togo,349
Trinidad and Tobago,73
Tunisia,229
Turkey,726
Turkmenistan,96
Uganda,1932
Ukraine,2578
United Arab Emirates,36
United Kingdom,1529
United States,5214
Uruguay,162
Uzbekistan,379
Vanuatu,8
Venezuela,1705
Vietnam,3334
"Yemen, Rep.",206
Zambia,1340
Zimbabwe,1492
