Colon & Rectum Female Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,2.84,2.69,,,2.25,1.95,1.29,1.97,1.71,2.32,3.03,2.49,2.23,2.33,2.84
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,10.49,10.21,10.67,10.28,9.57,9.33,9.6,9.5,9.31,9.37,9.27,9.04,9.26,8.81,9.01,9.49,9,9.29,8.8,8.97,9.06,9.02,8.85,8.8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,7.28,,,6.82,7.68,7.78,6.93,5.63,7.19,7.87,7.38,6.92,5.88,7.49,6.84,6.77,6.96,7.34,8.66,6.88,8.03
Australia,17.87,18.23,18,17.62,17.17,17.02,17.18,17.15,16.62,15.75,16.09,16.48,16.99,16.16,16.87,17.34,16.69,16.7,17.12,16.95,17.3,17.07,16.17,16.36,15.67,16.59,15.97,15.85,16.15,15.82,16.27,16.28,15.84,14.84,14.46,14.23,13.78,13.51,13.7,13.76,12.81,12.92,12.8,12.59,11.52,11.53,11.23,11.12
Austria,15.23,14.23,14.49,13.72,12.91,12.5,12.54,13.62,13.47,14.79,14.73,14.81,14.52,14.57,,,15.37,16.87,15.84,16.42,17.15,16.33,15.99,14.97,15.91,15.04,15.67,15.58,15.92,14.98,14.45,14.36,14.51,14.68,14.15,14.18,13.97,13.29,13.69,12.58,12.95,11.89,11.22,11.4,11.36,11.08,10.5,10.03
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,6.03,,,5.94,7.23,6.5,5.53,4.79,4.33,3.96,5.72,4.66,4.39,4.38,4.18,3.48,3.31,3.59,3.48,3.51,3.97
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,7.49,,,8.65,9.21,9.22,9.68,9.81,10.51,10.29,10.48,10.14,10.34,11.26,,10.66,11.36,11.3,10.61,11.6,10.66
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,4.66,,5.05,,1.5,3.15,,2.03,1.4,0.81,,0.84,1.69,2.36,3.42,,4.93,7.85,1.48,2.41,2.9
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
