Colon&Rectum female cases,2002
Afghanistan,316
Albania,285
Algeria,588
Angola,113
Argentina,4911
Armenia,187
Australia,5715
Austria,2451
Azerbaijan,178
Bahamas,21
Bahrain,14
Bangladesh,410
Barbados,36
Belarus,1782
Belgium,3130
Belize,4
Benin,70
Bhutan,26
Bolivia,247
Bosnia and Herzegovina,663
Botswana,22
Brazil,11162
Brunei,14
Bulgaria,1358
Burkina Faso,37
Burundi,82
Cambodia,239
Cameroon,182
Canada,8266
Cape Verde,6
Central African Rep.,42
Chad,79
Chile,1317
China,62514
Colombia,2546
Comoros,8
"Congo, Dem. Rep.",478
"Congo, Rep.",29
Costa Rica,207
Cote d'Ivoire,132
Croatia,1207
Cuba,1329
Cyprus,122
Czech Rep.,3243
Denmark,1800
Djibouti,10
Dominican Rep.,389
Ecuador,508
Egypt,775
El Salvador,163
Equatorial Guinea,5
Eritrea,49
Estonia,350
Ethiopia,804
Fiji,8
Finland,1146
France,15718
French Polynesia,26
Gabon,21
Gambia,12
Georgia,326
Germany,32053
Ghana,244
Greece,1832
Guam,8
Guatemala,250
Guinea,78
Guinea-Bissau,14
Guyana,26
Haiti,201
Honduras,142
Hungary,3509
Iceland,56
India,13555
Indonesia,9577
Iran,1595
Iraq,325
Ireland,813
Israel,1506
Italy,17276
Jamaica,154
Japan,37887
Jordan,130
Kazakhstan,736
Kenya,337
"Korea, Dem. Rep.",1905
"Korea, Rep.",4561
Kuwait,43
Kyrgyzstan,134
Laos,83
Latvia,488
Lebanon,65
Lesotho,19
Liberia,30
Libya,67
Lithuania,616
Luxembourg,141
"Macedonia, FYR",273
Madagascar,198
Malawi,92
Malaysia,1329
Mali,168
Malta,78
Mauritania,32
Mauritius,47
Mexico,2814
Moldova,556
Mongolia,27
Morocco,654
Mozambique,75
Myanmar,673
Namibia,19
Nepal,273
New Zealand,1286
Nicaragua,151
Niger,98
Nigeria,1485
Norway,1668
Oman,19
Pakistan,2475
Panama,140
Papua New Guinea,39
Paraguay,159
Peru,1292
Philippines,3723
Poland,7909
Portugal,2158
Puerto Rico,612
Qatar,15
Romania,2808
Russia,25925
Rwanda,94
Samoa,6
Saudi Arabia,481
Senegal,88
Serbia and Montenegro,1689
Sierra Leone,55
Singapore,733
Slovak Republic,1227
Slovenia,503
Solomon Islands,8
Somalia,98
South Africa,1577
Spain,9546
Sri Lanka,304
Sudan,345
Suriname,22
Swaziland,7
Sweden,2634
Switzerland,1948
Syria,787
Tajikistan,44
Tanzania,397
Thailand,2108
Netherlands,4582
Togo,54
Trinidad and Tobago,110
Tunisia,276
Turkey,2571
Turkmenistan,43
Uganda,377
Ukraine,8373
United Arab Emirates,69
United Kingdom,16562
United States,80427
Uruguay,811
Uzbekistan,329
Vanuatu,1
Venezuela,1107
Vietnam,2601
"Yemen, Rep.",282
Zambia,84
Zimbabwe,226
