Liver female deaths,2002
Afghanistan,147
Albania,59
Algeria,103
Angola,134
Argentina,909
Armenia,69
Australia,254
Austria,232
Azerbaijan,90
Bahamas,5
Bahrain,5
Bangladesh,577
Barbados,7
Belarus,174
Belgium,287
Belize,8
Benin,110
Bhutan,9
Bolivia,77
Bosnia and Herzegovina,114
Botswana,12
Brazil,2805
Brunei,4
Bulgaria,277
Burkina Faso,311
Burundi,167
Cambodia,109
Cameroon,690
Canada,480
Cape Verde,10
Central African Rep.,197
Chad,374
Chile,364
China,89055
Colombia,1213
Comoros,18
"Congo, Dem. Rep.",2951
"Congo, Rep.",85
Costa Rica,93
Cote d'Ivoire,247
Croatia,162
Cuba,299
Cyprus,8
Czech Rep.,385
Denmark,130
Djibouti,21
Dominican Rep.,262
Ecuador,494
Egypt,856
El Salvador,161
Equatorial Guinea,24
Eritrea,100
Estonia,24
Ethiopia,709
Fiji,5
Finland,183
France,1666
French Polynesia,8
Gabon,34
Gambia,82
Georgia,221
Germany,2156
Ghana,381
Greece,663
Guam,1
Guatemala,155
Guinea,311
Guinea-Bissau,23
Guyana,1
Haiti,235
Honduras,88
Hungary,406
Iceland,6
India,4264
Indonesia,2200
Iran,407
Iraq,27
Ireland,54
Israel,101
Italy,3714
Jamaica,41
Japan,11120
Jordan,17
Kazakhstan,467
Kenya,436
"Korea, Dem. Rep.",1033
"Korea, Rep.",2468
Kuwait,7
Kyrgyzstan,70
Laos,117
Latvia,53
Lebanon,12
Lesotho,41
Liberia,42
Libya,43
Lithuania,67
Luxembourg,9
"Macedonia, FYR",59
Madagascar,410
Malawi,18
Malaysia,248
Mali,493
Malta,4
Mauritania,50
Mauritius,14
Mexico,2719
Moldova,91
Mongolia,369
Morocco,114
Mozambique,2439
Myanmar,690
Namibia,9
Nepal,104
New Zealand,38
Nicaragua,151
Niger,248
Nigeria,1136
Norway,57
Oman,18
Pakistan,1553
Panama,46
Papua New Guinea,147
Paraguay,84
Peru,1135
Philippines,1474
Poland,1141
Portugal,204
Puerto Rico,131
Qatar,5
Romania,791
Russia,3540
Rwanda,427
Samoa,1
Saudi Arabia,278
Senegal,475
Serbia and Montenegro,387
Sierra Leone,87
Singapore,146
Slovak Republic,137
Slovenia,50
Solomon Islands,12
Somalia,202
South Africa,370
Spain,1583
Sri Lanka,41
Sudan,256
Suriname,4
Swaziland,16
Sweden,259
Switzerland,137
Syria,55
Tajikistan,40
Tanzania,245
Thailand,4821
Netherlands,196
Togo,85
Trinidad and Tobago,6
Tunisia,47
Turkey,429
Turkmenistan,43
Uganda,317
Ukraine,881
United Arab Emirates,4
United Kingdom,970
United States,4837
Uruguay,27
Uzbekistan,203
Vanuatu,4
Venezuela,401
Vietnam,1720
"Yemen, Rep.",99
Zambia,263
Zimbabwe,359
