Lung Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,6.3,4.01,,,5.12,4.79,5.09,5.79,7.8,7.62,7.84,7.38,6.4,5.88,8.1
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Argentina,,,,,,,,,,,,,,,,,5.17,5.56,6.7,6.32,5.94,,,,,,,5.54,5.55,5.28,5.21,5.38,5.51,5.51,5.84,5.35,5.26,5.34,5.88,5.83,5.83,6.26,6.2,6.38,6.42,6.29,6.46,6.5,7.09,7.05,6.73,6.95,7.08
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,4.9,,,5.56,6.23,5.42,6.04,5.89,6.38,5.66,7.1,6.55,5.75,4.49,4.55,4.83,5.58,5.28,6.39,6.2,5.96
Australia,2.78,2.98,2.98,3.73,2.98,2.96,3.47,3.2,3.24,3.31,3.44,3.58,3.83,3.86,4.28,4.19,4.46,5.09,5.04,4.96,6.42,6.76,6.37,7.05,6.83,7.22,7.97,9.08,9.09,9.42,9.7,9.56,10.56,11.44,11.32,11.5,11.99,11.41,12.86,13.21,12.72,13.6,12.88,13.33,13.6,13.58,13.73,13.66,13.12,13.1,13.87,13.9,14.31
Austria,,,,,,5.07,6.31,6.14,6.45,6.35,5.31,5.61,6.14,5.98,5.74,5.9,6.29,6.11,6.46,6.23,5.77,6.61,6.34,6.5,6.88,6.84,6.58,6.63,6.94,7.02,7.25,7.36,8.18,7.87,8.83,7.94,8.16,9.14,9.35,8.55,8.72,9.64,9.35,9.58,10.23,9.61,10.43,10.81,10.75,10.87,11.54,10.67,11.77
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.48,,,4.41,4.86,5.64,5.51,4.83,4.52,4.87,4.94,4.42,4.62,3.34,3.86,3.87,3.45,3.96,3.83,4.05,4.63
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,3.76,,,4.29,4.29,5.02,4.45,4.57,4.53,5.06,5.1,4.87,4.32,4.32,,4.55,4.19,3.64,3.8,3.72,3.67
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
Belize,,,,,,,,,,,,,,,8.15,8.11,8.89,,,2.25,,2.22,5.05,6.91,,2.67,,2.38,,,2.6,,3.92,2.31,4.44,,4.45,2.11,,1.24,3.12,,,3.95,5.16,,4.14,5.03,1.89,1.68,7.61,4.37,3.3
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,3.87,3.71,3.86,4.11,4.14,4.3,4.36,4.73,4.86,4.66,4.86,5.09,5.19,5.03,5.33,5.46,5.44,5.7,5.63,5.9,6.09,6.08,6.02
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
Bulgaria,,,,,,,,,,,,,,,7.81,6.71,6.61,7.12,6.57,6.38,5.98,5.75,6.48,6.42,6.21,5.72,5.93,6.3,5.46,6.34,5.69,5.7,5.27,6.34,6.71,6.94,6.45,6.58,6.26,6.11,5.84,7.03,6.3,6.74,6.58,7.17,6.83,6.15,6.42,6.84,6.56,6.22,6.28
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
