Lung female deaths,2002
Afghanistan,173
Albania,154
Algeria,205
Angola,58
Argentina,1804
Armenia,155
Australia,2246
Austria,980
Azerbaijan,219
Bahamas,6
Bahrain,19
Bangladesh,1337
Barbados,6
Belarus,421
Belgium,1052
Belize,4
Benin,10
Bhutan,16
Bolivia,89
Bosnia and Herzegovina,312
Botswana,14
Brazil,5524
Brunei,11
Bulgaria,522
Burkina Faso,75
Burundi,40
Cambodia,188
Cameroon,15
Canada,6808
Cape Verde,0
Central African Rep.,8
Chad,16
Chile,670
China,109059
Colombia,1704
Comoros,4
"Congo, Dem. Rep.",91
"Congo, Rep.",4
Costa Rica,101
Cote d'Ivoire,56
Croatia,453
Cuba,1227
Cyprus,30
Czech Rep.,1272
Denmark,1475
Djibouti,6
Dominican Rep.,286
Ecuador,301
Egypt,747
El Salvador,109
Equatorial Guinea,0
Eritrea,25
Estonia,113
Ethiopia,559
Fiji,5
Finland,464
France,4465
French Polynesia,2
Gabon,9
Gambia,3
Georgia,273
Germany,9666
Ghana,36
Greece,874
Guam,11
Guatemala,193
Guinea,43
Guinea-Bissau,2
Guyana,15
Haiti,11
Honduras,109
Hungary,2097
Iceland,53
India,6934
Indonesia,5736
Iran,466
Iraq,383
Ireland,564
Israel,375
Italy,5788
Jamaica,67
Japan,15257
Jordan,41
Kazakhstan,947
Kenya,167
"Korea, Dem. Rep.",1240
"Korea, Rep.",3045
Kuwait,21
Kyrgyzstan,111
Laos,101
Latvia,175
Lebanon,70
Lesotho,11
Liberia,5
Libya,36
Lithuania,197
Luxembourg,48
"Macedonia, FYR",104
Madagascar,98
Malawi,14
Malaysia,844
Mali,5
Malta,22
Mauritania,5
Mauritius,25
Mexico,2567
Moldova,178
Mongolia,102
Morocco,209
Mozambique,70
Myanmar,2178
Namibia,12
Nepal,167
New Zealand,574
Nicaragua,74
Niger,10
Nigeria,116
Norway,566
Oman,13
Pakistan,1206
Panama,69
Papua New Guinea,15
Paraguay,81
Peru,737
Philippines,3120
Poland,3960
Portugal,530
Puerto Rico,217
Qatar,4
Romania,1555
Russia,8743
Rwanda,20
Samoa,0
Saudi Arabia,135
Senegal,4
Serbia and Montenegro,935
Sierra Leone,7
Singapore,441
Slovak Republic,363
Slovenia,210
Solomon Islands,5
Somalia,48
South Africa,1099
Spain,1870
Sri Lanka,139
Sudan,80
Suriname,13
Swaziland,4
Sweden,1197
Switzerland,750
Syria,143
Tajikistan,64
Tanzania,57
Thailand,2858
Netherlands,2161
Togo,7
Trinidad and Tobago,29
Tunisia,73
Turkey,1453
Turkmenistan,73
Uganda,126
Ukraine,2928
United Arab Emirates,21
United Kingdom,13390
United States,65792
Uruguay,158
Uzbekistan,396
Vanuatu,4
Venezuela,964
Vietnam,2043
"Yemen, Rep.",149
Zambia,23
Zimbabwe,190
