Lung female cases,2002
Afghanistan,190
Albania,193
Algeria,209
Angola,59
Argentina,1894
Armenia,179
Australia,2679
Austria,1096
Azerbaijan,259
Bahamas,8
Bahrain,21
Bangladesh,1460
Barbados,6
Belarus,466
Belgium,1189
Belize,4
Benin,10
Bhutan,18
Bolivia,97
Bosnia and Herzegovina,384
Botswana,15
Brazil,5498
Brunei,12
Bulgaria,502
Burkina Faso,75
Burundi,41
Cambodia,203
Cameroon,15
Canada,8096
Cape Verde,0
Central African Rep.,10
Chad,17
Chile,816
China,126718
Colombia,1714
Comoros,4
"Congo, Dem. Rep.",95
"Congo, Rep.",4
Costa Rica,90
Cote d'Ivoire,57
Croatia,571
Cuba,1229
Cyprus,32
Czech Rep.,1307
Denmark,1515
Djibouti,6
Dominican Rep.,285
Ecuador,299
Egypt,772
El Salvador,112
Equatorial Guinea,0
Eritrea,25
Estonia,134
Ethiopia,572
Fiji,5
Finland,542
France,4507
French Polynesia,2
Gabon,9
Gambia,3
Georgia,310
Germany,10579
Ghana,37
Greece,942
Guam,11
Guatemala,210
Guinea,44
Guinea-Bissau,2
Guyana,16
Haiti,12
Honduras,119
Hungary,2276
Iceland,60
India,8046
Indonesia,6227
Iran,506
Iraq,415
Ireland,598
Israel,469
Italy,6784
Jamaica,73
Japan,18889
Jordan,45
Kazakhstan,1085
Kenya,176
"Korea, Dem. Rep.",1539
"Korea, Rep.",3768
Kuwait,23
Kyrgyzstan,126
Laos,110
Latvia,175
Lebanon,75
Lesotho,12
Liberia,5
Libya,39
Lithuania,212
Luxembourg,52
"Macedonia, FYR",125
Madagascar,101
Malawi,14
Malaysia,914
Mali,5
Malta,21
Mauritania,6
Mauritius,30
Mexico,2633
Moldova,201
Mongolia,89
Morocco,214
Mozambique,71
Myanmar,2362
Namibia,12
Nepal,182
New Zealand,607
Nicaragua,76
Niger,11
Nigeria,122
Norway,746
Oman,14
Pakistan,1320
Panama,70
Papua New Guinea,16
Paraguay,82
Peru,739
Philippines,3358
Poland,4534
Portugal,566
Puerto Rico,200
Qatar,5
Romania,1609
Russia,8909
Rwanda,21
Samoa,0
Saudi Arabia,148
Senegal,4
Serbia and Montenegro,1109
Sierra Leone,9
Singapore,448
Slovak Republic,405
Slovenia,254
Solomon Islands,5
Somalia,49
South Africa,1203
Spain,2038
Sri Lanka,151
Sudan,83
Suriname,13
Swaziland,5
Sweden,1253
Switzerland,937
Syria,155
Tajikistan,77
Tanzania,58
Thailand,3026
Netherlands,2335
Togo,8
Trinidad and Tobago,31
Tunisia,75
Turkey,1572
Turkmenistan,88
Uganda,129
Ukraine,3678
United Arab Emirates,23
United Kingdom,15424
United States,86024
Uruguay,160
Uzbekistan,470
Vanuatu,5
Venezuela,998
Vietnam,2219
"Yemen, Rep.",162
Zambia,25
Zimbabwe,195
