Stomach female deaths,2002
Afghanistan,499
Albania,92
Algeria,333
Angola,323
Argentina,1171
Armenia,198
Australia,474
Austria,615
Azerbaijan,572
Bahamas,9
Bahrain,8
Bangladesh,334
Barbados,12
Belarus,1324
Belgium,541
Belize,7
Benin,56
Bhutan,22
Bolivia,214
Bosnia and Herzegovina,217
Botswana,11
Brazil,5066
Brunei,6
Bulgaria,636
Burkina Faso,109
Burundi,99
Cambodia,180
Cameroon,142
Canada,798
Cape Verde,5
Central African Rep.,162
Chad,298
Chile,1194
China,101719
Colombia,2701
Comoros,10
"Congo, Dem. Rep.",2627
"Congo, Rep.",11
Costa Rica,288
Cote d'Ivoire,144
Croatia,395
Cuba,278
Cyprus,21
Czech Rep.,678
Denmark,177
Djibouti,14
Dominican Rep.,217
Ecuador,1096
Egypt,509
El Salvador,410
Equatorial Guinea,19
Eritrea,60
Estonia,173
Ethiopia,944
Fiji,19
Finland,250
France,2129
French Polynesia,22
Gabon,3
Gambia,8
Georgia,364
Germany,6451
Ghana,206
Greece,524
Guam,2
Guatemala,319
Guinea,80
Guinea-Bissau,13
Guyana,21
Haiti,166
Honduras,183
Hungary,932
Iceland,9
India,9962
Indonesia,1635
Iran,2063
Iraq,217
Ireland,156
Israel,211
Italy,4884
Jamaica,122
Japan,19085
Jordan,46
Kazakhstan,1477
Kenya,577
"Korea, Dem. Rep.",1805
"Korea, Rep.",4407
Kuwait,11
Kyrgyzstan,339
Laos,28
Latvia,289
Lebanon,61
Lesotho,16
Liberia,13
Libya,39
Lithuania,361
Luxembourg,18
"Macedonia, FYR",129
Madagascar,243
Malawi,27
Malaysia,452
Mali,670
Malta,17
Mauritania,27
Mauritius,31
Mexico,2854
Moldova,215
Mongolia,162
Morocco,345
Mozambique,68
Myanmar,1239
Namibia,10
Nepal,225
New Zealand,128
Nicaragua,190
Niger,72
Nigeria,617
Norway,234
Oman,27
Pakistan,1095
Panama,92
Papua New Guinea,35
Paraguay,145
Peru,2524
Philippines,1185
Poland,2188
Portugal,1082
Puerto Rico,154
Qatar,3
Romania,1360
Russia,19008
Rwanda,275
Samoa,5
Saudi Arabia,155
Senegal,82
Serbia and Montenegro,538
Sierra Leone,47
Singapore,208
Slovak Republic,310
Slovenia,171
Solomon Islands,6
Somalia,119
South Africa,556
Spain,2491
Sri Lanka,67
Sudan,233
Suriname,7
Swaziland,6
Sweden,374
Switzerland,290
Syria,202
Tajikistan,283
Tanzania,405
Thailand,743
Netherlands,669
Togo,46
Trinidad and Tobago,48
Tunisia,121
Turkey,1618
Turkmenistan,194
Uganda,288
Ukraine,4866
United Arab Emirates,38
United Kingdom,2719
United States,5406
Uruguay,168
Uzbekistan,679
Vanuatu,4
Venezuela,870
Vietnam,2661
"Yemen, Rep.",127
Zambia,180
Zimbabwe,297
