Stomach female cases,2002
Afghanistan,592
Albania,103
Algeria,352
Angola,344
Argentina,1544
Armenia,236
Australia,689
Austria,782
Azerbaijan,672
Bahamas,12
Bahrain,10
Bangladesh,402
Barbados,14
Belarus,1710
Belgium,576
Belize,8
Benin,59
Bhutan,27
Bolivia,246
Bosnia and Herzegovina,252
Botswana,12
Brazil,6883
Brunei,6
Bulgaria,765
Burkina Faso,116
Burundi,105
Cambodia,215
Cameroon,149
Canada,1105
Cape Verde,6
Central African Rep.,171
Chad,312
Chile,1575
China,128478
Colombia,3520
Comoros,10
"Congo, Dem. Rep.",2762
"Congo, Rep.",11
Costa Rica,378
Cote d'Ivoire,153
Croatia,507
Cuba,333
Cyprus,25
Czech Rep.,809
Denmark,206
Djibouti,14
Dominican Rep.,295
Ecuador,1335
Egypt,538
El Salvador,547
Equatorial Guinea,21
Eritrea,62
Estonia,216
Ethiopia,1000
Fiji,22
Finland,326
France,2618
French Polynesia,25
Gabon,3
Gambia,8
Georgia,419
Germany,8354
Ghana,219
Greece,680
Guam,4
Guatemala,366
Guinea,84
Guinea-Bissau,14
Guyana,28
Haiti,192
Honduras,209
Hungary,1017
Iceland,14
India,11743
Indonesia,1925
Iran,2450
Iraq,261
Ireland,180
Israel,299
Italy,6604
Jamaica,154
Japan,35994
Jordan,57
Kazakhstan,1747
Kenya,611
"Korea, Dem. Rep.",3226
"Korea, Rep.",7737
Kuwait,13
Kyrgyzstan,412
Laos,34
Latvia,309
Lebanon,71
Lesotho,17
Liberia,14
Libya,41
Lithuania,475
Luxembourg,29
"Macedonia, FYR",177
Madagascar,258
Malawi,29
Malaysia,535
Mali,707
Malta,19
Mauritania,28
Mauritius,41
Mexico,3785
Moldova,262
Mongolia,194
Morocco,363
Mozambique,74
Myanmar,1480
Namibia,10
Nepal,268
New Zealand,138
Nicaragua,257
Niger,76
Nigeria,656
Norway,238
Oman,33
Pakistan,1332
Panama,122
Papua New Guinea,41
Paraguay,190
Peru,3223
Philippines,1321
Poland,2634
Portugal,1346
Puerto Rico,193
Qatar,4
Romania,1371
Russia,21211
Rwanda,288
Samoa,5
Saudi Arabia,183
Senegal,87
Serbia and Montenegro,544
Sierra Leone,51
Singapore,273
Slovak Republic,372
Slovenia,182
Solomon Islands,7
Somalia,126
South Africa,641
Spain,3046
Sri Lanka,83
Sudan,245
Suriname,9
Swaziland,6
Sweden,427
Switzerland,374
Syria,240
Tajikistan,332
Tanzania,425
Thailand,856
Netherlands,803
Togo,49
Trinidad and Tobago,63
Tunisia,126
Turkey,1915
Turkmenistan,237
Uganda,310
Ukraine,6046
United Arab Emirates,46
United Kingdom,3675
United States,8050
Uruguay,210
Uzbekistan,832
Vanuatu,4
Venezuela,1151
Vietnam,3159
"Yemen, Rep.",150
Zambia,194
Zimbabwe,313
