Liver Male Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.29,1.22,5.19,4.78,4.83,4.54,4.87,4.92,4.65,5.14,5.03,5,4.98,5.25,4.91,4.78,4.99,5.32,4.85,4.92,4.9,4.76,4.58
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.49,1.71,1.96,1.6,1.79,1.67,1.89,1.76,1.97,2.11,2.25,2.22,2.38,2.21,2.4,3.28,3.3,3.69,3.79,3.69
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.29,3.41,3.56,4.04,4.03,4.27,3.5,2.47,2.42,3.51,4.04,3.33,3.98,3.67,3.62,4.18,4.62,4.27,4.37,4.02,4.23,6.87
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.19,1.3,0.92,0.98,0.93,1.42,1.74,1.31,1.22,1.22,1.14,1.07,1.08,1.03,1.01,1.15,3.97,4.05,3.96,3.96,4.28,4.23,4.36
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7
Canada,,,,1.11,1.03,1.24,1.06,0.99,1.04,1.02,1.18,1.46,1.47,1.47,,,,,,,,,,,1.38,1.35,1.15,1.18,1.15,1.65,1.57,1.66,1.68,1.87,1.75,1.46,1.43,1.56,1.69,1.78,1.59,1.54,1.74,1.96,1.95,3.67,4.05,3.82
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.1,1.87,5.34,5.14,4.86,5.21,3.71,2.06,2.06,2.41,2.21,2.1,2,1.87,2.47,2.34,5.73,6.66,5.61,5.28,4.53,5.21
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,1.66,1.96,2.1,2.17,1.17,1.58,1.86,2.02,1.46,1.67,2.03,2.26,5.13,4.9,5.45,,4.91,4.91
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,2.92,5.41,6.13,5.27,6.18,3.94,6.56,8.05,7.29,5.71,2.52,4.11,2.46,2.77,2,2.15,6.35,6.55,5.49,5.36,6.55,6.84
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.09,7.11,6.89,6.81,6.32,7.21,7.24
