Liver male deaths,2002
Afghanistan,218
Albania,87
Algeria,70
Angola,202
Argentina,1044
Armenia,77
Australia,477
Austria,453
Azerbaijan,103
Bahamas,5
Bahrain,10
Bangladesh,514
Barbados,6
Belarus,261
Belgium,406
Belize,4
Benin,273
Bhutan,16
Bolivia,91
Bosnia and Herzegovina,165
Botswana,16
Brazil,3326
Brunei,11
Bulgaria,473
Burkina Faso,779
Burundi,307
Cambodia,450
Cameroon,1869
Canada,845
Cape Verde,15
Central African Rep.,323
Chad,637
Chile,454
China,232796
Colombia,1091
Comoros,40
"Congo, Dem. Rep.",4299
"Congo, Rep.",172
Costa Rica,103
Cote d'Ivoire,727
Croatia,247
Cuba,300
Cyprus,18
Czech Rep.,575
Denmark,152
Djibouti,35
Dominican Rep.,328
Ecuador,422
Egypt,1314
El Salvador,124
Equatorial Guinea,41
Eritrea,224
Estonia,32
Ethiopia,3580
Fiji,16
Finland,175
France,5498
French Polynesia,26
Gabon,60
Gambia,220
Georgia,253
Germany,3474
Ghana,960
Greece,1166
Guam,6
Guatemala,146
Guinea,920
Guinea-Bissau,58
Guyana,5
Haiti,595
Honduras,80
Hungary,550
Iceland,8
India,8734
Indonesia,8632
Iran,302
Iraq,54
Ireland,84
Israel,101
Italy,6804
Jamaica,44
Japan,25214
Jordan,31
Kazakhstan,777
Kenya,813
"Korea, Dem. Rep.",3806
"Korea, Rep.",8498
Kuwait,52
Kyrgyzstan,106
Laos,320
Latvia,68
Lebanon,10
Lesotho,154
Liberia,101
Libya,89
Lithuania,88
Luxembourg,18
"Macedonia, FYR",93
Madagascar,933
Malawi,180
Malaysia,839
Mali,973
Malta,11
Mauritania,126
Mauritius,21
Mexico,2361
Moldova,181
Mongolia,646
Morocco,120
Mozambique,3759
Myanmar,2213
Namibia,15
Nepal,185
New Zealand,95
Nicaragua,108
Niger,437
Nigeria,3536
Norway,70
Oman,52
Pakistan,2405
Panama,46
Papua New Guinea,275
Paraguay,70
Peru,892
Philippines,4225
Poland,1045
Portugal,434
Puerto Rico,127
Qatar,28
Romania,1373
Russia,4653
Rwanda,825
Samoa,5
Saudi Arabia,915
Senegal,901
Serbia and Montenegro,498
Sierra Leone,212
Singapore,406
Slovak Republic,211
Slovenia,93
Solomon Islands,24
Somalia,458
South Africa,786
Spain,2898
Sri Lanka,98
Sudan,622
Suriname,2
Swaziland,57
Sweden,348
Switzerland,378
Syria,51
Tajikistan,73
Tanzania,888
Thailand,9831
Netherlands,298
Togo,210
Trinidad and Tobago,11
Tunisia,99
Turkey,672
Turkmenistan,76
Uganda,362
Ukraine,1320
United Arab Emirates,77
United Kingdom,1369
United States,8381
Uruguay,49
Uzbekistan,325
Vanuatu,14
Venezuela,396
Vietnam,6515
"Yemen, Rep.",367
Zambia,527
Zimbabwe,774
