Lung Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.32,37.78,32.58,,,27.77,25.43,21.83,33.68,35.57,35.98,34.84,34.67,31.48,27.91,29.44
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Argentina,,,,,,,,,,,,,,,,,41.07,47.2,48.19,48.67,46.7,,,,,,,43.79,44.01,43.09,42.9,44.55,40.52,42.38,41.26,40.63,39.5,41.39,40.09,39.64,38.03,39.35,38.01,37.77,37.88,36.8,36.97,36,35.99,36.12,34.74,32.92,31.87
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.01,32.88,,,37.62,36.7,35.42,42.55,40.83,45.98,48.04,44.8,41.34,37.81,39.8,41.01,43.91,41.45,45.09,45.54,46.71,45.62
Australia,13.83,14.91,17.29,18.27,19.13,20.7,22.12,24.06,23.91,26.27,27.19,29.81,31.77,32.78,34.74,35.1,37.4,38.72,39.97,41.26,42.12,43.61,43.99,44.92,47.21,47.37,48.5,46.96,47.16,47.38,49.45,49.09,49.15,48.59,48.56,47.98,45.99,46.27,45.68,45.55,41.64,41.18,41.17,38.96,40.36,37.4,37.2,35.21,34.87,33.19,31.76,31.29,30.4
Austria,,,,,,43.01,45.84,47.55,47.69,47.51,49.86,51.26,49.25,52.01,48.87,52.46,51.25,51.51,53.14,51.51,50.46,50.05,51.47,52.2,50.77,50.8,50.42,50.73,48.69,50.59,49.91,48.43,47,48.28,50.06,47.46,46.94,46.44,45.6,45.74,45.46,45.8,43.75,45.23,41.7,40.8,40.81,39.37,39.48,37.2,36.41,35.15,35.92
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.62,34.63,,,32.43,36.57,38.51,35.65,32.97,26.42,28.04,29.27,26.13,22.4,21.25,22.2,22.35,20.44,21.34,20.24,21.35,21.83
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.21,40.02,,,47.85,48.38,51.12,52.3,56.72,56.16,56.72,60.33,61.28,60.51,61.17,,60.24,58.64,57.4,56.05,55.51,55.31
Belgium,,,,,26.63,27.37,30.3,31.1,32.37,34.04,37.91,40.16,42.12,44.66,46.06,50.44,50.56,52.84,54.48,55.24,58.76,64.25,66.43,67.26,66.83,68.67,70.74,75.93,76.88,76,77.9,79.58,78.13,81.77,80.69,82.03,79.52,77.7,77.94,73.13,72.59,71.15,71.97,71.8,69.24,70.44,65.93,66.95,,,,,69.9
Belize,,,,,,,,,,,,,,,10.14,5.77,8.89,,8.28,11.63,8.82,,13.86,5.5,,2.59,5.5,7.82,18.11,1.85,,,7.87,3.84,15.89,,7.49,12.74,,8.86,9.08,3.53,,14.25,10.24,16.63,13.97,17.17,18.97,19.7,11.32,17.12,19.6
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3
