Lung male deaths,2002
Afghanistan,675
Albania,639
Algeria,1510
Angola,207
Argentina,7182
Armenia,905
Australia,4936
Austria,2390
Azerbaijan,891
Bahamas,22
Bahrain,57
Bangladesh,8021
Barbados,18
Belarus,3482
Belgium,6235
Belize,14
Benin,37
Bhutan,73
Bolivia,293
Bosnia and Herzegovina,1268
Botswana,25
Brazil,12728
Brunei,26
Bulgaria,2337
Burkina Faso,100
Burundi,50
Cambodia,542
Cameroon,125
Canada,11032
Cape Verde,2
Central African Rep.,48
Chad,93
Chile,1452
China,231301
Colombia,2781
Comoros,7
"Congo, Dem. Rep.",565
"Congo, Rep.",29
Costa Rica,199
Cote d'Ivoire,284
Croatia,2199
Cuba,2699
Cyprus,130
Czech Rep.,4588
Denmark,2045
Djibouti,6
Dominican Rep.,527
Ecuador,463
Egypt,1837
El Salvador,120
Equatorial Guinea,6
Eritrea,37
Estonia,548
Ethiopia,530
Fiji,1
Finland,1438
France,21760
French Polynesia,35
Gabon,45
Gambia,17
Georgia,1015
Germany,29909
Ghana,131
Greece,4878
Guam,28
Guatemala,441
Guinea,199
Guinea-Bissau,8
Guyana,18
Haiti,213
Honduras,238
Hungary,5773
Iceland,62
India,30706
Indonesia,14299
Iran,1386
Iraq,1200
Ireland,963
Israel,894
Italy,26990
Jamaica,234
Japan,41110
Jordan,195
Kazakhstan,4095
Kenya,288
"Korea, Dem. Rep.",4236
"Korea, Rep.",9421
Kuwait,119
Kyrgyzstan,436
Laos,247
Latvia,903
Lebanon,369
Lesotho,70
Liberia,11
Libya,186
Lithuania,1280
Luxembourg,170
"Macedonia, FYR",514
Madagascar,152
Malawi,62
Malaysia,2099
Mali,81
Malta,107
Mauritania,17
Mauritius,76
Mexico,5477
Moldova,708
Mongolia,180
Morocco,1797
Mozambique,80
Myanmar,4280
Namibia,26
Nepal,800
New Zealand,911
Nicaragua,138
Niger,87
Nigeria,350
Norway,1194
Oman,73
Pakistan,8151
Panama,172
Papua New Guinea,27
Paraguay,287
Peru,1050
Philippines,10064
Poland,16354
Portugal,2314
Puerto Rico,449
Qatar,47
Romania,7044
Russia,50658
Rwanda,33
Samoa,7
Saudi Arabia,642
Senegal,38
Serbia and Montenegro,3516
Sierra Leone,29
Singapore,952
Slovak Republic,1914
Slovenia,762
Solomon Islands,16
Somalia,73
South Africa,2788
Spain,16253
Sri Lanka,863
Sudan,82
Suriname,18
Swaziland,24
Sweden,1896
Switzerland,2225
Syria,1148
Tajikistan,143
Tanzania,164
Thailand,6070
Netherlands,7079
Togo,29
Trinidad and Tobago,78
Tunisia,1023
Turkey,11884
Turkmenistan,254
Uganda,173
Ukraine,15800
United Arab Emirates,189
United Kingdom,21959
United States,94640
Uruguay,1017
Uzbekistan,1093
Vanuatu,7
Venezuela,1504
Vietnam,7480
"Yemen, Rep.",124
Zambia,161
Zimbabwe,344
