Lung male cases,2002
Afghanistan,732
Albania,811
Algeria,1552
Angola,212
Argentina,8384
Armenia,1056
Australia,5565
Austria,2660
Azerbaijan,1049
Bahamas,23
Bahrain,60
Bangladesh,8691
Barbados,19
Belarus,3825
Belgium,6518
Belize,15
Benin,38
Bhutan,79
Bolivia,320
Bosnia and Herzegovina,1529
Botswana,26
Brazil,13635
Brunei,28
Bulgaria,2695
Burkina Faso,103
Burundi,51
Cambodia,588
Cameroon,127
Canada,12552
Cape Verde,2
Central African Rep.,49
Chad,97
Chile,1813
China,269650
Colombia,2801
Comoros,7
"Congo, Dem. Rep.",579
"Congo, Rep.",29
Costa Rica,189
Cote d'Ivoire,291
Croatia,2567
Cuba,2826
Cyprus,139
Czech Rep.,4891
Denmark,2011
Djibouti,6
Dominican Rep.,526
Ecuador,455
Egypt,1886
El Salvador,125
Equatorial Guinea,6
Eritrea,38
Estonia,596
Ethiopia,550
Fiji,1
Finland,1378
France,23044
French Polynesia,38
Gabon,46
Gambia,17
Georgia,1178
Germany,32312
Ghana,137
Greece,5474
Guam,31
Guatemala,483
Guinea,208
Guinea-Bissau,8
Guyana,18
Haiti,232
Honduras,259
Hungary,6461
Iceland,57
India,35495
Indonesia,15432
Iran,1502
Iraq,1295
Ireland,1001
Israel,901
Italy,30384
Jamaica,254
Japan,47564
Jordan,212
Kazakhstan,4794
Kenya,296
"Korea, Dem. Rep.",5278
"Korea, Rep.",11722
Kuwait,129
Kyrgyzstan,511
Laos,268
Latvia,920
Lebanon,397
Lesotho,72
Liberia,12
Libya,190
Lithuania,1318
Luxembourg,206
"Macedonia, FYR",621
Madagascar,157
Malawi,64
Malaysia,2262
Mali,82
Malta,116
Mauritania,18
Mauritius,74
Mexico,5622
Moldova,840
Mongolia,209
Morocco,1847
Mozambique,83
Myanmar,4642
Namibia,27
Nepal,867
New Zealand,974
Nicaragua,141
Niger,89
Nigeria,366
Norway,1297
Oman,79
Pakistan,8806
Panama,177
Papua New Guinea,30
Paraguay,291
Peru,1049
Philippines,10823
Poland,19478
Portugal,2572
Puerto Rico,449
Qatar,53
Romania,7430
Russia,53654
Rwanda,35
Samoa,7
Saudi Arabia,694
Senegal,41
Serbia and Montenegro,4330
Sierra Leone,31
Singapore,1001
Slovak Republic,2153
Slovenia,816
Solomon Islands,18
Somalia,77
South Africa,3043
Spain,17983
Sri Lanka,935
Sudan,86
Suriname,19
Swaziland,24
Sweden,1736
Switzerland,2754
Syria,1239
Tajikistan,170
Tanzania,168
Thailand,6429
Netherlands,7253
Togo,29
Trinidad and Tobago,86
Tunisia,1049
Turkey,12862
Turkmenistan,315
Uganda,179
Ukraine,17639
United Arab Emirates,205
United Kingdom,24300
United States,118873
Uruguay,1202
Uzbekistan,1314
Vanuatu,7
Venezuela,1565
Vietnam,8089
"Yemen, Rep.",136
Zambia,166
Zimbabwe,353
