Stomach Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31,16.71,15.94,,,15.03,11.12,10.32,14.79,16.13,15.48,15.99,15.76,15.84,12.08,13.86
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
Argentina,,,,,,,,,,,,,,,,,24.16,26.99,26.63,26.1,25.05,,,,,,,18.4,17.76,16.74,15.28,16.47,14.24,14.11,14,13.81,13.53,13.2,12.95,13.25,12.09,11.6,11.04,10.66,10.76,10.81,10.86,10.2,10.03,10.2,9.85,9.3,9.15
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.97,20.94,,,24.11,19.18,21.98,19.88,18.91,21.83,19.71,22.1,20,17.54,17.51,17.82,16.43,15.82,15.54,15.11,15.89,15.33
Australia,25.85,25.42,25.19,24.25,22.73,23.34,21.23,21.36,21.64,19.77,18.39,19.1,17.39,17.33,16.11,14.96,15.68,15.46,15.59,14.81,14.44,14.25,14.28,13.14,13.42,12.95,12.12,11.05,11.52,10.65,10.91,10.44,10.28,10.21,9.22,9.83,9.29,8.62,8.38,7.65,7.19,6.99,6.57,6.64,6.75,6.38,5.77,5.7,5.6,5.4,5.19,5,4.84
Austria,,,,,,48.55,47.08,46.4,49.32,48.03,46.01,46.05,44.18,43.45,42.53,42.45,40.54,40.29,38.34,37.47,36.08,35.76,33.44,32.62,30.89,29.46,28.57,27.58,26.62,27.61,25.73,24.04,23.21,22.22,22.27,20.08,19.25,19.22,17.91,16.71,17.02,16.22,14.84,15.33,14.12,13.29,12.7,11.3,11,9.84,9.31,8.63,8.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.88,38.03,,,34.34,32.21,34.19,33.64,30.96,27.32,27.41,28.32,25.02,25.17,25.85,26.48,23.7,23.18,23.72,21.53,20.21,21.97
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.16,41.87,,,39.59,38.69,38.47,39.3,38.69,37.26,37.17,37.11,36.7,35.26,34.98,,31.77,33.1,32.87,31.28,28.66,29.67
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.31,16.2,16.41,15.98,16.08,15.72,15.39,14.88,15.13,14.63,14.16,13.88,13.59,13.9,13.11,12.54,12.52,12.47,12.09,11.93,11.41,11.29,11.05,11.14
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
Bulgaria,,,,,,,,,,,,,,,42.67,41.05,39.43,38.76,36.29,34.62,32.08,32.51,32.28,29.64,29.73,28.12,27.98,27.43,25.93,25.02,23.07,24.08,25.45,23.9,21.62,21.22,21.7,21.53,20.64,20.2,19.71,19.26,20.39,18.02,18.55,16.48,16.72,15.76,15.69,14.93,14.55,14.1,14.35
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Canada,25.62,25.57,26.45,24.05,23.39,23.83,23.06,22.45,21.91,20.58,20.3,19.52,19.01,19.12,18.18,17.26,16.65,16.26,15,15.67,14.93,14.44,13.91,13.28,12.72,12.6,11.83,11.07,10.43,11.59,10.15,9.84,9.48,9.25,9.02,8.3,8.47,8.25,8.09,7.89,7.38,6.67,6.89,6.17,6.23,6.28,6.12,5.72,5.55,5.34,5.18,4.99,4.62
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
Chile,,,,,,65.63,67.34,63.27,63.6,66.14,63.38,63.58,60.94,64.16,59.04,53.79,56.61,54.85,57.91,58.34,59.68,55.82,56.69,55.11,50.09,49.9,48.72,45.81,45.37,46.15,41.78,38.98,39.84,38.1,35.81,33.33,35.33,33.29,34.56,35.35,33.32,33.59,32.48,32.57,32.15,32.02,29.88,32.21,29.4,30.81,29.7,28.25,28.34
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7
Colombia,,,,19.23,16.38,16.47,17.49,20.19,18.66,20.37,18.83,19.58,21.14,23.43,23.89,25.1,25.84,26.74,24.8,23.53,,,23.49,,25.38,25.91,23.8,24.23,,,,,,,23.84,24.38,23.15,24.25,22.49,22.65,21.94,22.04,21.75,21.15,20.59,19.62,19.73,19.62,18.75,19.4,,18.66,17.665
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
Costa Rica,,,,,,,,,,,,39.25,40.9,44.36,43.6,46.52,41.3,40.24,37.42,39.04,36.13,39.87,39.49,39.05,40.19,37.52,36.78,36.23,34.56,33.37,33.82,32.73,38.31,39.02,37.42,39.52,33.29,35.65,41.33,41.07,36.87,35.28,36.5,33.49,33.19,33.5,30.1,29.16,27.88,25.26,24.05,24.79,21.36
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.74,27.9,27.79,26.85,26.87,25.87,24.85,21.45,22.31,20.17,19.43,18.4,18.67,17.76,18.57,17.8,16.16,16.17
