Stomach male deaths,2002
Afghanistan,936
Albania,180
Algeria,571
Angola,429
Argentina,2076
Armenia,331
Australia,800
Austria,675
Azerbaijan,964
Bahamas,13
Bahrain,15
Bangladesh,565
Barbados,23
Belarus,1935
Belgium,735
Belize,12
Benin,52
Bhutan,39
Bolivia,427
Bosnia and Herzegovina,370
Botswana,12
Brazil,9659
Brunei,15
Bulgaria,955
Burkina Faso,58
Burundi,100
Cambodia,364
Cameroon,20
Canada,1331
Cape Verde,2
Central African Rep.,137
Chad,260
Chile,2257
China,206632
Colombia,3929
Comoros,13
"Congo, Dem. Rep.",2219
"Congo, Rep.",16
Costa Rica,459
Cote d'Ivoire,213
Croatia,662
Cuba,491
Cyprus,30
Czech Rep.,904
Denmark,241
Djibouti,11
Dominican Rep.,302
Ecuador,1355
Egypt,744
El Salvador,375
Equatorial Guinea,18
Eritrea,72
Estonia,212
Ethiopia,1246
Fiji,15
Finland,326
France,3417
French Polynesia,44
Gabon,8
Gambia,9
Georgia,537
Germany,7395
Ghana,186
Greece,887
Guam,4
Guatemala,417
Guinea,125
Guinea-Bissau,12
Guyana,24
Haiti,538
Honduras,226
Hungary,1299
Iceland,18
India,19346
Indonesia,2323
Iran,4575
Iraq,230
Ireland,215
Israel,303
Italy,6903
Jamaica,220
Japan,35338
Jordan,76
Kazakhstan,2145
Kenya,762
"Korea, Dem. Rep.",3730
"Korea, Rep.",8322
Kuwait,28
Kyrgyzstan,498
Laos,40
Latvia,339
Lebanon,82
Lesotho,30
Liberia,27
Libya,75
Lithuania,515
Luxembourg,25
"Macedonia, FYR",254
Madagascar,302
Malawi,58
Malaysia,860
Mali,475
Malta,31
Mauritania,23
Mauritius,48
Mexico,3370
Moldova,379
Mongolia,241
Morocco,548
Mozambique,38
Myanmar,1655
Namibia,12
Nepal,422
New Zealand,204
Nicaragua,213
Niger,45
Nigeria,584
Norway,353
Oman,84
Pakistan,1567
Panama,172
Papua New Guinea,56
Paraguay,222
Peru,2692
Philippines,1743
Poland,4017
Portugal,1601
Puerto Rico,246
Qatar,21
Romania,2665
Russia,25728
Rwanda,269
Samoa,9
Saudi Arabia,315
Senegal,119
Serbia and Montenegro,910
Sierra Leone,41
Singapore,380
Slovak Republic,536
Slovenia,244
Solomon Islands,8
Somalia,147
South Africa,960
Spain,3928
Sri Lanka,185
Sudan,281
Suriname,16
Swaziland,11
Sweden,571
Switzerland,413
Syria,265
Tajikistan,376
Tanzania,529
Thailand,964
Netherlands,1114
Togo,40
Trinidad and Tobago,51
Tunisia,197
Turkey,2821
Turkmenistan,251
Uganda,322
Ukraine,7652
United Arab Emirates,167
United Kingdom,4464
United States,7761
Uruguay,280
Uzbekistan,1118
Vanuatu,2
Venezuela,1194
Vietnam,5190
"Yemen, Rep.",173
Zambia,197
Zimbabwe,293
