Stomach Male cases,2002
Afghanistan,1108
Albania,226
Algeria,603
Angola,455
Argentina,2888
Armenia,396
Australia,1370
Austria,866
Azerbaijan,1161
Bahamas,18
Bahrain,19
Bangladesh,675
Barbados,29
Belarus,2458
Belgium,823
Belize,18
Benin,55
Bhutan,46
Bolivia,490
Bosnia and Herzegovina,452
Botswana,13
Brazil,13358
Brunei,18
Bulgaria,1263
Burkina Faso,61
Burundi,105
Cambodia,432
Cameroon,22
Canada,2027
Cape Verde,2
Central African Rep.,143
Chad,276
Chile,3206
China,264460
Colombia,5159
Comoros,13
"Congo, Dem. Rep.",2339
"Congo, Rep.",16
Costa Rica,633
Cote d'Ivoire,227
Croatia,799
Cuba,498
Cyprus,35
Czech Rep.,1106
Denmark,342
Djibouti,12
Dominican Rep.,386
Ecuador,1636
Egypt,787
El Salvador,495
Equatorial Guinea,18
Eritrea,76
Estonia,266
Ethiopia,1307
Fiji,15
Finland,387
France,4925
French Polynesia,51
Gabon,9
Gambia,9
Georgia,636
Germany,10558
Ghana,198
Greece,1151
Guam,4
Guatemala,480
Guinea,134
Guinea-Bissau,13
Guyana,33
Haiti,617
Honduras,260
Hungary,1453
Iceland,24
India,22650
Indonesia,2712
Iran,5393
Iraq,275
Ireland,290
Israel,421
Italy,9850
Jamaica,285
Japan,73785
Jordan,91
Kazakhstan,2612
Kenya,801
"Korea, Dem. Rep.",7158
"Korea, Rep.",15912
Kuwait,32
Kyrgyzstan,614
Laos,48
Latvia,374
Lebanon,96
Lesotho,32
Liberia,28
Libya,78
Lithuania,589
Luxembourg,45
"Macedonia, FYR",354
Madagascar,318
Malawi,61
Malaysia,1007
Mali,504
Malta,40
Mauritania,25
Mauritius,68
Mexico,4502
Moldova,447
Mongolia,290
Morocco,579
Mozambique,39
Myanmar,1978
Namibia,13
Nepal,502
New Zealand,261
Nicaragua,291
Niger,48
Nigeria,617
Norway,381
Oman,101
Pakistan,1878
Panama,225
Papua New Guinea,64
Paraguay,296
Peru,3459
Philippines,1944
Poland,4962
Portugal,2092
Puerto Rico,333
Qatar,27
Romania,2736
Russia,29633
Rwanda,286
Samoa,11
Saudi Arabia,372
Senegal,125
Serbia and Montenegro,1061
Sierra Leone,43
Singapore,478
Slovak Republic,664
Slovenia,295
Solomon Islands,10
Somalia,155
South Africa,1113
Spain,5161
Sri Lanka,223
Sudan,293
Suriname,21
Swaziland,11
Sweden,659
Switzerland,678
Syria,316
Tajikistan,455
Tanzania,561
Thailand,1101
Netherlands,1498
Togo,43
Trinidad and Tobago,66
Tunisia,208
Turkey,3320
Turkmenistan,309
Uganda,339
Ukraine,9145
United Arab Emirates,201
United Kingdom,6311
United States,13710
Uruguay,396
Uzbekistan,1383
Vanuatu,2
Venezuela,1606
Vietnam,6104
"Yemen, Rep.",200
Zambia,208
Zimbabwe,308
