Gapminder name,2008
Afghanistan,247615
Albania,485
Algeria,12925
Angola,129045
Argentina,4347
Armenia,465
Australia,606
Austria,147
Azerbaijan,3060
Bahamas,44
Bahrain,89
Bangladesh,69053
Barbados,12
Belarus,618
Belgium,295
Belize,82
Benin,28117
Bhutan,676
Bolivia,7663
Bosnia and Herzegovina,227
Botswana,706
Brazil,33513
Brunei,25
Bulgaria,463
Burkina Faso,91374
Burundi,33124
Cambodia,21089
Cameroon,67523
Canada,892
Cape Verde,149
Central African Rep.,18682
Chad,76540
Chile,1063
China,163578
Colombia,7057
Comoros,1377
"Congo, Rep.",11234
Costa Rica,281
Cote d'Ivoire,49899
Croatia,88
Cuba,366
Cyprus,21
Czech Rep.,210
"Korea, Dem. Rep.",8873
"Congo, Dem. Rep.",390839
Denmark,111
Djibouti,1380
Dominican Rep.,3190
Ecuador,3832
Egypt,17631
El Salvador,1319
Equatorial Guinea,2482
Eritrea,7205
Estonia,46
Ethiopia,199839
Fiji,164
Finland,89
France,1410
Gabon,1930
Gambia,4172
Georgia,620
Germany,1257
Ghana,32052
Greece,183
Grenada,4
Guatemala,10647
Guinea,37288
Guinea-Bissau,9254
Guyana,511
Haiti,12432
Honduras,3030
Hungary,304
Iceland,8
India,826060
Indonesia,92895
Iran,19424
Iraq,18472
Ireland,156
Israel,337
Italy,1084
Jamaica,1197
Japan,2359
Jordan,1077
Kazakhstan,4595
Kenya,138896
Kuwait,262
Kyrgyzstan,2538
Laos,6768
Latvia,94
Lebanon,361
Lesotho,2358
Liberia,13904
Libya,1071
Lithuania,120
Luxembourg,9
Madagascar,47122
Malawi,39155
Malaysia,1771
Maldives,73
Mali,71940
Malta,18
Mauritania,7514
Mauritius,123
Mexico,21634
"Micronesia, Fed. Sts.",67
Mongolia,1352
Montenegro,26
Morocco,8505
Mozambique,72855
Myanmar,74443
Namibia,1391
Nepal,14244
Netherlands,329
New Zealand,116
Nicaragua,2084
Niger,94064
Nigeria,778459
Norway,110
Oman,268
Pakistan,180736
Panama,919
Papua New Guinea,8665
Paraguay,1979
Peru,7121
Philippines,39972
Poland,1084
Portugal,190
Qatar,65
"Korea, Rep.",1422
Moldova,445
Romania,1399
Russia,7570
Rwanda,27037
Saint Lucia,12
Saint Vincent and the Grenadines,7
Samoa,61
Sao Tome and Principe,326
Saudi Arabia,5527
Senegal,32898
Serbia,324
Sierra Leone,32712
Singapore,63
Slovak Republic,231
Slovenia,20
Solomon Islands,327
Somalia,51955
South Africa,51237
Spain,1097
Sri Lanka,3073
Sudan,85825
Suriname,143
Swaziland,2235
Sweden,165
Switzerland,120
Syria,4932
Tajikistan,7714
Thailand,4064
"Macedonia, FYR",101
Togo,12965
Tonga,31
Trinidad and Tobago,213
Tunisia,1527
Turkey,10551
Turkmenistan,3014
Uganda,144983
Ukraine,3465
United Arab Emirates,166
United Kingdom,1925
Tanzania,115717
United States,15978
Uruguay,396
Uzbekistan,10308
Vanuatu,134
Venezuela,4883
Vietnam,7854
"Yemen, Rep.",29554
Zambia,57255
Zimbabwe,24825
