Gapminder name,2008
Afghanistan,88232
Albania,12
Algeria,3688
Angola,40542
Argentina,83
Armenia,18
Australia,5
Austria,1
Azerbaijan,691
Bahamas,1
Bahrain,1
Bangladesh,18360
Barbados,0
Belarus,5
Belgium,8
Belize,10
Benin,4966
Bhutan,161
Bolivia,2070
Bosnia and Herzegovina,6
Botswana,98
Brazil,3474
Brunei,1
Bulgaria,14
Burkina Faso,21720
Burundi,10313
Cambodia,2123
Cameroon,14139
Canada,1
Cape Verde,27
Central African Rep.,4312
Chad,21030
Chile,6
China,10392
Colombia,739
Comoros,437
"Congo, Rep.",2150
Costa Rica,10
Cote d'Ivoire,9908
Croatia,1
Cuba,10
Cyprus,0
Czech Rep.,5
"Korea, Dem. Rep.",2074
"Congo, Dem. Rep.",98108
Denmark,1
Djibouti,404
Dominican Rep.,657
Ecuador,388
Egypt,2146
El Salvador,82
Equatorial Guinea,304
Eritrea,2173
Estonia,0
Ethiopia,70944
Fiji,17
Finland,0
France,22
Gabon,166
Gambia,837
Georgia,85
Germany,7
Ghana,4868
Greece,0
Grenada,0
Guatemala,2937
Guinea,7200
Guinea-Bissau,2257
Guyana,118
Haiti,3796
Honduras,590
Hungary,2
Iceland,0
India,203206
Indonesia,25664
Iran,4362
Iraq,4610
Ireland,0
Israel,0
Italy,1
Jamaica,231
Japan,45
Jordan,119
Kazakhstan,208
Kenya,37934
Kuwait,2
Kyrgyzstan,642
Laos,712
Latvia,2
Lebanon,21
Lesotho,408
Liberia,3353
Libya,89
Lithuania,0
Luxembourg,0
Madagascar,15558
Malawi,5927
Malaysia,35
Maldives,13
Mali,18548
Malta,0
Mauritania,1836
Mauritius,5
Mexico,1950
"Micronesia, Fed. Sts.",5
Mongolia,92
Montenegro,0
Morocco,2762
Mozambique,12373
Myanmar,14497
Namibia,148
Nepal,5072
Netherlands,0
New Zealand,1
Nicaragua,343
Niger,24159
Nigeria,192178
Norway,6
Oman,13
Pakistan,66821
Panama,91
Papua New Guinea,650
Paraguay,365
Peru,658
Philippines,4852
Poland,6
Portugal,0
Qatar,2
"Korea, Rep.",5
Moldova,17
Romania,32
Russia,183
Rwanda,9044
Saint Lucia,0
Saint Vincent and the Grenadines,1
Samoa,8
Sao Tome and Principe,70
Saudi Arabia,597
Senegal,7017
Serbia,3
Sierra Leone,8699
Singapore,0
Slovak Republic,1
Slovenia,0
Solomon Islands,21
Somalia,15636
South Africa,6187
Spain,0
Sri Lanka,202
Sudan,13870
Suriname,14
Swaziland,237
Sweden,3
Switzerland,0
Syria,449
Tajikistan,2249
Thailand,266
"Macedonia, FYR",9
Togo,2223
Tonga,4
Trinidad and Tobago,0
Tunisia,167
Turkey,389
Turkmenistan,665
Uganda,29677
Ukraine,45
United Arab Emirates,4
United Kingdom,4
Tanzania,19185
United States,32
Uruguay,16
Uzbekistan,2493
Vanuatu,15
Venezuela,761
Vietnam,471
"Yemen, Rep.",11059
Zambia,10869
Zimbabwe,3158
