Gapminder name,2008
Afghanistan,12061
Albania,68
Algeria,645
Angola,4802
Argentina,649
Armenia,48
Australia,108
Austria,24
Azerbaijan,149
Bahamas,8
Bahrain,17
Bangladesh,4119
Barbados,2
Belarus,191
Belgium,54
Belize,15
Benin,859
Bhutan,41
Bolivia,392
Bosnia and Herzegovina,32
Botswana,71
Brazil,2672
Brunei,6
Bulgaria,42
Burkina Faso,2923
Burundi,1702
Cambodia,1095
Cameroon,1636
Canada,117
Cape Verde,10
Central African Rep.,292
Chad,1394
Chile,129
China,36316
Colombia,902
Comoros,39
"Congo, Rep.",223
Costa Rica,24
Cote d'Ivoire,993
Croatia,14
Cuba,53
Cyprus,4
Czech Rep.,48
"Korea, Dem. Rep.",431
"Congo, Dem. Rep.",10462
Denmark,12
Djibouti,51
Dominican Rep.,202
Ecuador,435
Egypt,2012
El Salvador,147
Equatorial Guinea,45
Eritrea,463
Estonia,15
Ethiopia,8054
Fiji,22
Finland,11
France,199
Gabon,28
Gambia,172
Georgia,55
Germany,160
Ghana,1036
Greece,30
Grenada,1
Guatemala,762
Guinea,739
Guinea-Bissau,242
Guyana,37
Haiti,460
Honduras,232
Hungary,33
Iceland,0
India,48911
Indonesia,3487
Iran,1652
Iraq,2032
Ireland,18
Israel,28
Italy,103
Jamaica,80
Japan,359
Jordan,139
Kazakhstan,567
Kenya,6411
Kuwait,25
Kyrgyzstan,126
Laos,276
Latvia,17
Lebanon,62
Lesotho,88
Liberia,278
Libya,177
Lithuania,36
Luxembourg,2
Madagascar,1370
Malawi,1299
Malaysia,297
Maldives,7
Mali,2314
Malta,4
Mauritania,294
Mauritius,11
Mexico,3120
"Micronesia, Fed. Sts.",4
Mongolia,97
Montenegro,4
Morocco,593
Mozambique,1916
Myanmar,27599
Namibia,34
Nepal,770
Netherlands,47
New Zealand,28
Nicaragua,169
Niger,1989
Nigeria,15138
Norway,18
Oman,48
Pakistan,7441
Panama,74
Papua New Guinea,416
Paraguay,160
Peru,798
Philippines,3091
Poland,140
Portugal,30
Qatar,13
"Korea, Rep.",288
Moldova,107
Romania,215
Russia,2025
Rwanda,1666
Saint Lucia,1
Saint Vincent and the Grenadines,2
Samoa,6
Sao Tome and Principe,14
Saudi Arabia,880
Senegal,804
Serbia,26
Sierra Leone,1045
Singapore,5
Slovak Republic,31
Slovenia,3
Solomon Islands,16
Somalia,1808
South Africa,1258
Spain,133
Sri Lanka,990
Sudan,3650
Suriname,20
Swaziland,25
Sweden,10
Switzerland,18
Syria,684
Tajikistan,355
Thailand,599
"Macedonia, FYR",7
Togo,316
Tonga,4
Trinidad and Tobago,55
Tunisia,192
Turkey,1410
Turkmenistan,150
Uganda,6586
Ukraine,864
United Arab Emirates,33
United Kingdom,167
Tanzania,5733
United States,3835
Uruguay,74
Uzbekistan,515
Vanuatu,8
Venezuela,984
Vietnam,908
"Yemen, Rep.",1358
Zambia,2262
Zimbabwe,631
