Gapminder name,2008
Afghanistan,7557
Albania,7
Algeria,317
Angola,2685
Argentina,83
Armenia,65
Australia,12
Austria,7
Azerbaijan,172
Bahamas,1
Bahrain,0
Bangladesh,3912
Barbados,0
Belarus,25
Belgium,20
Belize,1
Benin,1007
Bhutan,44
Bolivia,359
Bosnia and Herzegovina,3
Botswana,139
Brazil,928
Brunei,1
Bulgaria,13
Burkina Faso,1407
Burundi,1025
Cambodia,1153
Cameroon,2405
Canada,15
Cape Verde,13
Central African Rep.,482
Chad,1532
Chile,25
China,7443
Colombia,264
Comoros,89
"Congo, Rep.",306
Costa Rica,5
Cote d'Ivoire,1922
Croatia,1
Cuba,10
Cyprus,0
Czech Rep.,8
"Korea, Dem. Rep.",634
"Congo, Dem. Rep.",10612
Denmark,1
Djibouti,35
Dominican Rep.,77
Ecuador,154
Egypt,1843
El Salvador,100
Equatorial Guinea,61
Eritrea,190
Estonia,1
Ethiopia,6797
Fiji,2
Finland,2
France,35
Gabon,73
Gambia,67
Georgia,26
Germany,47
Ghana,594
Greece,2
Grenada,0
Guatemala,502
Guinea,1016
Guinea-Bissau,355
Guyana,11
Haiti,490
Honduras,141
Hungary,13
Iceland,1
India,29875
Indonesia,3031
Iran,449
Iraq,973
Ireland,10
Israel,7
Italy,20
Jamaica,25
Japan,13
Jordan,45
Kazakhstan,203
Kenya,3674
Kuwait,0
Kyrgyzstan,162
Laos,436
Latvia,1
Lebanon,25
Lesotho,125
Liberia,347
Libya,10
Lithuania,4
Luxembourg,0
Madagascar,2004
Malawi,1590
Malaysia,13
Maldives,4
Mali,1062
Malta,1
Mauritania,274
Mauritius,4
Mexico,129
"Micronesia, Fed. Sts.",5
Mongolia,74
Montenegro,0
Morocco,319
Mozambique,2590
Myanmar,1971
Namibia,50
Nepal,785
Netherlands,13
New Zealand,7
Nicaragua,103
Niger,2835
Nigeria,17637
Norway,4
Oman,4
Pakistan,6218
Panama,19
Papua New Guinea,658
Paraguay,74
Peru,461
Philippines,2481
Poland,18
Portugal,5
Qatar,0
"Korea, Rep.",12
Moldova,13
Romania,15
Russia,279
Rwanda,1155
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,3
Sao Tome and Principe,18
Saudi Arabia,47
Senegal,461
Serbia,9
Sierra Leone,621
Singapore,1
Slovak Republic,4
Slovenia,0
Solomon Islands,26
Somalia,1317
South Africa,607
Spain,47
Sri Lanka,33
Sudan,2481
Suriname,7
Swaziland,63
Sweden,5
Switzerland,1
Syria,128
Tajikistan,374
Thailand,37
"Macedonia, FYR",0
Togo,375
Tonga,0
Trinidad and Tobago,0
Tunisia,152
Turkey,706
Turkmenistan,127
Uganda,4101
Ukraine,152
United Arab Emirates,4
United Kingdom,69
Tanzania,5414
United States,161
Uruguay,7
Uzbekistan,630
Vanuatu,9
Venezuela,105
Vietnam,715
"Yemen, Rep.",1124
Zambia,1528
Zimbabwe,796
