Gapminder name,2008
Afghanistan,72716
Albania,106
Algeria,3704
Angola,29910
Argentina,636
Armenia,122
Australia,30
Austria,3
Azerbaijan,1073
Bahamas,5
Bahrain,2
Bangladesh,19901
Barbados,1
Belarus,10
Belgium,5
Belize,15
Benin,5607
Bhutan,227
Bolivia,2268
Bosnia and Herzegovina,49
Botswana,102
Brazil,5183
Brunei,1
Bulgaria,148
Burkina Faso,19432
Burundi,6714
Cambodia,8537
Cameroon,14358
Canada,8
Cape Verde,32
Central African Rep.,4284
Chad,16377
Chile,105
China,56359
Colombia,1758
Comoros,428
"Congo, Rep.",2175
Costa Rica,26
Cote d'Ivoire,9031
Croatia,5
Cuba,42
Cyprus,1
Czech Rep.,20
"Korea, Dem. Rep.",3017
"Congo, Dem. Rep.",88119
Denmark,3
Djibouti,347
Dominican Rep.,916
Ecuador,851
Egypt,2958
El Salvador,230
Equatorial Guinea,352
Eritrea,1730
Estonia,1
Ethiopia,39493
Fiji,28
Finland,5
France,49
Gabon,240
Gambia,707
Georgia,213
Germany,40
Ghana,4109
Greece,27
Grenada,1
Guatemala,2679
Guinea,6677
Guinea-Bissau,1968
Guyana,121
Haiti,3505
Honduras,828
Hungary,34
Iceland,0
India,203588
Indonesia,30665
Iran,5130
Iraq,5675
Ireland,0
Israel,10
Italy,30
Jamaica,329
Japan,216
Jordan,185
Kazakhstan,1300
Kenya,28166
Kuwait,18
Kyrgyzstan,842
Laos,2636
Latvia,7
Lebanon,38
Lesotho,508
Liberia,2848
Libya,132
Lithuania,9
Luxembourg,0
Madagascar,13311
Malawi,6243
Malaysia,98
Maldives,18
Mali,13633
Malta,2
Mauritania,1791
Mauritius,19
Mexico,3896
"Micronesia, Fed. Sts.",28
Mongolia,492
Montenegro,3
Morocco,2208
Mozambique,14073
Myanmar,14311
Namibia,230
Nepal,3827
Netherlands,12
New Zealand,10
Nicaragua,572
Niger,22512
Nigeria,161374
Norway,0
Oman,23
Pakistan,52221
Panama,192
Papua New Guinea,2782
Paraguay,530
Peru,1472
Philippines,13545
Poland,99
Portugal,9
Qatar,4
"Korea, Rep.",78
Moldova,120
Romania,697
Russia,866
Rwanda,5569
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,16
Sao Tome and Principe,114
Saudi Arabia,743
Senegal,6302
Serbia,40
Sierra Leone,6979
Singapore,12
Slovak Republic,42
Slovenia,0
Solomon Islands,114
Somalia,13048
South Africa,4126
Spain,33
Sri Lanka,369
Sudan,13120
Suriname,24
Swaziland,265
Sweden,8
Switzerland,3
Syria,784
Tajikistan,2336
Thailand,478
"Macedonia, FYR",14
Togo,1927
Tonga,6
Trinidad and Tobago,17
Tunisia,235
Turkey,2497
Turkmenistan,1092
Uganda,23541
Ukraine,56
United Arab Emirates,8
United Kingdom,114
Tanzania,22019
United States,786
Uruguay,48
Uzbekistan,3493
Vanuatu,44
Venezuela,790
Vietnam,980
"Yemen, Rep.",7390
Zambia,10198
Zimbabwe,4286
