Gapminder name,2008
Afghanistan,16084
Albania,23
Algeria,3805
Angola,9483
Argentina,492
Armenia,100
Australia,104
Austria,26
Azerbaijan,606
Bahamas,7
Bahrain,9
Bangladesh,32214
Barbados,4
Belarus,60
Belgium,35
Belize,12
Benin,2457
Bhutan,128
Bolivia,1775
Bosnia and Herzegovina,38
Botswana,142
Brazil,4569
Brunei,3
Bulgaria,56
Burkina Faso,5845
Burundi,3337
Cambodia,3220
Cameroon,5753
Canada,209
Cape Verde,39
Central African Rep.,1852
Chad,6308
Chile,86
China,59591
Colombia,1236
Comoros,214
"Congo, Rep.",995
Costa Rica,67
Cote d'Ivoire,6941
Croatia,16
Cuba,42
Cyprus,1
Czech Rep.,42
"Korea, Dem. Rep.",2119
"Congo, Dem. Rep.",35865
Denmark,21
Djibouti,201
Dominican Rep.,784
Ecuador,456
Egypt,2220
El Salvador,142
Equatorial Guinea,255
Eritrea,681
Estonia,7
Ethiopia,36113
Fiji,23
Finland,11
France,288
Gabon,248
Gambia,484
Georgia,200
Germany,150
Ghana,6176
Greece,15
Grenada,4
Guatemala,612
Guinea,4388
Guinea-Bissau,740
Guyana,70
Haiti,1899
Honduras,665
Hungary,24
Iceland,1
India,189447
Indonesia,17428
Iran,3814
Iraq,4908
Ireland,12
Israel,34
Italy,131
Jamaica,67
Japan,130
Jordan,164
Kazakhstan,0
Kenya,14508
Kuwait,13
Kyrgyzstan,541
Laos,1077
Latvia,44
Lebanon,44
Lesotho,596
Liberia,1648
Libya,119
Lithuania,14
Luxembourg,1
Madagascar,6312
Malawi,4533
Malaysia,248
Maldives,17
Mali,6803
Malta,2
Mauritania,1163
Mauritius,35
Mexico,2049
"Micronesia, Fed. Sts.",8
Mongolia,103
Montenegro,6
Morocco,3423
Mozambique,9358
Myanmar,13109
Namibia,202
Nepal,6558
Netherlands,93
New Zealand,35
Nicaragua,268
Niger,6789
Nigeria,84990
Norway,26
Oman,36
Pakistan,67275
Panama,82
Papua New Guinea,1585
Paraguay,498
Peru,1163
Philippines,4746
Poland,144
Portugal,30
Qatar,4
"Korea, Rep.",91
Moldova,51
Romania,96
Russia,1069
Rwanda,4239
Saint Lucia,8
Saint Vincent and the Grenadines,2
Samoa,8
Sao Tome and Principe,40
Saudi Arabia,602
Senegal,3749
Serbia,90
Sierra Leone,2446
Singapore,1
Slovak Republic,14
Slovenia,4
Solomon Islands,34
Somalia,6382
South Africa,4927
Spain,107
Sri Lanka,448
Sudan,9528
Suriname,22
Swaziland,129
Sweden,29
Switzerland,26
Syria,394
Tajikistan,1096
Thailand,1476
"Macedonia, FYR",20
Togo,1712
Tonga,4
Trinidad and Tobago,45
Tunisia,172
Turkey,2972
Turkmenistan,535
Uganda,12742
Ukraine,416
United Arab Emirates,21
United Kingdom,258
Tanzania,16958
United States,1361
Uruguay,28
Uzbekistan,2131
Vanuatu,16
Venezuela,897
Vietnam,1985
"Yemen, Rep.",6598
Zambia,5440
Zimbabwe,2912
