Gapminder name,2008
Afghanistan,12977
Albania,4
Algeria,1708
Angola,7628
Argentina,593
Armenia,22
Australia,20
Austria,1
Azerbaijan,281
Bahamas,7
Bahrain,2
Bangladesh,29464
Barbados,2
Belarus,25
Belgium,13
Belize,5
Benin,964
Bhutan,87
Bolivia,1169
Bosnia and Herzegovina,6
Botswana,59
Brazil,4379
Brunei,1
Bulgaria,16
Burkina Faso,3109
Burundi,2726
Cambodia,2443
Cameroon,3511
Canada,41
Cape Verde,16
Central African Rep.,1113
Chad,2879
Chile,63
China,5870
Colombia,1252
Comoros,129
"Congo, Rep.",581
Costa Rica,43
Cote d'Ivoire,4591
Croatia,11
Cuba,65
Cyprus,0
Czech Rep.,10
"Korea, Dem. Rep.",1277
"Congo, Dem. Rep.",23497
Denmark,0
Djibouti,141
Dominican Rep.,322
Ecuador,116
Egypt,597
El Salvador,26
Equatorial Guinea,153
Eritrea,413
Estonia,4
Ethiopia,28681
Fiji,4
Finland,6
France,84
Gabon,128
Gambia,291
Georgia,89
Germany,47
Ghana,4923
Greece,0
Grenada,1
Guatemala,145
Guinea,3433
Guinea-Bissau,617
Guyana,54
Haiti,1126
Honduras,325
Hungary,4
Iceland,1
India,121395
Indonesia,8633
Iran,1760
Iraq,1951
Ireland,5
Israel,10
Italy,62
Jamaica,15
Japan,65
Jordan,48
Kazakhstan,0
Kenya,11479
Kuwait,9
Kyrgyzstan,186
Laos,563
Latvia,3
Lebanon,9
Lesotho,475
Liberia,1238
Libya,27
Lithuania,9
Luxembourg,0
Madagascar,4646
Malawi,3321
Malaysia,39
Maldives,8
Mali,3944
Malta,0
Mauritania,789
Mauritius,15
Mexico,1771
"Micronesia, Fed. Sts.",3
Mongolia,30
Montenegro,1
Morocco,1912
Mozambique,6176
Myanmar,10803
Namibia,94
Nepal,5304
Netherlands,53
New Zealand,12
Nicaragua,62
Niger,3062
Nigeria,62221
Norway,6
Oman,8
Pakistan,56337
Panama,85
Papua New Guinea,869
Paraguay,197
Peru,273
Philippines,1269
Poland,108
Portugal,5
Qatar,1
"Korea, Rep.",85
Moldova,46
Romania,11
Russia,448
Rwanda,3471
Saint Lucia,1
Saint Vincent and the Grenadines,3
Samoa,2
Sao Tome and Principe,26
Saudi Arabia,161
Senegal,2395
Serbia,11
Sierra Leone,1562
Singapore,3
Slovak Republic,3
Slovenia,7
Solomon Islands,9
Somalia,4139
South Africa,1720
Spain,90
Sri Lanka,92
Sudan,2510
Suriname,15
Swaziland,73
Sweden,11
Switzerland,10
Syria,90
Tajikistan,612
Thailand,330
"Macedonia, FYR",6
Togo,950
Tonga,1
Trinidad and Tobago,50
Tunisia,43
Turkey,552
Turkmenistan,311
Uganda,9713
Ukraine,173
United Arab Emirates,5
United Kingdom,39
Tanzania,13138
United States,911
Uruguay,45
Uzbekistan,956
Vanuatu,3
Venezuela,869
Vietnam,366
"Yemen, Rep.",3001
Zambia,4486
Zimbabwe,1546
