Estimated ART Coverage (CD4 < 350),2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,
Afghanistan,,,,,,1,3,6
Akrotiri and Dhekelia,,,,,,,,
Albania,,,,,,,,
Algeria,0,12,15,21,21,25,,
American Samoa,,,,,,,,
Andorra,,,,,,,,
Angola,5,4,9,15,17,27,32,36
Anguilla,,,,,,,,
Antigua and Barbuda,,,,,,,,
Argentina,66,63,69,71,70,81,77,79
Armenia,0,5,7,11,14,12,16,22
Aruba,,,,,,,,
Australia,,,,,,,,
Austria,,,,,,,,
Azerbaijan,0,0,1,9,16,11,19,28
Bahamas,,,,,,,,
Bahrain,,,,,,,,
Bangladesh,1,1,8,18,23,22,24,31
Barbados,,,,,,,,
Belarus,1,4,16,19,24,28,36,40
Belgium,,,,,,,,
Belize,11,10,24,29,31,45,51,62
Benin,8,19,30,36,44,53,58,61
Bermuda,,,,,,,,
Bhutan,10,8,21,15,19,19,27,24
Bolivia,2,5,7,8,13,13,15,15
Bosnia and Herzegovina,,,,,,,,
Botswana,29,45,56,61,72,90,93,92
Brazil,61,65,62,61,62,64,67,71
British Virgin Islands,,,,,,,,
Brunei,,,,,,,,
Bulgaria,12,21,19,19,20,26,23,25
Burkina Faso,4,12,22,27,35,44,50,57
Burundi,4,8,9,12,16,35,45,54
Cambodia,12,29,49,65,80,91,92,92
Cameroon,6,10,12,18,23,33,36,41
Canada,,,,,,,,
Cape Verde,,,,,,44,41,46
Cayman Islands,,,,,,,,
Central African Republic,1,2,3,12,14,23,24,22
Chad,0,8,7,9,21,39,36,34
Channel Islands,,,,,,,,
Chile,49,50,50,59,58,59,57,66
China,,,,,,,,
Christmas Island,,,,,,,,
Cocos Island,,,,,,,,
Colombia,12,13,17,21,18,25,45,46
Comoros,95,95,11,13,13,15,19,19
"Congo, Dem. Rep.",,,,,,,,
"Congo, Rep.",1,9,10,15,28,24,41,44
Cook Is,,,,,,,,
Costa Rica,95,95,95,84,73,68,68,73
Cote d'Ivoire,2,6,13,14,19,37,37,41
Croatia,61,65,69,69,78,,,
Cuba,95,95,83,95,95,92,92,92
Cyprus,,,,,,,,
Czech Republic,,,,,,,,
Czechoslovakia,,,,,,,,
Denmark,,,,,,,,
Djibouti,4,6,10,11,13,19,20,27
Dominica,,,,,,,,
Dominican Republic,4,10,19,31,40,60,70,80
East Germany,,,,,,,,
Ecuador,6,9,10,18,21,36,57,68
Egypt,4,13,10,9,10,10,15,21
El Salvador,17,23,35,40,47,92,68,72
Equatorial Guinea,0,0,10,20,15,,,
Eritrea,0,4,9,10,32,43,43,49
Eritrea and Ethiopia,,,,,,,,
Estonia,,,,,,,,
Ethiopia,,,,,,36,47,56
Faeroe Islands,,,,,,,,
Falkland Is (Malvinas),,,,,,,,
Fiji,0,0,0,22,26,93,83,87
Finland,,,,,,,,
France,,,,,,,,
French Guiana,,,,,,,,
French Polynesia,,,,,,,,
