Annual number of AIDS deaths,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,60,60,60,60,60,150,150,150,150,150,150,150,150,150,350,350,350,350,350,350,350,350
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,
Algeria,60,60,60,60,60,60,60,60,120,120,120,300,300,300,300,600,600,600,600,600,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Angola,600,1200,1800,2500,3300,4300,5300,6300,7300,8200,9200,10000,11000,12000,12000,13000,13000,13000,12000,11000,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Argentina,3000,3200,3400,3600,3800,3500,3200,3100,3000,3000,2700,2800,2800,2900,3100,3200,3200,3200,3000,2900,,
Armenia,60,60,60,60,60,60,60,60,60,150,150,150,350,350,350,350,350,350,350,350,350,350
Aruba,,,,,,,,,,,,,,,,,,,,,,
Australia,350,600,600,600,600,600,600,350,350,350,150,150,150,150,150,150,150,150,150,150,150,150
Austria,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Azerbaijan,60,60,60,60,60,60,60,60,60,60,150,150,150,350,350,350,350,350,350,350,350,350
Bahamas,350,350,600,600,600,600,600,600,600,600,600,600,600,600,600,600,350,350,350,350,350,350
Bahrain,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,120,120,,
Barbados,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Belarus,60,60,60,60,60,60,60,60,60,60,60,60,150,300,300,300,300,600,600,1000,,
Belgium,60,60,60,60,60,60,150,150,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Belize,60,60,60,60,60,150,150,150,150,150,350,350,350,350,350,350,350,350,350,350,350,350
Benin,120,300,300,300,600,600,1300,1700,2200,2600,3000,3100,3300,3500,3600,3700,3500,3200,3100,2700,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Bhutan,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Bolivia,1500,1700,1800,2000,2100,2100,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200,2100,2100,2000,1900,1700,1600
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,
Botswana,600,600,1300,2000,2900,4100,5500,7100,9000,11000,13000,15000,16000,17000,15000,12000,10000,9200,7900,5800,,
Brazil,4600,5700,7000,8400,10000,12000,13000,13000,11000,10000,10000,11000,12000,12000,13000,13000,12000,14000,14000,14000,15000,15000
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,60,60,60,60,60,60,60,60,60,60,60,60,60,150,150,150,150,150,150,350,350,350
Burkina Faso,6700,8500,10000,12000,13000,14000,15000,15000,15000,15000,15000,15000,14000,14000,13000,12000,10000,9300,8300,7100,,
Burundi,3900,4900,6000,7300,8600,9800,11000,12000,12000,13000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,,
Cambodia,350,600,1100,1700,2400,3200,4100,4900,5700,6400,6900,7300,7600,7600,7200,6200,4800,3000,2300,1800,1500,1400
Cameroon,600,1300,2100,3500,5600,8400,12000,16000,20000,24000,27000,31000,33000,35000,36000,38000,39000,38000,37000,37000,,
Canada,1300,1600,1900,2100,2300,2500,2300,600,350,350,350,350,350,350,350,350,350,350,600,350,350,350
Cape Verde,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,1000,1600,2500,3700,5200,6900,8600,10000,12000,13000,14000,15000,15000,16000,16000,15000,15000,14000,12000,11000,,
Chad,1400,1700,2100,2600,3200,3800,4500,5200,6100,7000,7900,8900,10000,11000,12000,13000,13000,13000,13000,11000,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
