HIV Incidence % (Ages 15-49),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.06,,,,,,,,,,,,,,,,,,,,,0.06
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Angola,0.14,0.16,0.17,0.18,0.2,0.21,0.22,0.23,0.24,0.24,0.25,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.22,0.21
Anguilla,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Armenia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Aruba,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,0.06
Austria,,,,,,,,,,,,,,,,,,,,,,0.06
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,0.06
Bahamas,0.55,0.49,0.45,0.45,0.45,0.44,0.44,0.43,0.4,0.39,0.38,0.37,0.35,0.33,0.3,0.29,0.27,0.26,0.24,0.23,0.2,0.18
Bahrain,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Barbados,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Belarus,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Belgium,,,,,,,,,,,,,,,,,,,,,,0.06
Belize,0.24,0.26,0.28,0.3,0.31,0.32,0.33,0.33,0.33,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.24,0.24,0.23,0.18,0.15
Benin,0.06,0.11,0.13,0.17,0.2,0.22,0.22,0.2,0.18,0.15,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.06,0.06
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,0.06
Bolivia,,,,,,,,,,,,,,,,,,,,,,0.06
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,
Botswana,2.35,2.9,3.23,4.19,4.64,4.8,4.86,4.78,4.51,4.1,3.78,3.48,3.06,2.7,2.19,2,1.88,1.78,1.65,1.15,1.07,1
Brazil,,,,,,,,,,,,,,,,,,,,,,0.06
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,0.06
Burkina Faso,0.36,0.34,0.31,0.29,0.27,0.24,0.24,0.22,0.2,0.18,0.16,0.15,0.14,0.13,0.12,0.1,0.1,0.06,0.06,0.06,0.06,0.06
Burundi,0.56,0.68,0.87,1.03,1.04,0.85,0.52,0.33,0.19,0.13,0.1,0.06,0.06,0.11,0.12,0.11,0.06,0.06,0.06,0.06,0.06,0.06
Cambodia,0.19,0.22,0.24,0.24,0.22,0.19,0.16,0.14,0.12,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Cameroon,0.35,0.43,0.52,0.6,0.68,0.73,0.76,0.78,0.78,0.74,0.68,0.63,0.61,0.6,0.56,0.52,0.48,0.44,0.41,0.39,0.38,0.36
Canada,,,,,,,,,,,,,,,,,,,,,,0.06
Cape Verde,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,1.53,1.99,2.17,2,1.67,1.37,1.15,0.98,0.85,0.74,0.64,0.56,0.49,0.43,0.37,0.32,0.27,0.23,0.2,0.17,,
Chad,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,0.06
China,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,0.06
Comoros,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",0.56,0.41,0.36,0.35,0.36,0.38,0.4,0.41,0.43,0.43,0.43,0.43,0.41,0.4,0.38,0.34,0.31,0.3,0.3,0.28,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,0.06
Cote d'Ivoire,1.03,1.3,1.46,1.46,1.3,1.08,0.88,0.72,0.6,0.51,0.45,0.39,0.34,0.3,0.26,0.22,0.19,0.16,0.13,0.11,,
Croatia,,,,,,,,,,,,,,,,,,,,,,0.06
Cuba,,,,,,,,,,,,,,,,,,,,,,0.06
Cyprus,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,0.06
Djibouti,0.3,0.35,0.4,0.44,0.45,0.45,0.43,0.39,0.36,0.33,0.3,0.29,0.27,0.26,0.25,0.25,0.24,0.25,0.25,0.25,,
Dominica,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,0.14,0.15,0.15,0.16,0.16,0.15,0.13,0.12,0.11,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
East Germany,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,0.06
Egypt,,,,,,,,,,,,,,,,,,,,,,0.06
El Salvador,,,,,,,,,,,,,,,,,,,,,,0.06
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,0.56
Eritrea,0.13,0.17,0.2,0.22,0.21,0.2,0.18,0.16,0.14,0.12,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,0.06
Ethiopia,0.36,0.44,0.52,0.55,0.56,0.56,0.54,0.51,0.46,0.41,0.35,0.29,0.22,0.16,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,0.06
Finland,,,,,,,,,,,,,,,,,,,,,,0.06
France,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
French Guiana,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,
Gabon,0.3,0.36,0.43,0.5,0.57,0.65,0.71,0.76,0.79,0.8,0.78,0.74,0.69,0.63,0.57,0.51,0.46,0.43,0.42,0.4,0.37,0.34
Gambia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.11,0.13,0.14,0.16,0.18,0.19,0.2,0.2,0.2,0.18,0.17,0.16,0.15,0.15,0.14
Georgia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Germany,,,,,,,,,,,,,,,,,,,,,,0.06
Ghana,0.24,0.27,0.28,0.3,0.3,0.3,0.29,0.29,0.28,0.26,0.24,0.24,0.22,0.2,0.17,0.15,0.13,0.12,0.11,0.1,0.06,0.06
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,0.06
Greenland,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,0.12
Guernsey,,,,,,,,,,,,,,,,,,,,,,
Guinea,0.31,0.31,0.29,0.26,0.23,0.2,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.11,0.1,0.1,,0.06
Guinea-Bissau,0.06,0.06,0.06,0.11,0.12,0.14,0.16,0.18,0.2,0.22,0.23,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.31,0.31,0.31,0.31
Guyana,,,,,,,,,,,,,,,,,,,,,,0.06
Haiti,0.53,0.48,0.41,0.34,0.29,0.28,0.26,0.27,0.26,0.25,0.23,0.22,0.22,0.2,0.2,0.19,0.17,0.15,0.13,0.12,0.11,0.1
Holy See,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,0.06
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,0.06
Iceland,,,,,,,,,,,,,,,,,,,,,,0.06
India,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,
Indonesia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Iran,,,,,,,,,,,,,,,,,,,,,,0.06
Iraq,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,0.06
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,0.06
Italy,,,,,,,,,,,,,,,,,,,,,,0.06
Jamaica,0.3,0.36,0.4,0.42,0.42,0.39,0.35,0.31,0.27,0.24,0.22,0.2,0.18,0.2,0.19,0.16,0.16,0.16,0.15,0.14,0.13,0.13
Japan,,,,,,,,,,,,,,,,,,,,,,0.06
Jersey,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Kenya,1.07,1.53,1.99,2.24,2.15,1.8,1.4,1.07,0.84,0.7,0.72,0.66,0.61,0.58,0.55,0.53,0.52,0.53,0.54,0.5,0.47,0.45
Kiribati,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,0.06
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1
Lao,,,,,,,,,,,,,,,,,,,,,,0.06
Latvia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Lebanon,,,,,,,,,,,,,,,,,,,,,,0.06
Lesotho,0.43,0.83,1.53,2.64,4.08,5.39,5.87,5.34,4.33,3.44,2.9,2.67,2.63,2.68,2.77,2.85,2.89,2.88,2.82,2.67,2.58,2.47
Liberia,,,,,,,,,,,,,,,,,,,,,,0.06
Libya,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Luxembourg,,,,,,,,,,,,,,,,,,,,,,0.06
"Macao, China",,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,
Malawi,1.78,1.85,1.86,1.83,1.77,1.76,1.85,1.9,1.88,1.85,1.8,1.74,1.67,1.58,1.42,1.26,1.07,0.89,0.75,0.63,0.55,0.49
Malaysia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,
Maldives,,,,,,,,,,,,,,,,,,,,,,0.06
Mali,0.25,0.26,0.27,0.27,0.27,0.27,0.26,0.25,0.23,0.21,0.19,0.18,0.16,0.16,0.15,0.14,0.14,0.12,0.11,0.11,0.1,0.1
Malta,,,,,,,,,,,,,,,,,,,,,,0.06
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,0.2
Mauritius,,,,,,,,,,,,,,,,,,,,,,0.06
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,
Moldova,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.12,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Monaco,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,0.06
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,0.06
Mozambique,0.39,0.51,0.64,0.78,0.93,1.06,1.2,1.34,1.48,1.63,1.74,1.77,1.74,1.65,1.55,1.45,1.36,1.28,1.22,1.19,,
Myanmar,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.11,0.12,0.11,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Namibia,0.56,0.74,0.97,1.28,1.64,2.07,2.5,2.71,2.72,2.64,2.53,2.39,1.94,1.56,1.36,1.17,1.01,0.91,0.86,0.84,0.84,0.77
Nauru,,,,,,,,,,,,,,,,,,,,,,
Nepal,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Netherlands,,,,,,,,,,,,,,,,,,,,,,0.06
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,0.06
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,0.06
Niger,0.06,0.06,0.06,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.06
Nigeria,0.21,0.29,0.37,0.46,0.53,0.58,0.6,0.58,0.56,0.53,0.47,0.42,0.4,0.37,0.35,0.35,0.38,0.39,0.39,0.41,0.42,0.36
Niue,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,0.06
Oman,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,0.06
Palau,,,,,,,,,,,,,,,,,,,,,,
Panama,0.06,0.06,0.11,0.43,0.65,0.38,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Papua New Guinea,0.06,0.06,0.06,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Paraguay,,,,,,,,,,,,,,,,,,,,,,0.06
Peru,,,,,,,,,,,,,,,,,,,,,,0.06
Philippines,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Pitcairn,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,0.06
Portugal,,,,,,,,,,,,,,,,,,,,,,0.06
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,
