People living with HIV,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,600,600,1000,1100,1200,1300,1400,1500,1600,1800,1900,2000,2200,2400,2700,2900,3200,3600,4100,4600,5200,5800
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,1025,,,,,,,,,,,33000,39000,46000,54000,62000,71000,80000,89000,99000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2710,,,,,,,,,,,27000,31000,35000,39000,43000,47000,51000,54000,58000,61000,64000,66000,68000,71000,74000,77000,80000,83000,86000,90000,92000,95000
Armenia,,,,,,,,,,,,350,600,600,600,1000,1300,1600,2000,2400,2800,3200,3500,3700,3800,3800,3800,3800,3700,3600,3600,3500,3600
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,1380,,,,,,,12000,12000,12000,11000,11000,11000,11000,11000,11000,12000,12000,13000,14000,14000,15000,16000,17000,18000,19000,20000,21000,22000
Austria,,,400,,,,,,,,,600,600,1000,1300,1500,1900,2300,2800,3300,4000,4700,5500,6400,7500,8600,9900,11000,12000,14000,15000,16000,18000
Azerbaijan,,,,,,,,,,,,60,160,160,350,350,600,600,1200,1600,2000,2500,3000,3500,3900,4400,4800,5100,5400,5700,6000,6300,6700
Bahamas,10,,,,,,,,,,,5900,6200,6400,6500,6600,6600,6700,6700,6600,6600,6500,6500,6400,6300,6300,6300,6400,6400,6400,6300,6400,6500
