General government expenditure on health as percentage of total government expenditure,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,1.47488739,1.47488739,1.47488739,1.47488739,1.47488739,1.47488739,1.47488739,1.5776544,1.58695414
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,5.26241851,6.33552025,6.47541572,6.09961062,7.18532976,7.02732907,7.24097771,7.32178131,7.64318351,9.23147577,9.78465611,9.05526261,8.46242886,8.20619968,8.42292817,8.42292817
Algeria,10.02551953,10.07969136,9.75368911,9.61121601,9.43767063,8.95532052,9.50930015,8.73760033,9.14687789,7.80254242,8.13829967,8.07287684,8.21613727,7.842007,8.60368027,8.11711796
American Samoa,,,,,,,,,,,,,,,,
Andorra,23.56390609,23.83743034,23.23849591,28.70354938,20.77702145,19.0780762,19.23781887,19.99027288,21.97569102,22.69979118,22.00786746,22.74847803,21.25189523,21.25189523,21.25189523,21.25189523
Angola,5,2.68202854,3.57366627,3.15197921,1.76438314,3.25761321,6.05716959,3.7356871,4.82746215,4.12164679,4.38406445,6.06069024,5.7474461,6.40285628,10.05002574,7.18522406
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,12.89552239,12,12,12,11.84538653,12.06297281,9.36932849,8.81995744,9.83648151,10.61917987,10.19645495,8.75059783,9.67513144,10.06780462,7.95860505,16.74278221
Argentina,15.29528311,15.169567,15.01266535,14.94599591,15.05981848,14.70533033,14.30241784,15.26244835,14.78200722,15.17155133,14.33833711,14.45037413,13.9100895,13.79499365,14.65365404,14.65365404
Armenia,8.30391229,8.43477769,7.70730505,7.68096046,6.87297234,4.6110907,6.72993567,6.18669092,6.75745946,6.75837961,6.78854756,7.42182932,6.80621647,7.24278465,6.61776834,6.42164917
Aruba,,,,,,,,,,,,,,,,
Australia,13.08019881,13.59860055,14.5054543,14.5377609,15.41164343,15.1126915,15.37321651,16.27221468,15.91879845,16.51918252,16.71271433,16.8236961,17.19848471,16.83871631,16.83871631,16.83871631
Austria,12.49565166,12.4519001,13.83495722,14.05179983,14.44423046,14.64600552,14.84688412,15.01314532,15.03037147,14.53649787,15.73962131,15.74170456,16.01654977,16.22288282,16.19178427,16.19178427
Azerbaijan,6.93309678,8.42568381,6.59079327,5.88636106,5.71042613,5.35368344,5.57275542,5.15132003,4.80265595,5.92115217,5.15284585,4.27429355,4.56771056,3.0990188,4.53831434,4.21553629
Bahamas,14.24007303,13.90857302,13.7224165,13.83975026,14.41263574,14.52614379,13.55176259,14.64254953,14.95322073,15.17591958,14.67460375,16.47800253,15.6658676,15.20973062,15.24538419,14.20927035
Bahrain,11.26909176,11.59114944,11.192121,10.5112788,11.17834552,10.22909784,10.26242744,9.467871,9.64015541,9.43340352,10.04383279,9.48838303,9.81757092,10.85347658,11.40734616,11.40734616
Bangladesh,8.83539557,8.99574018,8.74422757,8.63923047,8.11502686,7.55683401,8.07417112,8.2264843,7.86052632,8.16888799,7.46088441,8.44249918,8.4057301,6.15166545,8.00689952,7.91926547
Barbados,13.48481044,12.35976227,11.35252194,11.72650762,11.87022643,11.65834649,11.93035231,12.36720458,12.33840663,12.36050233,11.82753929,12.45082349,9.52215562,9.68676383,7.78300541,9.280684
Belarus,11.50743436,11.45523432,12.11652223,10.10639099,9.96793146,10.08509937,10.12562744,9.82995307,10.30542091,10.78443505,10.48102407,9.45763539,9.08152343,6.96618091,8.39629426,9.94544196
Belgium,11.21885255,11.79632106,11.44124372,11.71447689,12.01889746,12.34436419,12.73108147,12.54563255,14.6799308,15.6278056,14.64127553,14.56966432,14.6699726,15.08293291,15.11858812,15.11858812
Belize,10.50289575,8.17013997,8.94773414,7.70627919,6.11404756,6.50624252,7.35602509,7.39083403,8.50126521,8.04553811,9.29538205,9.24643231,10.60906685,10.49642219,11.77305371,11.3547632
