Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,1.24262183,2.02644176,2.50918476,4.1096608,4.27234209,4.90801801,4.50335736,5.28358972,5.18291243
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,52.87919832,57.82017077,61.19819899,72.68183802,97.48026796,96.16914501,106.6173709,109.3051264,117.163233,150.9194468,163.4553144,177.6514905,188.8114123,220.9641136,243.5674874,225.381942
Algeria,144.8947799,140.0474461,145.827243,152.0506905,147.6004492,137.9177822,164.3370313,174.1718523,184.7892462,161.4431261,159.6393241,173.0918818,211.1242023,238.1369406,289.0610738,257.0526089
American Samoa,,,,,,,,,,,,,,,,
Andorra,946.4859299,1041.12111,1182.021924,1671.31019,1207.321175,1274.912,1343.584926,1481.158594,1526.308695,1610.047556,1712.185758,2007.292277,2109.767878,2248.626016,2385.127806,2281.096968
Angola,59.53714623,33.10358708,37.48401619,30.42741578,32.88222109,44.57177451,70.31752571,49.95780374,58.43523402,47.88302678,53.13505603,82.71817305,104.9769754,160.9303497,267.2390463,138.640325
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,333.5130089,322.4091915,348.1150665,369.601789,391.4900982,403.4567671,379.8320178,388.0052634,411.6710964,436.6950751,463.6515843,535.6991639,594.6120798,602.0898147,585.4551542,702.9734696
Argentina,387.2958454,383.1537557,410.109601,433.5087277,468.0459519,452.2673669,449.7589345,352.4865314,378.566173,421.5324085,496.4796723,566.8929891,667.814964,761.7628515,920.6871693,702.5579623
Armenia,27.66931946,24.59844298,22.75914543,29.18051546,30.16018893,23.12912015,36.39122872,35.86137254,46.53329542,48.56011216,60.56222508,75.86080669,90.24042879,102.2963861,106.4271575,96.92431883
Aruba,,,,,,,,,,,,,,,,
Australia,1050.153733,1109.587499,1206.754416,1288.328695,1426.123235,1505.317103,1573.243567,1701.817633,1757.273673,1907.698823,1978.657281,2089.244,2237.121183,2317.713614,2368.727825,2339.679504
Austria,1654.832922,1695.127603,1851.229879,1978.837025,2097.67092,2198.61391,2210.830851,2317.583084,2415.674097,2568.453098,2646.360668,2828.430075,2964.376913,3185.556074,3330.217684,3401.199292
Azerbaijan,20.75880448,22.60998594,19.98688477,16.27626607,19.18307297,18.98571908,20.63302981,21.45696398,25.24576878,35.0418355,38.70105101,52.03757231,74.95529977,74.36257811,128.0821963,117.4931171
Bahamas,477.3306692,498.0854956,527.9297631,577.5616827,623.3215651,649.9830309,667.756835,707.8809148,743.7117915,826.7634398,820.8887065,987.2556136,979.951115,1009.295285,976.7615034,906.6566521
Bahrain,571.5779731,576.9075286,606.7033539,617.2565226,633.0241181,550.6656938,622.0347446,683.5760669,719.922162,704.5592807,700.1924835,668.2857322,674.4969677,694.0318598,759.0650013,794.1467197
Bangladesh,4.11133195,4.15837703,3.92026286,3.81638089,3.87012092,3.85381493,4.10101761,4.31412232,4.32716755,4.88819512,4.58938706,5.25328818,5.66654969,5.77024294,6.80175942,8.07426409
Barbados,433.8255677,444.4241781,435.1929536,436.0725428,453.8998241,520.4655628,560.7793909,632.9775116,600.4354868,774.0587108,682.2779015,889.2681044,917.5391839,965.4076199,690.4122526,990.3576703
Belarus,164.7958889,169.404122,223.1478041,208.3604752,225.7551674,240.5762668,265.2431515,273.7047561,320.7910431,373.7027917,426.8212192,433.6252283,492.8936785,489.8998496,500.7785184,610.6996894
Belgium,1313.534348,1411.492884,1396.396625,1438.23916,1527.948036,1675.762107,1783.892178,1876.75488,2269.57455,2406.238112,2454.761771,2423.093066,2527.284295,2784.681616,2964.898679,3008.523803
Belize,101.7876805,79.54848678,90.38071278,88.2636417,89.72572099,103.8725587,134.8094856,133.4321048,153.8475673,156.5968385,171.9058524,184.0457153,214.153186,221.0489451,250.7315214,236.7268462
Benin,21.52854591,21.38426919,19.75991631,21.78679329,24.26721113,23.23221129,29.32986811,23.43293585,28.18837704,28.50319509,32.26046027,33.33992535,34,33,37,32
Bermuda,,,,,,,,,,,,,,,,
Bhutan,41.52794246,63.76473229,76.47704173,80.84829949,119.9346656,130.9722602,129.117087,191.3181084,112.3766019,103.0486123,123.144939,158.3850168,189.6380429,211.4608863,219.6016337,238.5659657
Bolivia,77.66489455,84.2350908,86.44540003,96.41072355,111.0228255,115.4393235,120.6407725,134.9442716,113.3203421,118.8090033,139.3263835,134.4883829,135.8688498,145.3331871,153.0500519,146.6042439
Bosnia and Herzegovina,71.20471409,127.0196729,125.7771598,135.4928895,201.0447281,181.5575655,204.5272749,222.2377227,293.0752186,301.4262884,316.6565166,370.4921492,435.3611849,519.0560588,572.8265861,597.1000866
Botswana,130.3265382,139.7651348,172.3071738,176.8667008,176.6179166,248.8517909,328.9054141,415.0475558,421.605789,709.9964472,656.3539782,607.3211411,790.7806034,805.4874449,984.9193843,830.1803989
Brazil,179.4799735,178.2940967,194.8779161,191.3259817,202.0960933,202.4235986,220.1859255,236.7712713,234.3551377,270.7438932,279.0598872,319.6424862,346.2205736,368.6899074,401.2684116,483.4933082
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei,955.5062614,1284.432796,1252.459554,1522.903195,1338.827297,1110.919932,1137.345686,1173.744852,1213.598442,1193.523455,1075.637744,988.9945833,1049.30862,1027.734143,1290.80963,1229.77354
Bulgaria,214.9650352,167.9601076,183.8954596,199.8594786,224.43775,234.5488627,294.9606082,352.0446314,387.6853789,395.1998591,438.3431553,434.7963508,489.9370509,569.0986151,550.5945582,516.248027
Burkina Faso,10.90640906,12.42225035,14.00084266,14.76922584,16.45789546,15.61852627,15.02671142,18.51406791,23.14196518,30.94434855,41.48337946,40.14368407,44.09514213,47.75627147,44.16013287,47.18837801
Burundi,5.92157963,6.0748635,4.57833826,5.12638544,5.06993631,5.67359829,7.24396628,7.09420713,6.18907536,12.46072201,14.71958931,18.31474498,19.72514561,18.0692669,16.36619881,18.05005945
Cambodia,6.8777103,16.73037146,13.74685758,9.51497751,9.45495517,11.86402596,16.67024439,20.99379934,27.37265631,29.85675136,23.10388053,25.28808291,31.1250661,34.8455064,40.40400718,45.07574339
Cameroon,12.09672522,12.51625612,14.34639879,11.96633982,13.16254307,15.32005422,19.37913847,22.88188316,24.5351734,21.7004784,22.241759,22.27330361,22.70834329,22.87290104,30.21754867,36.00660909
Canada,1463.524479,1455.042966,1507.749724,1629.503113,1690.534703,1772.345336,1912.494909,1996.129126,2145.929801,2254.65469,2422.024391,2563.147815,2703.339989,2816.723549,3047.061937,3104.412862
Cape Verde,61.51347306,59.29725216,59.53282779,64.8557563,63.97151631,69.91016056,82.15619855,84.01221407,81.17264102,93.97569118,96.67887613,124.7438178,125.7811113,129.5294819,129.1625204,138.0872323
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,8.90418006,6.53286574,8.72293147,7.41566442,8.91168602,10.81594593,10.16668327,10.97261109,10.18126281,9.85672213,8.85072062,9.48093598,10.41350945,9.99258075,10.42433091,11.01868774
Chad,12.63635878,12.97897532,12.93779812,11.56562187,13.52368643,17.74371775,17.57128449,19.35226685,23.86806683,21.22716256,26.70822798,17.85871471,13.50664931,10.55572288,11.89584249,15.40084611
Channel Islands,,,,,,,,,,,,,,,,
Chile,191.3959524,219.7414023,239.592618,272.3993616,288.8758619,320.0036264,350.4089631,365.2119586,302.4765038,318.127882,337.377276,363.8261407,414.2575562,481.8961554,575.7922683,577.5917441
