General government expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,5.61902196,6.8264844,7.81085536,11.55125748,11.81261084,12.16097222,11.77191136,11.59552338,11.65591237
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,49.94693105,39.63700614,39.19938722,39.54352738,43.27586112,36.10012132,38.20281748,36.06065233,35.93587926,39.73379423,40.17073024,39.39546403,38.23002244,39.64283095,41.1790895,39.04233224
Algeria,75.37032373,77.64310218,74.35433867,73.76203459,72.84509568,73.33178231,77.43152342,77.33807097,78.6668001,71.05598189,72.07099276,74.35851066,77.31913111,79.53839737,79.29389092,77.89327707
American Samoa,,,,,,,,,,,,,,,,
Andorra,64.44444444,65.22742922,66.19426578,72.04343646,66.15193908,64.82142857,68.75,68.80733945,68.59504132,69.17293233,69.13978446,70.43010576,69.79341381,69.87189837,70.08123024,70.09001394
Angola,86.82230369,76.9028748,77.88336044,73.05098012,74.1998439,79.24416838,85.50658129,78.85037319,81.05724261,76.04026007,74.48840912,79.29759318,80.17673174,84.32704715,89.89211523,82.4599214
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,66.46153846,64.19019316,66.02475928,67.95366795,69.25880923,69.00584795,65.50829128,65.1789074,64.1769845,63.35282651,63.1391201,65.715825,66.36481906,67.88346006,67.09823059,70.96783312
Argentina,59.75751924,57.71520147,54.45524338,54.17352457,55.0644845,53.88377335,54.1915116,53.57071126,52.27199305,52.27917681,54.20979629,55.75949031,59.36244517,62.56747081,66.4423682,54.60243568
Armenia,30.96101812,27.89152592,24.29438975,28.46961164,28.29259826,18.13681745,26.73012769,25.16675282,27.25404132,25.38136829,30.41749167,37.98109692,41.57042186,44.52029373,43.45136917,40.63535832
Aruba,,,,,,,,,,,,,,,,
Australia,65.77695238,65.24623258,66.89323606,66.35580224,68.38936287,66.82198084,66.28208139,66.909811,66.11027154,66.68364523,66.88580695,66.5854955,67.50939169,67.99334124,67.99334124,67.99334124
Austria,73.94716732,73.53814986,75.67970775,76.01145968,76.74927532,76.83347479,76.09311277,75.79809715,75.52362104,75.69503828,76.1420331,75.98988504,76.38971024,77.16051629,77.65746843,77.51287402
Azerbaijan,23.75335445,23.95339473,22.38589749,16.46768572,18.25654809,18.54089385,18.90348092,17.72552425,12.65892325,13.01741885,11.29577838,14.19739834,19.59538767,19.26186675,23.13802509,20.28987415
Bahamas,39.8467433,40.10416667,41.80749449,44.91725768,46.74991995,47.60921123,47.50450992,47.09164572,46.66701332,47.1846258,44.2717586,47.20653451,44.96445542,45.22599118,46.82559056,45.59606223
Bahrain,69.64177501,69.2051839,70.09010175,68.81657887,69.24256274,67.53968038,66.98583316,66.55711726,66.93391508,67.21232864,69.03622045,69.97644827,70.70351475,71.22156614,70.08905204,73.32401592
Bangladesh,36.14019954,36.16876956,42.30332643,40.82268275,39.86527671,39.01668868,39.94132617,39.67519049,37.64582751,38.77574567,34.89657121,36.48803891,34.38976483,31.65854163,32.95447249,34.29511197
Barbados,67.95006958,68.33910527,65.20776046,65.38921179,65.41217162,65.79921027,67.55772816,68.3968907,65.58733614,64.55005153,64.39282599,64.76360785,64.00393691,65.49040321,58.57626616,65.00760992
Belarus,71.12414646,75.31958577,82.32477159,77.0384881,76.51320294,75.48652306,71.54893795,70.48626242,73.84350405,74.7397669,72.9375705,70.23097953,69.14584049,65.0773716,64.01669797,77.68539784
