Out-of-pocket expenditure as percentage of total health expenditure,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,88.67773454,87.57299873,86.63382109,83.11894708,82.87638562,82.56061714,82.91977622,83.09883062,83.04206584
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,49.96036406,60.27352053,60.70001277,60.37133395,56.64300889,63.81917269,61.6885918,63.82738802,60.44117915,56.15449524,56.50363447,56.86068297,57.81086063,58.25640673,58.69399772,60.82614469
Algeria,23.90070478,21.57109369,24.80409386,25.48150233,26.34073611,25.79451389,21.66852471,21.69126982,20.33912515,27.37471482,26.42585508,24.26281713,21.48079921,19.37895677,19.61052611,20.93703195
American Samoa,,,,,,,,,,,,,,,,
Andorra,26.66666667,26.06423913,25.18260111,18.66410271,25.12838675,26.57142857,21.875,22.01834862,22.31404959,21.80451128,22.0584341,21.67630591,22.57018725,22.51154403,22.35513246,22.34856934
Angola,13.17769631,23.0971252,22.11663956,26.94901988,25.8001561,20.75583162,14.49341871,21.14962681,18.94275739,23.95973993,25.51159088,20.70240682,19.82326826,15.67295285,10.10788477,17.5400786
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,29.23076923,31.20356612,29.5735901,27.92792793,26.73147023,26.9005848,29.99279019,30.32804839,31.33208353,32.16374269,32.01317113,30.20272559,29.63099273,28.55463163,29.25277465,25.81233322
Argentina,27.97854978,29.76190476,28.78961124,29.0618387,28.60321291,29.04519925,29.32275004,29.81493804,30.74069672,30.57089146,29.44202571,28.37771071,24.99650273,22.17639303,19.88096684,29.8789819
Armenia,65.93389786,69.10989178,71.47234113,67.51818046,67.07439987,77.12082014,69.61811684,68.63844778,69.12495362,71.48037031,66.61503143,57.70894988,54.88578148,51.82382337,52.51872181,55.14610174
Aruba,,,,,,,,,,,,,,,,
Australia,16.08770625,16.9505966,16.87209215,19.90329021,18.6101459,19.79610295,19.25333412,18.82028495,18.26493299,18.26297051,18.6195093,18.6572594,18.03500358,18.19018426,19.5351707,20.52498568
