Total expenditure on health as percentage of GDP (gross domestic product),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,5.7,6.8,6.4,6.6,6.8,7.3,7.0,7.6,7.6
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,2.6,4.0,4.8,5.3,5.8,6.4,6.0,6.3,6.2,6.9,6.8,6.7,6.9,6.7,6.9,6.5
Algeria,4.2,3.8,4.1,4.1,3.9,3.5,3.8,3.9,3.7,3.4,3.1,3.1,3.5,3.7,4.6,4.2
American Samoa,,,,,,,,,,,,,,,,
Andorra,7.6,8.0,8.0,9.8,7.4,7.6,6.8,7.0,7.1,7.1,7.2,7.4,7.6,7.5,7.5,7.5
Angola,3.8,2.2,2.3,1.9,1.9,2.4,3.4,2.4,2.6,2.1,2.0,2.4,2.5,3.2,4.9,2.9
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,4.9,4.6,4.6,4.6,4.7,4.8,4.6,4.6,4.7,4.7,4.7,4.5,4.4,4.3,4.8,6.0
Argentina,8.3,8.0,8.4,8.5,9.4,9.2,9.4,8.3,8.3,8.3,8.5,8.5,8.4,8.4,9.5,8.1
Armenia,6.4,5.8,5.8,5.8,5.7,6.3,6.0,5.4,5.6,5.5,4.9,4.2,3.9,3.8,4.6,4.4
Aruba,,,,,,,,,,,,,,,,
Australia,7.2,7.4,7.5,7.6,7.8,8.0,8.1,8.4,8.3,8.5,8.4,8.5,8.5,8.7,8.7,8.7
Austria,9.5,9.5,9.8,9.9,10.1,9.9,10.0,10.0,10.2,10.3,10.3,10.2,10.2,10.4,11.0,11.0
Azerbaijan,5.9,6.2,5.5,5.5,5.4,4.7,4.5,4.5,6.6,7.9,7.8,6.1,5.0,4.3,5.8,5.9
Bahamas,6.9,6.9,6.5,6.3,6.1,5.9,5.9,6.1,6.5,7.0,7.0,8.0,8.1,8.4,8.3,7.9
Bahrain,4.6,4.5,4.7,4.7,4.7,3.9,4.3,4.4,4.2,3.9,3.7,3.5,3.6,4.2,4.7,5.0
Bangladesh,3.5,3.5,2.8,2.7,2.8,2.8,3.0,3.1,3.0,3.1,3.2,3.4,3.5,3.3,3.4,3.5
Barbados,6.3,6.2,5.9,5.9,6.1,6.3,6.7,7.3,7.0,7.0,7.0,7.1,7.0,7.1,5.9,8.0
Belarus,6.7,6.2,6.6,6.0,6.2,6.1,6.6,6.5,6.6,6.6,6.9,6.3,6.4,5.9,6.1,5.6
Belgium,7.6,7.9,7.8,7.9,8.1,8.1,8.3,8.5,10.0,10.1,10.0,9.6,9.6,10.0,10.8,10.7
Belize,4.2,3.6,3.9,3.8,3.7,4.0,4.5,4.4,4.5,4.4,4.4,4.4,4.8,4.8,5.5,5.2
Benin,4.7,4.6,4.3,4.4,4.6,4.3,4.7,4.3,4.6,4.6,4.7,4.8,4.6,4.2,4.3,4.1
Bermuda,,,,,,,,,,,,,,,,
