Per capita total expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,22.11455733,29.68499802,32.12432754,35.57760535,36.16763603,40.35876347,38.25510762,45.56577175,44.46595221
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,105.87076564,145.874213,156.12029507,183.80211085,225.25321381,266.39562832,279.08248119,303.11466743,326.03413454,379.82641648,406.90152615,450.94402343,493.88255685,557.38732149,591.48342122,577.27581591
Algeria,192.24380734,180.37332641,196.12472607,206.13679023,202.62235616,188.07368077,212.23530682,225.20842595,234.90118564,227.20553827,221.50287926,232.78018918,273.05558053,299.39871622,364.54393951,330.00615533
American Samoa,,,,,,,,,,,,,,,,
Andorra,1468.68506364,1596.14003196,1785.68628243,2319.86461534,1825.07299341,1966.8063917,1954.30534719,2152.61715612,2225.10062814,2327.56874876,2476.41176741,2850.0486487,3022.87531602,3218.21228421,3403.37605102,3254.52491751
Angola,68.57356198,43.04596827,48.12840121,41.65230327,44.31575507,56.24612563,82.23639005,63.35772644,72.09131737,62.97062468,71.33332106,104.31359859,130.93197136,190.84072689,297.28863935,168.13055686
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,501.81355506,502.27172655,527.24927772,543.90263269,565.25675586,584.67039982,579.82281386,595.29267807,641.46219968,689.30638002,734.33330018,815.17528517,895.97483756,886.94626672,872.53441571,990.55225259
Argentina,648.11232179,663.8697362,753.11315408,800.2224909,849.99606583,839.33870771,829.9435119,657.98366894,724.22372075,806.31034038,915.84862194,1016.67534258,1124.9788686,1217.50622421,1385.69288576,1286.67879665
Armenia,89.36824802,88.19324925,93.68066319,102.49706186,106.60098678,127.52579228,136.14311586,142.49503226,170.73906533,191.32188467,199.10328487,199.73305895,217.07845327,229.77473319,244.93395612,238.5221217
Aruba,,,,,,,,,,,,,,,,
Australia,1596.53753296,1700.61543013,1804.00065411,1941.54640812,2085.29978228,2252.72744755,2373.55788205,2543.45006802,2658.09477415,2860.81964525,2958.26180649,3137.68634539,3313.79253621,3408.73616695,3483.76441332,3441.04210934
Austria,2237.85843529,2305.09960658,2446.1377219,2603.34038292,2733.14752607,2861.5312734,2905.42832333,3057.57422803,3198.56763251,3393.15912392,3475.55819054,3722.11390195,3880.59714278,4128.47946991,4288.34180545,4387.91534268
Azerbaijan,87.39314913,94.39157247,89.28337484,98.83760441,105.07502777,102.39915742,109.14936726,121.05122355,199.43061728,269.19188748,342.6151764,366.52893055,382.51501336,386.06111791,553.55716764,579.07267518
Bahamas,1197.91639094,1241.97941761,1262.76345796,1285.83469356,1333.31044374,1365.24637587,1405.67040084,1503.19850563,1593.65628655,1752.18818808,1854.20397206,2091.35371563,2179.39060078,2231.6709017,2085.95661416,1988.45384374
Bahrain,820.74009888,833.61895182,865.60489828,896.95903618,914.21243382,815.32173493,928.60641613,1027.05179403,1075.57157118,1048.25899496,1014.23930654,955.01522123,953.97940261,974.4686861,1083.00080997,1083.06495454
Bangladesh,11.37606323,11.49714818,9.26703214,9.34867734,9.70799964,9.87735009,10.26760503,10.87360205,11.49441475,12.6063214,13.15139826,14.39728837,16.47743078,18.22649638,20.6398674,23.54348368
Barbados,638.44756949,650.32191502,667.39441817,666.8875964,693.90728489,790.99059183,830.07437659,925.44778739,915.4747275,1199.16048473,1059.55576721,1373.09846353,1433.56679006,1474.12074531,1178.65527782,1523.44882628
Belarus,231.70174556,224.91377278,271.0579086,270.46283009,295.05387138,318.70095093,370.71570744,388.30936223,434.42012565,500.0052946,585.18705284,617.4272824,712.8320011,752.79599899,782.26233824,786.11902149
Belgium,1710.38296738,1805.50319701,1852.52772505,1922.66965515,2048.80321168,2246.17838508,2365.6749277,2543.14048038,3035.16143146,3165.11593923,3232.78838469,3280.108454,3437.8864163,3715.00009019,3947.83365997,4025.11126602
Belize,163.60475137,140.4386492,155.88961031,154.76946234,160.92903804,196.68526807,233.55553312,236.97901483,268.21844467,273.23128323,287.92573065,301.81282939,335.79996695,351.09834275,393.24803119,377.61183206
Benin,47.8406902,48.27783876,46.95750909,49.25804537,52.75572251,52.56683525,59.55173417,53.03333129,59.02989451,59.77538652,64.91708251,66.38588403,67.0,64.0,69.0,65.0
Bermuda,,,,,,,,,,,,,,,,
Bhutan,60.73703383,90.94723082,110.50069001,120.28048217,158.54559514,165.2372575,164.67070494,228.2907416,151.63292674,142.21812696,162.04180921,195.21643103,223.65869579,245.81248089,253.95929244,274.75961867
Bolivia,121.69076853,130.90267127,130.92995487,157.47161451,190.94646186,192.09444395,203.36416209,214.80806411,188.57554996,189.92058826,210.48323244,192.4198222,199.35126137,223.08700541,237.07528691,233.30762312
Bosnia and Herzegovina,151.27422793,287.73375727,282.79334416,315.13096987,369.26004701,314.99541862,337.06464369,351.17557986,423.60127092,526.95004301,576.0460478,667.83810319,769.83186486,892.05636234,933.77333449,972.43380341
Botswana,248.88392239,266.2390636,304.95420104,313.32053478,305.78302828,400.25271246,469.76048502,583.39755828,615.42442438,926.37780236,883.61731638,832.67886191,1034.14169609,1060.14443557,1295.5439239,1144.62260287
Brazil,417.2564678,439.8154395,453.73119236,448.70927936,472.96502081,502.240276,520.65058711,530.3793326,528.22919286,575.74821551,695.19466319,766.64076725,827.94479253,862.21369565,920.92717792,1028.29203797
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei,1227.35110782,1577.65255712,1542.95784665,1816.72681933,1721.78087871,1284.46888895,1403.09874578,1425.20648623,1450.67717929,1426.62221868,1277.8467658,1177.33388134,1241.7973366,1194.99670752,1515.82483699,1448.74259409
Bulgaria,290.65028654,241.32050959,256.609812,286.00859409,338.38091833,384.93826896,505.13399474,574.6958137,624.09697759,650.61119931,719.40489007,763.4497801,841.7393573,972.23527995,994.71909073,947.4131405
Burkina Faso,28.15590408,32.37082857,34.10151025,36.99965664,39.95808885,39.39446297,40.20077556,42.16514503,49.846595,57.65021709,69.67385091,70.60100235,73.15921738,80.87147672,88.80691061,92.58418072
Burundi,18.37348093,17.50218511,15.89176329,18.13770274,17.61862662,19.84044101,21.75793981,23.22514139,23.66939066,34.73334813,42.32117068,52.02083371,52.31656801,48.61907792,45.4038611,47.28520011
Cambodia,43.02005587,65.35718691,57.93179356,52.42094825,51.97272585,58.03720332,70.93048491,79.84893183,97.47866118,104.08380655,112.51357138,100.97949557,96.3167236,106.95412558,110.2756995,121.08347965
Cameroon,51.88271065,72.27878824,68.00273614,67.39226789,69.9346675,73.51036196,80.59984552,86.16057126,91.54834258,90.791983,94.25814038,96.89403005,101.20338787,111.92208463,116.67624672,121.55002004
Canada,2054.11324936,2055.86040869,2150.18944728,2309.22369789,2416.20972779,2519.11961075,2732.90326098,2871.07497522,3058.33464537,3210.73229362,3449.05431512,3673.45136031,3849.57780896,3995.92283837,4314.42661078,4403.62197954
Cape Verde,76.19282459,72.19015713,72.49142102,86.17767422,86.57901424,95.11909489,108.43254948,111.09679149,109.80229372,120.61977492,125.12273155,159.9131885,167.55846789,177.00864909,174.4225747,184.01626793
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,22.42827143,21.28185229,23.32148822,22.29648922,23.21121647,26.11005901,26.22108119,26.65539175,25.57078629,25.95586602,25.06602208,26.75677415,30.44249817,30.02533373,30.48863701,31.14518154
Chad,36.42631357,34.90585358,36.77845222,37.71693478,39.87061683,41.75137527,44.17142087,62.44572376,50.95346562,59.69464703,64.99090442,55.56623865,58.05029135,48.95412477,60.3326536,61.66632138
Channel Islands,,,,,,,,,,,,,,,,
Chile,500.12655407,599.93528051,641.65284142,711.58024079,724.01038827,768.42588988,815.85585496,834.55812933,779.61246584,798.2341709,842.72002597,863.57459521,958.87992527,1093.91888934,1208.55399148,1198.72735895
China,52.60137545,62.60310987,73.45688056,85.68379423,96.06017468,108.131445,117.92086011,136.39945823,153.53068446,169.31113629,191.03352979,214.87689019,240.44719771,284.75813736,347.15709389,378.91295642
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,405.7676685,495.48988062,559.05161771,545.461771,522.08272098,428.79244102,437.50383505,449.04223692,494.37704563,510.34407596,544.01650609,580.84146859,618.5232144,621.88975918,686.68623562,712.58606242
Comoros,36.49143169,34.47698263,35.32517859,31.40055133,29.87911024,26.85187199,22.05531238,28.25254972,30.71383623,33.92706406,38.55903594,42.44892739,46.0698304,49.08690013,34.33628582,49.10829496
"Congo, Dem. Rep.",10.90165284,9.86714639,11.08876317,12.60086269,10.73754638,11.19127897,9.90807003,9.87603707,12.53531808,14.22334227,16.20229017,17.87425716,19.12568443,23.76356735,31.35477149,27.24756103
"Congo, Rep.",81.03823698,75.65678775,76.4330443,97.77076632,78.75270247,58.38915315,69.25522591,72.44692175,77.7158941,78.94312572,81.35588332,84.93052989,95.71918831,97.573236,108.46064292,103.51648935
