Reported Deaths per 100000,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Algeria,,,,,,,,,0.006746176427,0.0199523644,0.003278037861,0.003230577702,0,,,,
Angola,,,,,,,,,,188.3340559,96.02293064,66.16124864,97.94296698,254.2670997,79.68396058,85.54095646,61.72597172
Benin,,,,,,,,,10.02360544,7.761421881,10.23906983,6.273401261,9.175078669,7.033767359,11.47846523,3.792562831,15.89104043
Botswana,,,,,,,,8.609246453,1.376613256,2.880274061,1.73523546,1.539858379,1.295665155,1.002671004,1.046775436,0.599148773,2.26029808
Burkina Faso,,,,,,,,,23.44500596,24.36248251,23.06052951,34.52142604,31.83828426,37.15053842,31.13177284,37.49274314,56.29418115
Burundi,,,,,,,,,,,8.683153961,6.097196328,6.851911329,5.826877039,9.344699943,24.71118013,5.310122145
Cameroon,,,,,,,,,,,,,,,,4.697909526,5.117004433
Cape Verde,,,,,,,,,,,,0,0.2116975604,0.4135033659,0.4039008746,0.1973137703,1.34987639
Central African Republic,,,,,,,,,10.0836131,12.77463148,,13.60271973,,10.27202135,20.83269671,15.93728535,20.28229199
Chad,,,,,,,,,,,,10.65721302,10.35213943,10.24803196,,,7.785500761
Comoros,,,,,,,,,,7.353265585,11.73045699,2.227397829,,,3.600711912,11.53023805,6.842335485
"Congo, Rep.",,,,,,,,,,,,,,,,,6.857671335
Cote d'Ivoire,,,,,,,,,8.213087669,5.83959671,4.281728591,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,5.010976603,,3.601264283,29.90124614,,,40.14749186
Eritrea,,,,,,,,,11.75401637,4.75715431,2.55136938,3.365119364,2.125314015,1.676386515,0.3675181066,0.7069133028,0.3623099604
Ethiopia,,,,,,,,,,,1.59248435,2.359305994,2.197347874,2.848903727,4.321037361,1.374929692,1.674882477
Gabon,,,,,,,,,,,,7.549962499,,,,36.72445733,6.02677107
Ghana,,,,,,,,,14.54490031,14.35386649,16.03175379,8.32819955,9.088013356,7.78666106,5.712496317,7.805632214,12.30852571
Guinea,,,,,,,,,0.1647891687,0.1615593409,5.376325734,6.185264093,5.168203287,6.758442315,5.977739712,5.442838202,
Guinea-Bissau,,,,,,,,,,,77.7096592,44.97304096,53.57580736,75.70930026,36.47573395,35.38040827,30.81077928
Kenya,,,,,,,,,2.240690302,5.073060277,2.185469781,,0.4101725091,,,,
Liberia,,,,,,,,,,,,,,,,1.191238528,24.50458546
Madagascar,,,,,,,,,,4.071566691,3.651145694,7.80214996,7.395762042,6.18634297,6.584060783,7.547236204,3.079491059
Malawi,610.2836646,,,,,,,339.2173941,,42.05500213,61.41937518,28.08810976,47.10497705,37.91254648,26.81120676,38.33332161,52.55434607
Mali,,,,,,,,,,5.994253331,7.476855982,5.457391031,7.787512168,11.97673275,8.983797561,11.06700577,15.9921433
Mauritania,,,,,,,,,11.51893461,21.06093349,19.13370681,12.75405452,3.67525181,,,,2.201313034
Mozambique,,,,,,,,,5.175912275,6.700539802,7.535370071,18.22063398,22.02344677,17.78699039,20.66924114,20.49903386,24.04221435
Namibia,,,,,,15.08836349,27.52126149,31.22907238,22.47183511,28.84496294,48.84386882,90.32852296,77.43612292,56.18454133,59.43326246,65.60454964,27.90057233
Niger,,,,,,,,10.19955765,17.61339723,20.17412177,9.0705182,34.85793267,20.37550558,25.34922089,10.7902171,75.07431664,18.70897584
Nigeria,2.418100912,2.002117103,1.06690155,0.6892003604,1.590743196,2.997888452,4.258585904,3.995909397,5.236271964,3.392252835,4.541862302,3.371638911,3.115667939,3.967789068,4.370980032,4.594071838,4.550858368
Rwanda,,,,,,,,,38.99971434,24.55735723,32.7537221,50.41940954,36.52334298,30.37480626,26.12605507,28.01665578,24.79861035
Sao Tome and Principe,,,,,,,,,113.902798,,,173.9020679,221.2175927,130.7517208,111.9104716,55.6931504,16.76067687
Senegal,,,,,,,,12.62010438,10.49625776,12.27012395,12.93849223,14.28050571,11.25710249,14.33039998,13.28401396,13.48304297,13.89938683
Sierra Leone,,,,,,,,,,,,5.9530732,8.691770721,2.16936462,1.818057354,0.6444218221,1.2189401
South Africa,0.09568743824,0.05067671282,0.0363767594,0.1138663305,0.02960049616,0.106012527,0.3844236263,0.2405414866,0.4499045078,0.9076977171,1.008848793,0.258599234,0.2060934801,0.3015581253,0.1872071273,0.1335039319,0.1801896627
Swaziland,,,,,,,,,10.68778337,14.32831458,,5.118354979,4.865514427,2.721241467,2.51316269,1.511744028,1.323202892
Togo,,,,,,,,,9.438039272,14.67141489,16.34265457,24.99798707,28.91942172,19.13019247,19.48658531,16.41401269,12.77605801
Uganda,,,,,,,,,,,,,,31.13585669,,266.0017222,157.1980064
Tanzania,,,,,,,,,,,,2.414137651,1.238238281,40.88270306,52.11421424,46.97504979,52.66771532
Zambia,59.87302192,59.86414504,38.6649658,53.29332034,63.97924303,,,,,83.9216817,31.270094,87.84473244,82.99252975,82.91858981,73.55058366,67.4053522,55.43699339
Zimbabwe,,,,,,,,9.774756642,10.08940849,9.094883429,14.12714621,3.226986884,14.33979402,8.067158944,13.88842611,14.60401585,
Argentina,,,,,,,,,,,,0,0,0,0,,
Belize,,,,,,,,,,,,0,0,,0,,0.3550568979
Bolivia,,,,,,,,,0.2882365525,,,,0.04618225712,0.02263660028,0,0,0
Brazil,,,,,,,,,,,,0.08036138901,0.05188397549,0.05665964265,0.05425415128,0.06529974007,0.05123519417
Colombia,,,,,,,,,,,,0.1369394108,0.09298150279,0.05495192016,0.05641132284,0.06229726967,0.1163340643
