Reported Deaths,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Algeria,,,,,,,,,2,6,1,1,0,,,,
Angola,,,,,,,,,,25572,13376,9473,14434,38598,12459,13768,10220
Benin,,,,,,,,,682,544,740,468,707,560,944,322,1392
Botswana,,,,,,,,141,23,49,30,27,23,18,19,11,42
Burkina Faso,,,,,,,,,2624,2808,2740,4233,4032,4860,4205,5224,8083
Burundi,,,,,,,,,,,579,417,483,425,707,1942,434
Cameroon,,,,,,,,,,,,,,,,836,930
Cape Verde,,,,,,,,,,,,0,1,2,2,1,7
Central African Republic,,,,,,,,,374,484,,535,,417,859,668,865
Chad,,,,,,,,,,,,936,944,970,,,815
Comoros,,,,,,,,,,50,82,16,,,28,92,56
"Congo, Rep.",,,,,,,,,,,,,,,,,253
Cote d'Ivoire,,,,,,,,,1337,974,730,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,2540,,1928,16498,,,24347
Eritrea,,,,,,,,,404,169,94,129,85,70,16,32,17
Ethiopia,,,,,,,,,,,1105,1681,1607,2138,3327,1086,1357
Gabon,,,,,,,,,,,,91,,,,474,79
Ghana,,,,,,,,,2798,2826,3230,1717,1917,1680,1260,1759,2832
Guinea,,,,,,,,,13,13,441,517,440,586,528,490,
Guinea-Bissau,,,,,,,,,,,1065,635,780,1137,565,565,507
Kenya,,,,,,,,,665,1545,683,,135,,,,
Liberia,,,,,,,,,,,,,,,,41,877
Madagascar,,,,,,,,,,640,591,1300,1268,1091,1194,1407,590
Malawi,57649,,,,,,,35982,,4747,7139,3355,5775,4767,3457,5070,7132
Mali,,,,,,,,,,583,748,562,826,1309,1012,1285,1914
Mauritania,,,,,,,,,279,525,491,337,100,,,,67
Mozambique,,,,,,,,,896,1189,1371,3400,4214,3488,4150,4209,5042
Namibia,,,,,,250,469,547,404,531,918,1728,1504,1106,1185,1325,571
Niger,,,,,,,,1018,1823,2165,1009,4018,2433,3135,1382,9958,2570
Nigeria,2284,1947,1068,710,1686,3268,4773,4603,6197,4123,5667,4317,4092,5343,6032,6494,6586
Rwanda,,,,,,,,,2736,1881,2678,4301,3200,2707,2365,2587,2347
Sao Tome and Principe,,,,,,,,,154,,,248,321,193,168,85,26
Senegal,,,,,,,,1205,1029,1235,1337,1515,1226,1602,1524,1587,1678
Sierra Leone,,,,,,,,,,,,280,428,112,98,36,70
South Africa,35,19,14,45,12,44,163,104,198,406,458,119,96,142,89,64,87
Swaziland,,,,,,,,,109,149,,55,53,30,28,17,15
Togo,,,,,,,,,475,766,883,1394,1661,1130,1183,1024,819
Uganda,,,,,,,,,,,,,,8450,,77000,47000
Tanzania,,,,,,,,,,,,838,441,14943,19547,18075,20782
Zambia,4863,4998,3315,4689,5775,,,,,8580,3268,9369,9021,9178,8289,7737,6484
Zimbabwe,,,,,,,,1192,1248,1139,1788,412,1844,1044,1809,1916,
Argentina,,,,,,,,,,,,0,0,0,0,,
Belize,,,,,,,,,,,,0,0,,0,,1
Bolivia,,,,,,,,,23,,,,4,2,0,0,0
Brazil,,,,,,,,,,,,142,93,103,100,122,97
Colombia,,,,,,,,,,,,58,40,24,25,28,53
Costa Rica,,,,,,,,,,,,0,0,0,,,
Dominican Republic,,,,,,,,,14,,,16,11,12,16,16,10
Ecuador,,,,,,,,,16,,,,0,0,,,
El Salvador,,,,,,,,,,,,0,0,0,0,0,0
French Guiana,,,,,,,,,,,,0,,4,0,,5
