,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,30.14,30.14,32.88,35.62,35.62,35.62,38.36,38.36,38.36,38.36,41.1,41.1,41.1,43.84,43.84,43.84,41.1,43.84,46.58,46.58,46.58,46.58,46.58,46.58,46.58,49.32,49.32,49.32,49.32,52.06,38.36,52.06,79.45,101.37,54.8,68.49,60.27,60.27,57.53,65.75,68.49,71.23,65.75,65.75
Algeria,46.58,49.32,46.58,49.32,46.58,46.58,49.32,49.32,46.58,43.84,52.06,49.32,46.58,49.32,63.01,65.75,71.23,71.23,82.19,82.19,82.19,73.97,82.19,82.19,79.45,84.93,93.15,79.45,84.93,82.19,79.45,73.97,76.71,73.97,73.97,73.97,79.45,54.8,60.27,82.19,79.45,82.19,84.93,84.93
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,24.66,30.14,32.88,30.14,30.14,30.14,30.14,35.62,30.14,35.62,38.36,38.36,35.62,35.62,30.14,43.84,43.84,43.84,43.84,43.84,35.62,32.88,30.14,30.14,30.14,30.14,30.14,30.14,32.88,35.62,32.88,30.14,27.4,21.92,24.66,27.4,32.88,30.14,38.36,27.4,32.88,35.62,35.62,35.62
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,95.89,126.03,104.11,106.85,123.29,131.51,131.51,134.25,134.25,136.99,123.29,95.89,95.89,93.15,90.41,101.37,95.89,93.15,93.15,104.11,115.07,93.15,84.93,76.71,79.45,79.45,68.49,82.19,84.93,87.67,87.67,87.67,82.19,87.67,90.41,90.41,87.67,93.15,90.41,93.15,93.15,93.15,95.89,95.89
Argentina,106.85,98.63,73.97,109.59,101.37,106.85,109.59,106.85,106.85,117.81,117.81,120.55,98.63,117.81,109.59,104.11,98.63,109.59,106.85,109.59,101.37,101.37,109.59,112.33,112.33,115.07,106.85,101.37,101.37,115.07,112.33,115.07,117.81,123.29,128.77,123.29,120.55,117.81,128.77,128.77,128.77,126.03,112.33,112.33
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,5.48,21.92,32.88,49.32,49.32,52.06,54.8,54.8,54.8,54.8,57.53,57.53
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,153.43,147.95,147.95,150.69,153.43,150.69,147.95,150.69,153.43,156.16,153.43,156.16,153.43,153.43,145.21,156.16,153.43,153.43,147.95,153.43,147.95,145.21,136.99,142.47,142.47,136.99,131.51,134.25,136.99,136.99,131.51,139.73,126.03,120.55,131.51,123.29,134.25,131.51,117.81,123.29,123.29,126.03,128.77,128.77
Austria,109.59,115.07,109.59,106.85,112.33,109.59,106.85,115.07,98.63,112.33,112.33,109.59,123.29,126.03,104.11,112.33,112.33,112.33,112.33,123.29,117.81,120.55,112.33,112.33,106.85,109.59,109.59,117.81,115.07,117.81,117.81,117.81,115.07,131.51,128.77,128.77,126.03,123.29,123.29,126.03,123.29,120.55,123.29,123.29
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.62,30.14,30.14,32.88,35.62,41.1,38.36,32.88,27.4,32.88,46.58,43.84,43.84
Bahamas,93.15,93.15,87.67,95.89,98.63,98.63,98.63,109.59,131.51,126.03,117.81,115.07,104.11,95.89,101.37,101.37,112.33,123.29,117.81,139.73,128.77,136.99,126.03,134.25,147.95,117.81,115.07,131.51,139.73,134.25,123.29,117.81,109.59,106.85,126.03,131.51,117.81,120.55,117.81,117.81,112.33,104.11,126.03,126.03
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,24.66,27.4,27.4,30.14,32.88,41.1,41.1,38.36,41.1,35.62,32.88,27.4,27.4,27.4,24.66,24.66,24.66,21.92,21.92,21.92,21.92,21.92,21.92,21.92,19.18,21.92,21.92,21.92,21.92,21.92,19.18,19.18,19.18,19.18,16.44,16.44,19.18,19.18,16.44,16.44,19.18,13.7,16.44,16.44
Barbados,142.47,142.47,145.21,142.47,142.47,145.21,142.47,142.47,136.99,142.47,158.9,142.47,156.16,161.64,164.38,167.12,167.12,169.86,175.34,178.08,189.04,178.08,186.3,164.38,161.64,164.38,156.16,164.38,150.69,142.47,123.29,136.99,126.03,136.99,136.99,156.16,158.9,145.21,147.95,147.95,150.69,156.16,156.16,156.16
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.63,95.89,79.45,104.11,104.11,115.07,120.55,87.67,104.11,109.59,106.85,90.41,90.41
Belgium,73.97,73.97,95.89,87.67,79.45,98.63,101.37,93.15,101.37,101.37,95.89,79.45,101.37,101.37,98.63,106.85,98.63,95.89,93.15,101.37,101.37,106.85,106.85,101.37,106.85,109.59,109.59,115.07,115.07,120.55,120.55,123.29,120.55,123.29,123.29,131.51,131.51,139.73,139.73,161.64,156.16,147.95,150.69,150.69
Belize,71.23,71.23,76.71,82.19,84.93,87.67,93.15,98.63,104.11,106.85,112.33,117.81,123.29,128.77,120.55,117.81,134.25,153.43,147.95,139.73,145.21,123.29,117.81,126.03,109.59,104.11,112.33,112.33,131.51,131.51,128.77,128.77,142.47,161.64,161.64,161.64,161.64,158.9,156.16,147.95,134.25,134.25,136.99,136.99
Benin,5.48,8.22,8.22,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,5.48,0,0,0,0,2.74,0,0,0,0,2.74,5.48,5.48,5.48,5.48,8.22,8.22,13.7,10.96,16.44,24.66,21.92,16.44,13.7,13.7,19.18,13.7,13.7,16.44,16.44,16.44
Bermuda,115.07,115.07,95.89,117.81,112.33,106.85,109.59,123.29,104.11,112.33,112.33,142.47,106.85,115.07,79.45,90.41,79.45,82.19,79.45,82.19,93.15,87.67,84.93,84.93,90.41,84.93,84.93,73.97,76.71,79.45,79.45,73.97,76.71,109.59,117.81,120.55,126.03,128.77,139.73,131.51,106.85,101.37,104.11,104.11
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,52.06,54.8,54.8,57.53,63.01,63.01,68.49,68.49,71.23,76.71,82.19,79.45,71.23,68.49,71.23,79.45,87.67,93.15,104.11,87.67,82.19,90.41,82.19,79.45,71.23,76.71,76.71,76.71,76.71,82.19,73.97,79.45,79.45,79.45,79.45,76.71,76.71,76.71,76.71,76.71,79.45,76.71,76.71,76.71
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.84,41.1,13.7,13.7,27.4,32.88,38.36,41.1,49.32,68.49,68.49,73.97,73.97
Botswana,46.58,43.84,43.84,43.84,43.84,43.84,41.1,41.1,43.84,43.84,43.84,43.84,41.1,43.84,43.84,46.58,35.62,43.84,46.58,54.8,60.27,63.01,63.01,63.01,60.27,63.01,65.75,68.49,65.75,65.75,76.71,79.45,68.49,65.75,63.01,60.27,65.75,65.75,65.75,65.75,65.75,65.75,68.49,68.49
Brazil,112.33,115.07,109.59,104.11,112.33,98.63,101.37,112.33,112.33,112.33,109.59,117.81,117.81,126.03,131.51,128.77,126.03,128.77,142.47,145.21,131.51,134.25,128.77,131.51,126.03,134.25,131.51,128.77,131.51,131.51,128.77,136.99,136.99,142.47,145.21,153.43,156.16,156.16,153.43,153.43,156.16,150.69,153.43,153.43
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
