"SBP male (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,125.1991,125.2157,125.2491,125.309,125.3442,125.3584,125.4051,125.4011,125.3434,125.2586,125.1438,125.0541,124.9136,124.7142,124.5248,124.3947,124.3387,124.354,124.4236,124.5021,124.5272,124.5751,124.7101,124.8847,125.041,125.2112,125.3705,125.5242,125.6672
Albania,132.927,133.0296,133.1459,133.1868,133.2048,133.2577,133.2506,133.2931,133.2701,133.2469,133.1286,132.8971,132.5104,132.1749,131.9315,131.8613,131.7794,131.718,131.7238,131.8057,131.9823,132.2176,132.4619,132.7057,132.9587,133.1678,133.3954,133.622,133.8207
Algeria,132.4093,132.171,131.9649,131.7835,131.6161,131.4345,131.2326,131.0388,130.8046,130.5779,130.3509,130.1156,129.8692,129.6309,129.4411,129.2861,129.1701,129.1221,129.0953,129.1106,129.2023,129.2934,129.4057,129.5286,129.6348,129.7574,129.8688,129.9521,130.0443
Andorra,140.8585,140.1076,139.3727,138.6457,137.9525,137.3192,136.7997,136.3876,136.0668,135.7991,135.5394,135.2648,134.9872,134.6827,134.3801,134.094,133.8172,133.5845,133.3496,133.122,132.9088,132.7174,132.5272,132.3629,132.1891,132.0176,131.8713,131.7202,131.5517
Angola,135.1761,134.8481,134.5637,134.2894,134.0817,133.9246,133.7804,133.6974,133.6655,133.6416,133.5714,133.4615,133.3288,133.0791,132.8687,132.7094,132.5802,132.4783,132.4305,132.4099,132.437,132.4967,132.5976,132.6973,132.816,132.976,133.166,133.3769,133.5843
Antigua and Barbuda,132.5722,132.4046,132.2538,132.1422,132.0295,131.9592,131.9239,131.8965,131.9101,131.858,131.7893,131.6736,131.5378,131.447,131.35,131.2341,131.1891,131.1746,131.1839,131.2401,131.3539,131.5108,131.6967,131.9242,132.1643,132.4058,132.7429,133.1128,133.4684
Argentina,131.5249,131.1427,130.6854,130.2539,129.8438,129.4055,129.0195,128.6777,128.3517,127.9743,127.6064,127.3107,127.0791,126.9065,126.7716,126.6326,126.5318,126.5225,126.5712,126.6269,126.6982,126.8057,126.8933,127.0136,127.1919,127.4415,127.7695,128.1427,128.5042
Armenia,136.5225,136.4685,136.4013,136.3205,136.2199,136.1033,136.0005,135.8925,135.7892,135.6912,135.5645,135.3786,134.9878,134.5899,134.2892,134.0863,133.9068,133.7143,133.6024,133.5484,133.5835,133.676,133.86,134.0215,134.2524,134.5294,134.8026,135.0587,135.2805
Australia,134.2601,134.0508,133.8334,133.5939,133.3718,133.1689,133.0379,132.9539,132.8903,132.8218,132.7562,132.6359,132.5155,132.3909,132.2446,132.0468,131.8362,131.5808,131.307,130.9883,130.6282,130.2208,129.7888,129.3411,128.885,128.4552,128.0217,127.6146,127.1865
Austria,138.3773,137.8946,137.41,136.9621,136.5062,136.1074,135.7862,135.5384,135.3414,135.1727,134.9918,134.8084,134.6277,134.4186,134.2159,133.9837,133.7404,133.551,133.2813,133.0395,132.7926,132.5685,132.3738,132.1894,131.9882,131.8182,131.6584,131.5106,131.36
Azerbaijan,134.7663,134.759,134.7579,134.738,134.6945,134.6176,134.5656,134.484,134.4053,134.2833,134.1229,133.9078,133.5679,133.122,132.6836,132.2496,131.8364,131.554,131.395,131.2847,131.228,131.2218,131.2551,131.3199,131.3845,131.4997,131.6587,131.8617,132.0707
Bahamas,136.5903,136.3275,136.0319,135.7491,135.4813,135.1974,134.9103,134.6697,134.3779,134.0934,133.7768,133.4718,133.1393,132.8227,132.5327,132.2146,131.9647,131.7731,131.663,131.6382,131.6404,131.6679,131.779,131.9036,132.0927,132.2531,132.4249,132.6018,132.7779
Bahrain,135.3229,135.0371,134.7106,134.3788,134.0252,133.6502,133.3137,133.0034,132.7368,132.4822,132.2404,132.0112,131.7838,131.6148,131.4132,131.2266,131.069,130.9315,130.8038,130.7175,130.6822,130.644,130.6395,130.6325,130.5961,130.5874,130.5565,130.5436,130.5309
Bangladesh,123.9319,123.9494,123.9478,123.9549,123.9741,123.9799,124.0084,124.0259,124.0776,124.135,124.1851,124.2278,124.276,124.3744,124.4778,124.5709,124.6773,124.8021,124.919,124.9894,125.0913,125.1901,125.2913,125.3845,125.4634,125.5541,125.6533,125.7276,125.805
Barbados,134.1387,133.8047,133.4587,133.0922,132.7491,132.4014,132.0913,131.8045,131.5606,131.3483,131.1012,130.834,130.5663,130.2956,130.0772,129.8841,129.7059,129.5788,129.4929,129.477,129.5011,129.5432,129.6404,129.7691,129.9786,130.2517,130.5711,130.9086,131.2451
Belarus,137.9993,137.9775,137.9506,137.904,137.8194,137.6909,137.5322,137.3842,137.2355,137.0719,136.8906,136.6977,136.4589,136.1976,135.9269,135.6302,135.3966,135.2308,135.1445,135.1196,135.1491,135.226,135.3698,135.5663,135.7571,135.9834,136.1985,136.4129,136.6067
Belgium,136.5173,136.0056,135.4979,135.0037,134.5185,134.104,133.7935,133.6122,133.4893,133.4115,133.3566,133.2978,133.2024,133.0496,132.8682,132.6508,132.3982,132.108,131.8228,131.53,131.1885,130.8542,130.4967,130.1357,129.7849,129.4407,129.135,128.8279,128.5194
Belize,127.8844,127.7849,127.6644,127.4697,127.2723,127.0299,126.8328,126.6743,126.5468,126.4467,126.3948,126.3016,126.2506,126.2091,126.1464,126.0969,126.0352,125.9959,125.9474,125.954,126.0149,126.1182,126.2603,126.4446,126.6684,126.9362,127.2454,127.5655,127.9013
Benin,133.6482,133.3981,133.1582,132.8809,132.6559,132.4308,132.216,131.9906,131.8481,131.6394,131.4043,131.2135,131.0382,130.9096,130.7941,130.6942,130.6542,130.6912,130.747,130.8656,131.0458,131.2589,131.5012,131.7261,131.9701,132.2019,132.4117,132.6187,132.8253
Bermuda,139.8906,139.4073,138.9147,138.4346,137.9034,137.4249,136.9259,136.4545,136.0899,135.706,135.3326,134.9279,134.528,134.1485,133.7821,133.4321,133.1627,132.9663,132.7975,132.725,132.6916,132.6843,132.71,132.7386,132.8173,132.9392,133.1118,133.3101,133.5003
Bhutan,122.6822,122.8407,122.9865,123.1498,123.3047,123.4433,123.6011,123.8154,124.0225,124.1988,124.3787,124.5276,124.6725,124.8112,124.9364,125.0881,125.2452,125.4048,125.5782,125.7667,125.9574,126.1686,126.3632,126.5382,126.6836,126.835,126.9573,127.071,127.1796
Bolivia,130.244,130.0872,129.8725,129.5899,129.2954,128.9791,128.6959,128.4638,128.2902,128.0897,127.9152,127.7252,127.5205,127.3352,127.2074,127.0574,126.9582,126.889,126.8888,126.9023,126.9434,127.0038,127.0869,127.2003,127.3516,127.541,127.7494,127.969,128.1917
Bosnia and Herzegovina,131.8165,132.1278,132.3998,132.6377,132.8645,133.0697,133.1989,133.2546,133.2558,133.1962,133.1055,132.8523,132.4668,131.9561,131.4639,131.1335,131.025,131.0083,131.0952,131.2412,131.5207,131.8051,132.0737,132.3089,132.5608,132.7762,132.9634,133.149,133.3159
