"TC male (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,4.582847,4.575943,4.570482,4.566239,4.561473,4.555119,4.550215,4.54051,4.524835,4.507305,4.485937,4.466601,4.440605,4.407258,4.37231,4.340544,4.312903,4.290718,4.272516,4.251635,4.221958,4.190959,4.171098,4.155508,4.139688,4.127613,4.115781,4.106099,4.095997
Albania,5.006371,5.001727,4.995893,4.988104,4.98158,4.977619,4.971681,4.968798,4.964878,4.961949,4.957453,4.939636,4.916519,4.900353,4.894474,4.900793,4.905012,4.901205,4.897117,4.895632,4.89892,4.903275,4.905689,4.906776,4.90487,4.900919,4.897351,4.894249,4.890784
Algeria,4.925933,4.919521,4.914258,4.913837,4.911134,4.907856,4.901825,4.895566,4.884584,4.872994,4.864034,4.851894,4.836873,4.823294,4.80947,4.795215,4.780089,4.76792,4.756511,4.743488,4.734174,4.722526,4.711596,4.701297,4.694086,4.686355,4.678111,4.671032,4.663696
Andorra,6.178972,6.14385,6.108996,6.077504,6.047321,6.018569,5.991545,5.964697,5.941315,5.921647,5.898942,5.875875,5.852308,5.826815,5.80229,5.778216,5.753525,5.732058,5.711629,5.691342,5.671508,5.653838,5.636606,5.623507,5.609258,5.594193,5.582063,5.570358,5.557206
Angola,4.524107,4.509693,4.496962,4.484571,4.475721,4.469586,4.461452,4.457127,4.45422,4.451282,4.445776,4.438754,4.427119,4.404628,4.37934,4.35884,4.344785,4.335147,4.32952,4.325931,4.322815,4.321519,4.325346,4.330437,4.336073,4.346258,4.359311,4.375734,4.39371
Antigua and Barbuda,4.868222,4.860266,4.855206,4.85431,4.853472,4.855319,4.85859,4.861523,4.867149,4.870599,4.875774,4.877,4.872542,4.869531,4.86393,4.852778,4.844795,4.836071,4.827497,4.817625,4.805455,4.793862,4.782971,4.773803,4.764151,4.757137,4.753496,4.753082,4.751228
Argentina,5.373297,5.364064,5.34767,5.331813,5.318033,5.300263,5.283949,5.270087,5.251081,5.231301,5.211366,5.195026,5.184633,5.17756,5.171901,5.163175,5.154945,5.148706,5.143845,5.137844,5.128345,5.112452,5.087207,5.066241,5.046813,5.036808,5.031795,5.029531,5.026242
Armenia,5.163096,5.146698,5.131799,5.116898,5.101703,5.085177,5.071012,5.053893,5.036345,5.015652,4.992298,4.961424,4.908696,4.858117,4.811986,4.774352,4.738297,4.709194,4.686785,4.67112,4.661123,4.655137,4.659803,4.664399,4.674659,4.681662,4.689582,4.699986,4.706854
Australia,5.763054,5.741682,5.721641,5.701762,5.680096,5.658162,5.639214,5.621665,5.605161,5.588008,5.569533,5.546825,5.524471,5.504239,5.486558,5.466947,5.444914,5.42224,5.401967,5.380528,5.35674,5.329157,5.30059,5.270879,5.238391,5.208797,5.180624,5.156023,5.12787
Austria,5.856654,5.839685,5.817293,5.799896,5.782293,5.769108,5.752775,5.735944,5.714147,5.692176,5.671105,5.651867,5.632548,5.609415,5.593408,5.578047,5.561835,5.544771,5.526406,5.506382,5.481236,5.457598,5.436879,5.411662,5.381481,5.358379,5.335294,5.31492,5.297014
