"TC female (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,4.644476,4.637118,4.63077,4.625318,4.619873,4.613289,4.607698,4.59808,4.583443,4.567768,4.548429,4.530924,4.508653,4.48069,4.451836,4.425866,4.402843,4.385135,4.371499,4.356148,4.333604,4.309802,4.29517,4.283724,4.271746,4.262364,4.253473,4.246427,4.239035
Albania,5.039529,5.03661,5.033352,5.028138,5.022292,5.018456,5.012306,5.008334,5.002822,4.998255,4.991347,4.973292,4.950126,4.93395,4.926387,4.929114,4.930645,4.924534,4.919365,4.916494,4.917402,4.919429,4.918646,4.915379,4.90998,4.902183,4.895111,4.888237,4.881235
Algeria,4.976215,4.975257,4.974508,4.976556,4.976963,4.977419,4.974378,4.971097,4.963965,4.957217,4.951503,4.943736,4.934966,4.927216,4.919125,4.910337,4.900048,4.891668,4.883001,4.873433,4.866559,4.85758,4.848951,4.841351,4.836602,4.831645,4.826501,4.821301,4.815735
Andorra,6.132187,6.101291,6.069412,6.038793,6.008447,5.977998,5.948506,5.918512,5.890226,5.864313,5.836336,5.808321,5.77918,5.749439,5.721498,5.694229,5.666466,5.640588,5.616026,5.59235,5.568902,5.548213,5.52906,5.513778,5.499101,5.484156,5.474519,5.465222,5.456065
Angola,4.789354,4.769557,4.75133,4.73355,4.719231,4.707431,4.693793,4.683528,4.674458,4.665655,4.654712,4.641436,4.62586,4.601013,4.575961,4.555784,4.540168,4.527718,4.518808,4.511637,4.50508,4.499903,4.499115,4.498331,4.498226,4.501854,4.508352,4.517577,4.528061
Antigua and Barbuda,5.013913,5.006714,5.000293,4.997209,4.996626,4.998084,5.00135,5.003486,5.008585,5.0114,5.014208,5.014114,5.010575,5.007117,5.000807,4.990271,4.982698,4.975049,4.966626,4.958836,4.950877,4.942736,4.934998,4.928563,4.923055,4.91991,4.919503,4.922908,4.924793
Argentina,5.410129,5.40147,5.385623,5.370482,5.357241,5.341568,5.3266,5.313423,5.296732,5.277948,5.258714,5.244145,5.234712,5.229097,5.22506,5.218007,5.211115,5.205398,5.200735,5.194213,5.183896,5.168998,5.143871,5.121858,5.101102,5.087423,5.078289,5.072242,5.065472
Armenia,5.329202,5.313419,5.299037,5.284414,5.26921,5.252454,5.238101,5.220863,5.202108,5.178794,5.152174,5.119122,5.067329,5.016787,4.972368,4.936048,4.901051,4.869855,4.8445,4.824714,4.809865,4.798553,4.795259,4.79205,4.793014,4.794047,4.79539,4.799428,4.800741
Australia,5.776455,5.76084,5.745749,5.729612,5.712638,5.695013,5.678398,5.661502,5.643723,5.624398,5.603115,5.576936,5.551851,5.528202,5.506188,5.483604,5.460225,5.43716,5.416486,5.395925,5.374431,5.35117,5.326858,5.302633,5.27728,5.255613,5.236234,5.220506,5.202036
Austria,5.844535,5.826888,5.806557,5.788558,5.769348,5.752367,5.733914,5.71459,5.691774,5.669431,5.647372,5.626565,5.605656,5.582749,5.564314,5.545015,5.524096,5.503016,5.479447,5.456365,5.429332,5.404716,5.381785,5.358203,5.333917,5.314638,5.29816,5.284597,5.272977
