Prevalence of current tobacco use among adults (>=15 years) (%) female,2000,2002,2005
Algeria,0.3,0.3,0.3
Angola,,,
Benin,,,
Botswana,,,
Burkina Faso,11.2,11.2,11.2
Burundi,,,
Cameroon,2.2,2.2,2.2
Cape Verde,,,
Central African Rep.,,,
Chad,2.6,2.6,2.6
Comoros,13.5,13.5,13.5
"Congo, Rep.",1,1,1
Cote d'Ivoire,2.4,2.4,2.4
"Congo, Dem. Rep.",2.6,2.6,2.6
Equatorial Guinea,,,
Eritrea,1.2,1.2,1.2
Ethiopia,0.9,0.9,0.9
Gabon,,,
Gambia,2.9,2.9,2.9
Ghana,0.8,0.8,0.8
Guinea,,,
Guinea-Bissau,,,
Kenya,2.2,2.2,2.2
Lesotho,,,
Liberia,,,
Madagascar,,,
Malawi,6.2,6.2,6.2
Mali,2.8,2.8,2.8
Mauritania,3.7,3.7,3.7
Mauritius,1.1,1.1,1.1
Mozambique,3.4,3.4,3.4
Namibia,10.9,10.9,10.9
Niger,,,
Nigeria,1.2,1.2,1.2
Rwanda,,,
Sao Tome and Principe,10.6,10.6,10.6
Senegal,1.5,1.5,1.5
Seychelles,7,7,7
Sierra Leone,,,
South Africa,9.1,9.1,9.1
Swaziland,3.2,3.2,3.2
Togo,,,
Uganda,3.2,3.2,3.2
Tanzania,4.3,4.3,4.3
Zambia,5,5,5
Zimbabwe,4.4,4.4,4.4
Antigua and Barbuda,,,
Argentina,25.4,25.4,25.4
Bahamas,,,
Barbados,3,3,3
Belize,,,
Bolivia,29.2,29.2,29.2
Brazil,,,
Canada,18.9,18.9,18.9
Chile,33.6,33.6,33.6
Colombia,,,
Costa Rica,7.3,7.3,7.3
Cuba,28.3,28.3,28.3
Dominica,,,
Dominican Rep.,13.3,13.3,13.3
Ecuador,5.8,5.8,5.8
El Salvador,,,
Grenada,,,
Guatemala,4.1,4.1,4.1
Guyana,,,
Haiti,,,
Honduras,3.4,3.4,3.4
Jamaica,9.2,9.2,9.2
Mexico,12.4,12.4,12.4
Nicaragua,,,
Panama,,,
Paraguay,14.8,14.8,14.8
Peru,,,
Saint Kitts and Nevis,,,
Saint Lucia,12.1,12.1,12.1
Saint Vincent and the Grenadines,,,
Suriname,,,
Trinidad and Tobago,7.6,7.6,7.6
United States,21.5,21.5,21.5
Uruguay,28,28,28
Venezuela,27,27,27
Afghanistan,,,
Bahrain,2.9,2.9,2.9
Djibouti,,,
Egypt,1.3,1.3,1.3
Iran,5.5,5.5,5.5
Iraq,2.5,2.5,2.5
Jordan,9.8,9.8,9.8
Kuwait,,,
Lebanon,7,7,7
Libya,,,
Morocco,0.3,0.3,0.3
Oman,1.3,1.3,1.3
